市区町村コード,都道府県,市区町村,sub6,mmw
1100,北海道,札幌市,1,1
1202,北海道,函館市,1,1
1203,北海道,小樽市,0,1
1204,北海道,旭川市,1,1
1205,北海道,室蘭市,0,1
1206,北海道,釧路市,1,1
1207,北海道,帯広市,1,1
1208,北海道,北見市,1,1
1209,北海道,夕張市,0,1
1210,北海道,岩見沢市,0,1
1211,北海道,網走市,1,1
1212,北海道,留萌市,0,1
1213,北海道,苫小牧市,1,1
1214,北海道,稚内市,1,1
1215,北海道,美唄市,0,0
1216,北海道,芦別市,0,1
1217,北海道,江別市,1,0
1218,北海道,赤平市,0,0
1219,北海道,紋別市,0,1
1220,北海道,士別市,0,1
1221,北海道,名寄市,0,1
1222,北海道,三笠市,0,1
1223,北海道,根室市,1,1
1224,北海道,千歳市,0,1
1225,北海道,滝川市,0,0
1226,北海道,砂川市,0,0
1227,北海道,歌志内市,0,0
1228,北海道,深川市,0,1
1229,北海道,富良野市,0,1
1230,北海道,登別市,0,0
1231,北海道,恵庭市,0,0
1233,北海道,伊達市,0,1
1234,北海道,北広島市,1,0
1235,北海道,石狩市,1,1
1236,北海道,北斗市,0,1
1303,北海道,当別町,0,0
1304,北海道,新篠津村,0,0
1331,北海道,松前町,0,0
1332,北海道,福島町,0,0
1333,北海道,知内町,0,0
1334,北海道,木古内町,0,0
1337,北海道,七飯町,0,1
1343,北海道,鹿部町,0,0
1345,北海道,森町,0,1
1346,北海道,八雲町,0,0
1347,北海道,長万部町,0,0
1361,北海道,江差町,0,0
1362,北海道,上ノ国町,0,1
1363,北海道,厚沢部町,0,0
1364,北海道,乙部町,0,0
1367,北海道,奥尻町,0,0
1370,北海道,今金町,0,0
1371,北海道,せたな町,0,0
1391,北海道,島牧村,0,0
1392,北海道,寿都町,0,0
1393,北海道,黒松内町,0,0
1394,北海道,蘭越町,0,0
1395,北海道,ニセコ町,0,0
1396,北海道,真狩村,0,0
1397,北海道,留寿都村,0,0
1398,北海道,喜茂別町,0,0
1399,北海道,京極町,0,0
1400,北海道,倶知安町,0,0
1401,北海道,共和町,0,0
1402,北海道,岩内町,0,0
1403,北海道,泊村,0,0
1404,北海道,神恵内村,0,0
1405,北海道,積丹町,0,0
1406,北海道,古平町,0,0
1407,北海道,仁木町,0,0
1408,北海道,余市町,0,0
1409,北海道,赤井川村,0,0
1423,北海道,南幌町,0,0
1424,北海道,奈井江町,0,0
1425,北海道,上砂川町,0,0
1427,北海道,由仁町,0,0
1428,北海道,長沼町,0,0
1429,北海道,栗山町,0,0
1430,北海道,月形町,0,0
1431,北海道,浦臼町,0,0
1432,北海道,新十津川町,0,0
1433,北海道,妹背牛町,0,0
1434,北海道,秩父別町,0,0
1436,北海道,雨竜町,0,0
1437,北海道,北竜町,0,0
1438,北海道,沼田町,0,0
1452,北海道,鷹栖町,0,0
1453,北海道,東神楽町,0,0
1454,北海道,当麻町,0,0
1455,北海道,比布町,0,0
1456,北海道,愛別町,0,0
1457,北海道,上川町,0,0
1458,北海道,東川町,0,0
1459,北海道,美瑛町,0,1
1460,北海道,上富良野町,0,0
1461,北海道,中富良野町,0,0
1462,北海道,南富良野町,0,0
1463,北海道,占冠村,0,0
1464,北海道,和寒町,0,0
1465,北海道,剣淵町,0,0
1468,北海道,下川町,0,1
1469,北海道,美深町,0,0
1470,北海道,音威子府村,0,0
1471,北海道,中川町,0,0
1472,北海道,幌加内町,0,1
1481,北海道,増毛町,0,1
1482,北海道,小平町,0,0
1483,北海道,苫前町,0,0
1484,北海道,羽幌町,0,0
1485,北海道,初山別村,0,0
1486,北海道,遠別町,0,0
1487,北海道,天塩町,0,0
1511,北海道,猿払村,0,0
1512,北海道,浜頓別町,0,0
1513,北海道,中頓別町,0,0
1514,北海道,枝幸町,0,0
1516,北海道,豊富町,0,0
1517,北海道,礼文町,0,0
1518,北海道,利尻町,0,0
1519,北海道,利尻富士町,0,0
1520,北海道,幌延町,0,0
1543,北海道,美幌町,0,1
1544,北海道,津別町,0,0
1545,北海道,斜里町,0,1
1546,北海道,清里町,0,0
1547,北海道,小清水町,0,0
