date-time,server name,server id,latency,jitter,packet loss,download(byte),upload(byte),download bytes,upload bytes,share url
2020/10/1 18:05,IPA CyberLab - Bunkyo,14623,6.026,0.661,0.337838,58645709,73125706,832087961,1062192488,https://www.speedtest.net/result/c/223418b3-5821-479e-8806-87218d7091e8
2020/10/1 20:05,IPA CyberLab - Bunkyo,14623,6.028,0.538,0,62781370,73711468,878231626,592808012,https://www.speedtest.net/result/c/b06b44a2-9a1f-4554-8229-f0d41b5a92ea
2020/10/1 22:05,IPA CyberLab - Bunkyo,14623,5.891,0.246,0,62001104,73978731,813226433,572112339,https://www.speedtest.net/result/c/44c5c894-70a1-443f-a7d5-85e725f84f1d
2020/10/2 1:05,IPA CyberLab - Bunkyo,14623,6.47,0.397,0,62393341,75161566,793140579,537964226,https://www.speedtest.net/result/c/dee654c8-c5d5-43dd-8d6c-5dc44e80b787
2020/10/2 3:05,IPA CyberLab - Bunkyo,14623,5.926,0.484,0,64276548,74396244,670596494,523961086,https://www.speedtest.net/result/c/0ef3c4fa-44e0-43b7-aed3-c6a9d0c37d48
2020/10/2 6:05,IPA CyberLab - Bunkyo,14623,6.531,0.276,0,63929915,67181437,825639265,333972622,https://www.speedtest.net/result/c/fd579c07-a856-4d8c-8a65-48d02803de47
2020/10/2 8:05,IPA CyberLab - Bunkyo,14623,6.331,0.418,0.380228,66713056,79903174,822324467,561647394,https://www.speedtest.net/result/c/1f2d0198-dedf-4ba0-8e13-8fcb1c59ac39
2020/10/2 10:05,IPA CyberLab - Bunkyo,14623,6.661,0.344,0.3367,68987432,71982121,955178655,794013609,https://www.speedtest.net/result/c/d75da010-bee7-4ffd-ad5e-e295b7d6c329
2020/10/2 12:05,IPA CyberLab - Bunkyo,14623,6.269,0.38,0.673401,60504771,62476595,775906196,236238480,https://www.speedtest.net/result/c/f0992eb5-c054-4092-93ee-b6a8c04eb8fb
2020/10/2 14:05,IPA CyberLab - Bunkyo,14623,6.671,0.26,0.37594,63377133,71346645,777043930,293436995,https://www.speedtest.net/result/c/0af478cc-83d8-4fbd-8a1e-bb7882a47aeb
2020/11/1 18:05,IPA CyberLab - Bunkyo,14623,6.026,0.661,0.337838,58645709,73125706,832087961,1062192488,https://www.speedtest.net/result/c/223418b3-5821-479e-8806-87218d7091e8
2020/11/1 20:05,IPA CyberLab - Bunkyo,14623,6.028,0.538,0,62781370,73711468,878231626,592808012,https://www.speedtest.net/result/c/b06b44a2-9a1f-4554-8229-f0d41b5a92ea
2020/11/1 22:05,IPA CyberLab - Bunkyo,14623,5.891,0.246,0,62001104,73978731,813226433,572112339,https://www.speedtest.net/result/c/44c5c894-70a1-443f-a7d5-85e725f84f1d
2020/11/2 1:05,IPA CyberLab - Bunkyo,14623,6.47,0.397,0,62393341,75161566,793140579,537964226,https://www.speedtest.net/result/c/dee654c8-c5d5-43dd-8d6c-5dc44e80b787
2020/11/2 3:05,IPA CyberLab - Bunkyo,14623,5.926,0.484,0,64276548,74396244,670596494,523961086,https://www.speedtest.net/result/c/0ef3c4fa-44e0-43b7-aed3-c6a9d0c37d48
2020/11/2 6:05,IPA CyberLab - Bunkyo,14623,6.531,0.276,0,63929915,67181437,825639265,333972622,https://www.speedtest.net/result/c/fd579c07-a856-4d8c-8a65-48d02803de47
2020/11/2 8:05,IPA CyberLab - Bunkyo,14623,6.331,0.418,0.380228,66713056,79903174,822324467,561647394,https://www.speedtest.net/result/c/1f2d0198-dedf-4ba0-8e13-8fcb1c59ac39
2020/11/2 10:05,IPA CyberLab - Bunkyo,14623,6.661,0.344,0.3367,68987432,71982121,955178655,794013609,https://www.speedtest.net/result/c/d75da010-bee7-4ffd-ad5e-e295b7d6c329
