date-time,server name,server id,latency,jitter,packet loss,download(byte),upload(byte),download bytes,upload bytes,
2021-06-03 14:01:24,fdcservers.net - Tokyo,28910,22.59,0.495,N/A,83028471,30891769,960474488,422026656,https://www.speedtest.net/result/c/dacb8420-f614-44df-8d3e-06ed1bb860ea
2021-06-03 22:01:19,fdcservers.net - Tokyo,28910,23.529,0.172,N/A,57296374,32107488,775902024,318593294,https://www.speedtest.net/result/c/f0ac8b62-5208-4a49-9484-d096f5eff7be
2021-06-04 06:01:31,fdcservers.net - Tokyo,28910,24.913,0.379,N/A,95626097,30181856,1324069964,417864618,https://www.speedtest.net/result/c/98841a3c-7ec4-4939-97c2-9bda3e523cb3
2021-06-04 14:01:31,BudgetVM - Tokyo,38241,36.402,0.555,0,85014839,29262362,1033771162,411901038,https://www.speedtest.net/result/c/a7ac3db8-38bc-444f-883d-ce3d5f2f783b
2021-06-04 22:01:26,fdcservers.net - Tokyo,28910,22.851,0.381,N/A,62275714,30950974,421146803,444405268,https://www.speedtest.net/result/c/3db4a95a-e5b7-464e-843c-3459684fca95
2021-06-05 06:01:14,fdcservers.net - Tokyo,28910,23.426,0.65,N/A,83839935,28674359,1209322280,381983342,https://www.speedtest.net/result/c/8b85b9a9-813d-4e19-9edd-ea15f86c8324
2021-06-05 14:01:32,fdcservers.net - Tokyo,28910,23.683,0.146,N/A,74744375,29523379,1044028492,396186507,https://www.speedtest.net/result/c/c250d6ef-0080-4c16-884b-d57e9d1609ef
2021-06-05 22:01:16,fdcservers.net - Tokyo,28910,23.19,0.617,N/A,62002100,34890997,607900836,385964077,https://www.speedtest.net/result/c/e7fcf85b-9129-4718-9d94-e1665a7177fd
2021-06-06 06:01:27,fdcservers.net - Tokyo,28910,24.095,0.945,N/A,97191025,34549696,1314645316,347482134,https://www.speedtest.net/result/c/fdcca7bc-4cb0-4615-9813-44ebbcdf5ee3
2021-06-06 14:01:25,fdcservers.net - Tokyo,28910,23.525,0.424,N/A,66983345,34145221,625453672,409336516,https://www.speedtest.net/result/c/1c8a902e-1f41-4cef-845b-594acf314658
2021-06-06 22:01:17,IPA CyberLab - Bunkyo,14623,22.245,0.182,0,64041277,39004541,788374119,466631816,https://www.speedtest.net/result/c/5151da80-b659-495e-8580-a09762f446bb
2021-06-07 06:01:34,fdcservers.net - Tokyo,28910,23.622,0.485,N/A,82333777,31732933,1171649785,449549661,https://www.speedtest.net/result/c/cba9d142-a684-4370-87ab-5a40a703dd7a
2021-06-07 14:01:21,BudgetVM - Tokyo,38241,22.903,0.203,0,78453445,22457058,909016518,293866861,https://www.speedtest.net/result/c/cc5187f1-4a2f-4da8-a791-a894d92dabed
2021-06-07 22:01:22,IPA CyberLab - Bunkyo,14623,21.887,0.551,0,59659135,30685918,815000936,410761714,https://www.speedtest.net/result/c/a22d6d60-87e9-42f2-9538-2c975a82802e
2021-06-08 06:01:29,IPA CyberLab - Bunkyo,14623,21.921,0.266,0,97291065,28816286,1223539142,350978339,https://www.speedtest.net/result/c/3e5df888-b1c0-428c-ac52-bfe46420a5cb
2021-06-08 14:01:22,BudgetVM - Tokyo,38241,39.177,1.009,0,72020931,33988426,886666932,475244819,https://www.speedtest.net/result/c/3f4c4816-a4c0-4d47-915e-bff7566935e8
2021-06-08 22:01:27,fdcservers.net - Tokyo,28910,23.757,0.575,N/A,66130182,32714457,770040804,443855310,https://www.speedtest.net/result/c/3105e1b4-3fa1-4228-8cf4-05264397662b
2021-06-09 06:01:27,fdcservers.net - Tokyo,28910,20.167,0.624,N/A,97983946,38894267,1402494928,286571242,https://www.speedtest.net/result/c/42faa953-bf3b-4336-b07a-58986596e108
2021-06-09 14:01:31,fdcservers.net - Tokyo,28910,20.051,0.273,N/A,90010198,35315227,996082192,481547922,https://www.speedtest.net/result/c/0536d943-8c9f-44e3-9bef-8700e992d043
2021-06-09 22:01:16,IPA CyberLab - Bunkyo,14623,18.404,0.205,0.337838,6720367,32627117,92607208,233218583,https://www.speedtest.net/result/c/ac53cd34-11e7-4d3f-8478-9b6b238cbe4e
2021-06-10 06:01:29,fdcservers.net - Tokyo,28910,19.754,0.417,N/A,92338647,33209727,1306285452,443739159,https://www.speedtest.net/result/c/f89e9b96-3341-4027-8c11-2d2230e440b8
2021-06-10 14:01:27,fdcservers.net - Tokyo,28910,19.295,0.218,N/A,73693227,35488683,808241536,468969531,https://www.speedtest.net/result/c/9ccdf0a6-5863-4592-be2c-8b0d725bcfa6
2021-06-10 22:01:24,fdcservers.net - Tokyo,28910,20.128,0.08,N/A,68657298,33780477,837190968,384614076,https://www.speedtest.net/result/c/15a9fbf8-5ece-41fe-bcdd-9dbec26e8c0f
2021-06-11 06:01:05,IPA CyberLab - Bunkyo,14623,18.769,0.459,0,9619602,24689141,96872219,327209102,https://www.speedtest.net/result/c/1f2815ae-458c-49cb-8771-ebb581b0f85d
2021-06-11 14:01:35,fdcservers.net - Tokyo,28910,20.156,0.475,N/A,90103728,37347975,1255148412,516923589,https://www.speedtest.net/result/c/e6ff48d2-53c3-4baa-8750-becfb1c41585
2021-06-11 22:01:11,fdcservers.net - Tokyo,28910,20.232,0.129,N/A,73830622,34309549,843096964,362210060,https://www.speedtest.net/result/c/c2e1d12a-f3ae-492a-87b0-d3d4c0bca2dd
2021-06-12 06:01:16,fdcservers.net - Tokyo,28910,20.087,0.946,N/A,86214266,34615762,586270300,355377308,https://www.speedtest.net/result/c/5c475d9b-fa7e-4943-902d-1e28d7dbea2b
2021-06-12 14:01:21,IPA CyberLab - Bunkyo,14623,18.762,0.406,0,8203391,41304965,120629812,365434059,https://www.speedtest.net/result/c/1f02662b-fe9c-49b0-85af-9eee021df321
2021-06-12 22:01:16,fdcservers.net - Tokyo,28910,20.122,0.402,N/A,61417247,38010857,420049036,341785346,https://www.speedtest.net/result/c/60bcade7-6130-4fda-9856-de7e54896115
2021-06-13 06:01:24,fdcservers.net - Tokyo,28910,21.409,0.103,N/A,95952188,30693544,1367721968,312972650,https://www.speedtest.net/result/c/e9ae5e01-5626-4b81-9a5c-6a4616f42cdf
2021-06-13 14:01:29,fdcservers.net - Tokyo,28910,20.058,0.147,N/A,68708987,35853013,824727628,316273759,https://www.speedtest.net/result/c/f6e89c2d-f3bb-40fe-a42c-dd54efcf4506
2021-06-13 22:01:17,fdcservers.net - Tokyo,28910,21.153,0.218,N/A,64430644,35334738,756634368,273861911,https://www.speedtest.net/result/c/f90b8d17-1460-4829-a528-c6b61caffb3f
2021-06-14 06:01:29,fdcservers.net - Tokyo,28910,20.181,0.406,N/A,98520049,34893609,1208359736,393724655,https://www.speedtest.net/result/c/6bed3d74-02f3-4604-8e5e-b75357f47e44
2021-06-23 22:01:27,IPA CyberLab - Bunkyo,14623,8.104,0.579,0,4328965,58571107,48533113,773796138,https://www.speedtest.net/result/c/34b7841b-5925-445e-a4a3-75d075537645
2021-06-24 06:01:27,fdcservers.net - Tokyo,28910,15.318,0.287,N/A,64082012,63448625,651029956,674785610,https://www.speedtest.net/result/c/9920aa60-0fa0-40ac-8483-c6494036c867
2021-06-24 14:00:49,NEVERLOSS LLC. - Tokyo,41592,9.352,0.358,0,51507419,78577866,515576571,608112857,https://www.speedtest.net/result/c/9aea4e85-48c7-4af2-81de-777539980ebc
2021-06-24 22:00:47,NEVERLOSS LLC. - Tokyo,41592,9.137,0.323,0,49483459,72051548,506538163,721939157,https://www.speedtest.net/result/c/f67c0137-e9ad-4b3a-9218-a6a3a970c8d2
2021-06-25 06:00:55,i3D.net - Tokyo,21569,8.412,0.164,0,52887484,49825445,490140543,566209072,https://www.speedtest.net/result/c/4435af2b-f37a-483a-b135-24096ace0f23
2021-06-25 14:00:50,NEVERLOSS LLC. - Tokyo,41592,9.022,0.154,0,55076950,64762161,800703943,614161221,https://www.speedtest.net/result/c/4bcae79f-8c7f-430b-b64c-032a4dadfeeb
2021-06-25 22:00:45,NEVERLOSS LLC. - Tokyo,41592,9.035,0.249,0,42562725,70187160,371582760,607717762,https://www.speedtest.net/result/c/cbfeee93-75cd-405a-bda0-2121de638613
2021-06-26 06:00:40,NEVERLOSS LLC. - Tokyo,41592,9.152,0.249,0,53403984,74894377,400691363,880874265,https://www.speedtest.net/result/c/475ac764-3aed-476b-a17d-a1bc419de84c
2021-06-26 14:00:52,i3D.net - Tokyo,21569,8.731,1.578,0,48267131,64660058,475646603,914159589,https://www.speedtest.net/result/c/7fc99288-bb3b-42a8-99ac-4d532e870771
2021-06-26 22:00:47,NEVERLOSS LLC. - Tokyo,41592,8.77,0.264,0,46031121,73483167,520792100,583212256,https://www.speedtest.net/result/c/516f8b83-b5cb-4591-8081-79f4f38c2e04
2021-06-27 06:00:45,i3D.net - Tokyo,21569,8.462,0.148,0,48863343,75371231,489323863,668304827,https://www.speedtest.net/result/c/96fd8dfd-2c2f-4292-a0ac-5f1b18d97e74
2021-06-27 14:00:40,NEVERLOSS LLC. - Tokyo,41592,8.936,0.274,0,43562586,76396903,317387040,644811473,https://www.speedtest.net/result/c/df639204-808d-471d-9326-0d4e1aa176c8
2021-06-27 22:00:53,i3D.net - Tokyo,21569,8.134,0.752,0,45079742,66853585,561549287,622086491,https://www.speedtest.net/result/c/6d418a33-e8d7-49a4-a990-d303ebd33222
2021-06-28 06:00:51,i3D.net - Tokyo,21569,8.479,0.311,0,51437036,65751229,472947216,681693500,https://www.speedtest.net/result/c/e1435400-2ba0-48e3-a63c-86be5a35d569
