date-time,server name,server id,latency,jitter,packet loss,download(byte),upload(byte),download bytes,upload bytes,
2021-03-01 06:01:22,BudgetVM - Tokyo,38241,10.354,2.318,0,34955446,57203566,383458675,538786113,https://www.speedtest.net/result/c/7b37b944-4a82-4837-9cad-5c33fa71af36
2021-03-01 14:01:26,fdcservers.net - Tokyo,28910,6.776,0.377,N/A,69138497,41289991,578688191,595567814,https://www.speedtest.net/result/c/af6e167b-7f8d-4f15-8192-ea5c377a665c
2021-03-01 22:01:36,fdcservers.net - Tokyo,28910,7.365,0.119,N/A,81252162,61863382,1130822352,906774161,https://www.speedtest.net/result/c/19a6e07b-96e9-4c0e-b7c0-16d94b7ee02b
2021-03-02 06:01:26,fdcservers.net - Tokyo,28910,6.782,0.188,N/A,86114195,54504887,743438342,783686145,https://www.speedtest.net/result/c/657adb9b-8709-4887-88cd-60e05037b312
2021-03-02 14:01:26,fdcservers.net - Tokyo,28910,6.671,0.796,N/A,69159187,47318023,360041182,688795530,https://www.speedtest.net/result/c/fdf825d2-1a49-4986-9f66-5dafe97cf2a8
2021-03-02 22:01:22,fdcservers.net - Tokyo,28910,7.064,0.187,N/A,73856395,50285400,372195070,571056753,https://www.speedtest.net/result/c/7781fdb0-a07e-4f03-9636-b73304e2b881
2021-03-03 06:01:17,fdcservers.net - Tokyo,28910,6.798,0.449,N/A,91101648,41424380,757691098,557051331,https://www.speedtest.net/result/c/4eaf5226-a82a-46ba-b86d-5de5087263d0
2021-03-03 14:01:18,fdcservers.net - Tokyo,28910,7.062,0.399,N/A,79174846,49061394,577516620,706476825,https://www.speedtest.net/result/c/3161f2e5-8694-4efd-80d3-326922970d0d
2021-03-03 22:01:20,fdcservers.net - Tokyo,28910,7.438,0.224,N/A,73478018,45770766,705027450,661805758,https://www.speedtest.net/result/c/481fc0d1-c5a9-4bf7-888c-107913b5a66c
2021-03-04 06:01:18,fdcservers.net - Tokyo,28910,7.435,0.176,N/A,99079862,38353531,944560366,431066379,https://www.speedtest.net/result/c/e2b1a8e9-3351-4cda-85bd-f181744ac776
2021-03-04 14:01:31,fdcservers.net - Tokyo,28910,7.448,0.257,N/A,84637120,51940174,884501358,739381178,https://www.speedtest.net/result/c/f9f9588f-69af-4567-bef8-80bc0e42d878
2021-03-04 22:01:27,fdcservers.net - Tokyo,28910,6.267,0.218,N/A,76298188,61990837,481742390,906955776,https://www.speedtest.net/result/c/ed9b6659-0484-43a2-9ca8-0fac98dd7221
2021-03-05 06:01:26,BudgetVM - Tokyo,38241,12.638,0.502,0,85078620,28244445,894127037,400491238,https://www.speedtest.net/result/c/d911c8b2-7bd4-4c3c-b574-4402ca8f3886
2021-03-05 14:01:23,BudgetVM - Tokyo,38241,7.829,1.603,0,9238331,29195017,134546865,421837815,https://www.speedtest.net/result/c/5077eeac-d90e-4506-9b9e-80902d6a8945
2021-03-05 22:01:19,IPA CyberLab - Bunkyo,14623,8.738,0.387,0.847458,5297321,7290482,64600624,97631481,https://www.speedtest.net/result/c/3be4040c-5d4a-49a5-9c09-2482a7b50810
2021-03-06 06:01:28,fdcservers.net - Tokyo,28910,6.816,0.588,N/A,86547288,63766369,893134735,913532016,https://www.speedtest.net/result/c/64bb7f35-b11b-4054-aa41-5d9d28490d9e
2021-03-06 14:01:22,fdcservers.net - Tokyo,28910,7.345,0.845,N/A,76175125,48635626,1084452762,580460554,https://www.speedtest.net/result/c/071f99e4-0c00-4d2e-86df-0a49ea575227
2021-03-06 22:01:19,fdcservers.net - Tokyo,28910,7.2,0.264,N/A,67099337,57415286,634381030,615749961,https://www.speedtest.net/result/c/f7a2cb53-81ca-453e-b3e1-14779c80f2e6
2021-03-07 06:01:24,fdcservers.net - Tokyo,28910,7.242,0.28,N/A,73001633,45230063,609598967,465483483,https://www.speedtest.net/result/c/b5dd2f56-a798-48f1-ae23-24914099dc64
2021-03-07 14:01:21,fdcservers.net - Tokyo,28910,6.875,0.38,N/A,65933804,52644591,702120379,369195887,https://www.speedtest.net/result/c/95a1d2b4-cd9a-4bd6-9f72-e11634ed6a75
2021-03-07 22:01:25,fdcservers.net - Tokyo,28910,6.613,0.586,N/A,59239228,55846352,557182004,466907295,https://www.speedtest.net/result/c/d2f069f5-18f7-4eef-b8d6-55a2768d1f40
2021-03-08 06:01:24,fdcservers.net - Tokyo,28910,6.431,0.519,N/A,66241873,49574137,1007876422,487447349,https://www.speedtest.net/result/c/5a894319-fad1-4aab-b3ff-5348769817f0
2021-03-08 14:01:16,fdcservers.net - Tokyo,28910,6.455,0.559,N/A,65614695,58780700,642091522,837496816,https://www.speedtest.net/result/c/c9e95c3d-1bfe-4d9e-aab5-02126983e851
2021-03-08 22:01:25,fdcservers.net - Tokyo,28910,6.981,0.596,N/A,69901968,49388967,886348920,713869943,https://www.speedtest.net/result/c/4a0e72c5-ed1d-434a-9e86-c2e8e8652891
2021-03-09 06:01:15,fdcservers.net - Tokyo,28910,6.556,0.667,N/A,98225808,41663154,1016521375,271623886,https://www.speedtest.net/result/c/32ad8d19-f65e-474b-b016-0cf0e0e701c0
2021-03-09 14:01:16,IPA CyberLab - Bunkyo,14623,8.398,0.43,0.925926,9429389,7129940,118915513,94696435,https://www.speedtest.net/result/c/a990d660-d2a9-4480-817d-1a168b66c2b0
2021-03-09 22:01:23,fdcservers.net - Tokyo,28910,7.183,0.336,N/A,60555026,40461629,535950559,578531996,https://www.speedtest.net/result/c/daa99aa2-96d1-49ef-9e25-98addbb47efb
2021-03-10 06:01:20,fdcservers.net - Tokyo,28910,6.364,0.497,N/A,73119248,39684515,474183622,553443916,https://www.speedtest.net/result/c/f79af1b8-ff79-4f49-a230-8c0ab8fbe632
2021-03-10 14:01:23,fdcservers.net - Tokyo,28910,6.772,0.41,N/A,73508099,48545412,510220490,690923268,https://www.speedtest.net/result/c/389e4dd7-df56-42f8-ba6b-b03ba2ea0502
2021-03-10 22:01:10,fdcservers.net - Tokyo,28910,7.291,0.349,N/A,69485016,50158844,428984907,521522892,https://www.speedtest.net/result/c/f34c9b9d-d552-4bb8-87c5-bf9e77c493b8
2021-03-11 06:01:21,fdcservers.net - Tokyo,28910,6.383,0.405,N/A,80906234,43681394,550230187,421883037,https://www.speedtest.net/result/c/e40cf34e-9acd-458e-871d-282a500e1212
2021-03-11 14:01:25,fdcservers.net - Tokyo,28910,6.796,0.701,N/A,74016505,47454191,384938952,683195092,https://www.speedtest.net/result/c/e2694dd8-6734-4770-9994-12c84151d142
2021-03-11 22:01:25,IPA CyberLab - Bunkyo,14623,8.233,110.387,1.02564,8764810,5024427,111108355,70774655,https://www.speedtest.net/result/c/23b803c6-07d3-4624-8c74-6aa6b58673d4
2021-03-12 06:01:19,fdcservers.net - Tokyo,28910,6.347,0.308,N/A,99536444,36765824,575408788,421242500,https://www.speedtest.net/result/c/8e221422-3328-4840-a9eb-4a66f931bf64
