release,update,category,books,onboarding,device,product,maker,description,color,colorcode,price,price_old,price_old_period,splitprice1,splitprice2,url,topbuttontext,topbuttonnote,bssbtn,bssbtntext,urlbssbtn,bssbtnnote,ichibabtn,ichibabtntext,urlichiba,ichibabtnnote,additionaltext,additionallinktext,additionallink,legalline,thumbnail,rselect,featurelist,feature1,feature2,feature3,feature4,feature5,rich,featureimg,img1,title1,text1,img2,title2,text2,img3,title3,text3,img4,text4,img5,text5,img6,text6,img7,text7,img8,text8,img9,text9,img10,text10,spec,item1,value1,item2,value2,item3,value3,item4,value4,item5,value5,item6,value6,item7,value7,item8,value8,item9,value9,item10,value10,comment,manufacturer,contact,support1,support2,link,link2,eol
2021/9/8,,ケース,,600048,"iPhone SE（第3世代）
iPhone SE（第2世代）",iPhone SE（第3世代）/（第2世代）/8/7 iFace Reflection 強化ガラスクリアケース (ブラック),,,ブラック,#000000,3520 ,,,146 ,73 ,hamee-41907108,,,,,https://onboarding.mobile.rakuten.co.jp/accessories-details?exid=600048,※my 楽天モバイルからのご購入は、製品と同時購入の場合のみ送料無料となります。,,,https://item.rakuten.co.jp/rakutenmobile-store/hamee-41907108/,※送料無料,,,,,3 ,FALSE,3 ,ガラスの透明感が美しいクリアケース,こだわりの一体成型製法,ストラップホール付き,　,　,FALSE,3 ,pht-accessory-00.png,ガラスの透明感が美しいクリアケース,透明なガラスの美しさと耐衝撃性を兼ね備えたiFaceクリアケースです。,pht-accessory-01.png,こだわりの一体成型製法,両面テープや接着剤などを使用しない一体成型製法で耐久性に優れ、長く愛用いただけます。,pht-accessory-02.png,ストラップホール付き,お好みのストラップをつけることもできます。,,,,,,,,,,,,,,,5 ,製品名,iPhone SE（第3世代）/（第2世代）/8/7 iFace Reflection 強化ガラスクリアケース (ブラック),色,ブラック,材質,ガラス/TPU,型番,41-907108,JANコード,4522327907108 ,,,,,,,,,,,"★本製品ご使用における人体・スマートフォン本体を含む持ち物・データなどの損傷、損失、紛失に対し、弊社は一切の責任を負いかねます。
★スマートフォン本体に異常がある場合は本製品を外してください。
★本製品内の飛散防止フィルム加工は摩擦等により傷がつく場合があります。お手入れの際は柔らかい布などで優しく拭いてください。
★材質の特性上、折り曲げたり強い衝撃を与えますと破損する恐れがあります。着脱の際など取扱いにご注意ください。
★画面保護フィルムの形状により本製品と併用できない場合があります。
★背面カメラでの撮影時に写り込みが起こる場合があります。
★ご使用の充電器や環境によってワイヤレス充電がご利用いただけない場合があります。
★ご利用状況・環境、溶剤の使用などにより変色や変質が起きることがあります。
★本製品装着やOSアップデートにより、スマートフォンの一部機能が使えなくなる可能性があります。
★本製品およびパッケージは改良のため予告なく仕様を変更する場合があります。
★記載されている製品名・会社名などは各社の商標または登録商標です。","Hamee(ハミィ)株式会社
250-0011
神奈川県小田原市栄町2-12-10 Square O2","■メール(Hamee カスタマーセンター)
next@hamee.co.jp
■お問い合わせフォーム
https://hamee.co.jp/product_contact",iPhone SE（第3世代）[https://network.mobile.rakuten.co.jp/product/iphone/iphone-se-3rd/?l-id=product_accessory_hamee-41907108_iphone-se-3rd]/iPhone SE（第2世代）[https://network.mobile.rakuten.co.jp/product/iphone/iphone-se-2nd/?l-id=product_accessory_hamee-41907108_iphone-se-2nd],,,,
2021/9/8,,ケース,,600051,"iPhone SE（第3世代）
iPhone SE（第2世代）",iPhone SE（第3世代）/（第2世代）/8/7 手帳型ケース,,,ブラック/ブラウン,#000000/#c27b43,1980 ,,,82 ,41 ,tremeal-r21wi038,,,,,https://onboarding.mobile.rakuten.co.jp/accessories-details?exid=600051,※my 楽天モバイルからのご購入は、製品と同時購入の場合のみ送料無料となります。,,,https://item.rakuten.co.jp/rakutenmobile-store/tremeal-r21wi038/,※送料無料,,,,,13 ,FALSE,3 ,シンプルで使いやすいデザイン,便利なスタンド機能付き,内側に便利なカードポケットつきで機能的,　,　,FALSE,3 ,pht-accessory-01.png,シンプルで使いやすいデザイン,"どんなシーンにも合うシンプルデザインです。
手帳型のため、傷が付きやすいディスプレイ部分を保護します。",pht-accessory-06.png,便利なスタンド機能付き,背面を折り曲げることで、動画視聴に便利なスタンド機能として使用が可能です。,pht-accessory-05.png,内側に便利なカードポケットつきで機能的,内側にあるカードポケットで、お好きなカードを収納いただけます。,,,,,,,,,,,,,,,5 ,製品名,iPhone SE（第3世代）/（第2世代）/8/7 手帳型ケース,色,ブラック/ブラウン,材質,ポリカーボネート、ポリウレタン、変成シリコーン系接着剤、亜鉛合金,型番,R21WI038/R21WI039,JANコード,4589740202333/4589740202340,,,,,,,,,,,"★本製品の取り付け、取り外しはお客様の責任において行ってください。
★本製品はスマートフォン本体への傷や汚れを完全に防ぐものではありません。
★本製品装着時において、すべての機能・動作を保証するものではありません。
★装着する前にスマートフォン本体や本製品についているほこりや油分・水分、ごみなどをよく拭き取ってからご使用ください。スマートフォン本体への傷の原因となります。
★本製品カードポケットのご使用は、お客様ご自身の責任においてご使用ください。
★Apple Pay 対応サービスをご利用になる際に、リーダーによっては、データを正常に読み込めない場合があります。
★ワイヤレス充電をご利用時に正常に充電されない場合は、本製品を外してご利用ください。
★本製品のストラップホールにストラップを取り付けた際は、ストラップを持って振り回したりしないでください。 
★お客様のご使用状況・環境などにより、変色する場合があります。
★本製品に汚れなどがついた場合は、柔らかい生地で軽く拭き取ってください。
★皮膚に異常を感じたときはすぐに使用を止め、専門医にご相談ください。
★本製品を装着したまま写真撮影が可能ですが、撮影環境によっては、影や反射光の映り込みが発生する場合があります。そのような場合は本製品を取り外してご使用ください。
★スマートフォン本体の破損や故障、データの損失、消滅などについては一切の責任を負いかねますので、あらかじめご了承ください。
★商品およびパッケージは予告なく変更になることがあります。
★万が一、製造上の原因により初期不良品があった場合、同製品または同等の製品と交換をいたします。その際に、購入証明書が必要となる場合がありますので、購入証明書は必ず保管しておいてください。",株式会社トレミール,e-mail:info@l-mobiledo.net,iPhone SE（第3世代）[https://network.mobile.rakuten.co.jp/product/iphone/iphone-se-3rd/?l-id=product_accessory_tremeal-r21wi038_iphone-se-3rd]/iPhone SE（第2世代）[https://network.mobile.rakuten.co.jp/product/iphone/iphone-se-2nd/?l-id=product_accessory_tremeal-r21wi038_iphone-se-2nd],,,,
2021/9/17,,ケース,,600044,"iPhone SE（第3世代）
iPhone SE（第2世代）",iPhone SE（第3世代）/（第2世代）/8/7 お買いものパンダ IIIIfit Clear (ピクニック),,,クリア,#E8FEFF,2580 ,,,107 ,53 ,rselect-rmapphne20c0183cl,,,,,https://onboarding.mobile.rakuten.co.jp/accessories-details?exid=600044,※my 楽天モバイルからのご購入は、製品と同時購入の場合のみ送料無料となります。,,,https://item.rakuten.co.jp/rakutenmobile-store/rselect-rmapphne20c0183cl/,※送料無料,,,,ケースサイズはiPhone SE（第3世代） / （第2世代） / iPhone 8 / iPhone 7に対応しておりますが、絵柄はiPhone SE（第2世代）に合わせてデザインしております。機種ごとでロゴマークの位置が異なる為デザインの見え方も異なります。,5 ,TRUE,3 ,裏面を覆うクリアタイプのプロテクトジャケットです。,背面のラウンド形状が手に馴染んで持ちやすい,PCとTPU一体成型のハイブリッド構造により、スマホを衝撃からしっかりと保護。,　,　,FALSE,3 ,pht-accessory-01.png,持ちやすいラウンド形状,持ちやすさを追求した形状とTPU素材特有のゴムのような柔軟性により、優れたグリップ感を実現しました。,pht-accessory-03.png,耐衝撃に優れたケース,PC+TPU一体成型のハイブリッド構造による耐衝撃タイプです。キズを防ぎ、軽微な振動や衝撃から守ります。,pht-accessory-04.png,ストラップホール付き,ストラップが取付けられるストラップホール付きです。,,,,,,,,,,,,,,,5 ,製品名,iPhone SE（第3世代）/（第2世代）/8/7 お買いものパンダ IIIIfit Clear (ピクニック),色,クリア,材質,ポリカーボネート/熱可塑性ポリウレタン,型番,RMAPPHNE20C0183CL,JANコード,4580692435244 ,,,,,,,,,,,"★本品はパッケージ正面に記載してある機種対応です。その他のものには使用できません。
★本品は傷や衝撃から完全にiPhoneを保護するものではありません。また、落下などの強い衝撃には対応していません。
★本品の使用中、お客様の過失および誤った使用法による機器本体やデータの破損、損害などにつきましては、下記製造元では責任を負いかねますのでご了承ください。
★熱器具の周辺など極端に高温になる場所に放置しないでください。変形・変質の原因となります。
★MagSafe Charger・ワイヤレスチャージャーには対応しておりません。
★本品の仕様は、予告なく変更する場合がありますのでご了承ください。
★本品につきましては万全の注意をはらって製造に当たっておりますが、万一お気づきの点がございましたら下記製造元までご連絡ください。
★製造上の原因により初期不良品があった場合は同製品または同等の製品と交換をいたします。ご対応の際に購入証明書等が必要となる場合がありますので、購入証明書は必ず保管しておいてください。",株式会社グルマンディーズ,"サービス係
03-5951-0260
受付時間：10：00～17：00
E-mail:t-service@gourmandise.co.jp",iPhone SE（第3世代）[https://network.mobile.rakuten.co.jp/product/iphone/iphone-se-3rd/?l-id=product_accessory_rselect-rmapphne20c0183cl_iphone-se-3rd]/iPhone SE（第2世代）[https://network.mobile.rakuten.co.jp/product/iphone/iphone-se-2nd/?l-id=product_accessory_rselect-rmapphne20c0183cl_iphone-se-2nd],,,,
2021/9/17,,ケース,,600043,"iPhone SE（第3世代）
iPhone SE（第2世代）",iPhone SE（第3世代）/（第2世代）/8/7 お買いものパンダ IIIIfit Clear (ひょっこり),,,クリア,#E8FEFF,2580 ,,,107 ,53 ,rselect-rmapphne20c0182cl,,,,,https://onboarding.mobile.rakuten.co.jp/accessories-details?exid=600043,※my 楽天モバイルからのご購入は、製品と同時購入の場合のみ送料無料となります。,,,https://item.rakuten.co.jp/rakutenmobile-store/rselect-rmapphne20c0182cl/,※送料無料,,,,ケースサイズはiPhone SE（第3世代） / （第2世代） / iPhone 8 / iPhone 7に対応しておりますが、絵柄はiPhone SE（第2世代）に合わせてデザインしております。機種ごとでロゴマークの位置が異なる為デザインの見え方も異なります。,5 ,TRUE,3 ,裏面を覆うクリアタイプのプロテクトジャケットです。,背面のラウンド形状が手に馴染んで持ちやすい,PCとTPU一体成型のハイブリッド構造により、スマホを衝撃からしっかりと保護。,　,　,FALSE,3 ,pht-accessory-01.png,持ちやすいラウンド形状,持ちやすさを追求した形状とTPU素材特有のゴムのような柔軟性により、優れたグリップ感を実現しました。,pht-accessory-03.png,耐衝撃に優れたケース,PC+TPU一体成型のハイブリッド構造による耐衝撃タイプです。キズを防ぎ、軽微な振動や衝撃から守ります。,pht-accessory-04.png,ストラップホール付き,ストラップが取付けられるストラップホール付きです。,,,,,,,,,,,,,,,5 ,製品名,"iPhone SE（第3世代）/（第2世代）/8/7 お買いものパンダ IIIIfit Clear (ひょっこり)
",色,クリア,材質,ポリカーボネート/熱可塑性ポリウレタン,型番,RMAPPHNE20C0182CL,JANコード,4580692435237 ,,,,,,,,,,,"★本品はパッケージ正面に記載してある機種対応です。その他のものには使用できません。
★本品は傷や衝撃から完全にiPhoneを保護するものではありません。また、落下などの強い衝撃には対応していません。
★本品の使用中、お客様の過失および誤った使用法による機器本体やデータの破損、損害などにつきましては、下記製造元では責任を負いかねますのでご了承ください。
★熱器具の周辺など極端に高温になる場所に放置しないでください。変形・変質の原因となります。
★MagSafe Charger・ワイヤレスチャージャーには対応しておりません。
★本品の仕様は、予告なく変更する場合がありますのでご了承ください。
★本品につきましては万全の注意をはらって製造に当たっておりますが、万一お気づきの点がございましたら下記製造元までご連絡ください。
★製造上の原因により初期不良品があった場合は同製品または同等の製品と交換をいたします。ご対応の際に購入証明書等が必要となる場合がありますので、購入証明書は必ず保管しておいてください。",株式会社グルマンディーズ,"サービス係
03-5951-0260
受付時間：10：00～17：00
E-mail:t-service@gourmandise.co.jp",iPhone SE（第3世代）[https://network.mobile.rakuten.co.jp/product/iphone/iphone-se-3rd/?l-id=product_accessory_rselect-rmapphne20c0182cl_iphone-se-3rd]/iPhone SE（第2世代）[https://network.mobile.rakuten.co.jp/product/iphone/iphone-se-2nd/?l-id=product_accessory_rselect-rmapphne20c0182cl_iphone-se-2nd],,,,
2021/9/17,,ケース,,600040,"iPhone 12
iPhone 12 Pro",iPhone 12/12 Pro お買いものパンダ IIIIfit Clear (ひょっこり),,,クリア,#E8FEFF,3180 ,,,132 ,66 ,rselect-rmapphne20c0179cl,,,disable,,https://onboarding.mobile.rakuten.co.jp/accessories-details?exid=600040,※現在my 楽天モバイルでの販売は行っておりません。,,,https://item.rakuten.co.jp/rakutenmobile-store/rselect-rmapphne20c0179cl/,※送料無料,,,,,5 ,TRUE,3 ,裏面を覆うクリアタイプのプロテクトジャケットです。,背面のラウンド形状が手に馴染んで持ちやすい,PCとTPU一体成型のハイブリッド構造により、スマホを衝撃からしっかりと保護。,　,　,FALSE,3 ,pht-accessory-01.png,持ちやすいラウンド形状,持ちやすさを追求した形状とTPU素材特有のゴムのような柔軟性により、優れたグリップ感を実現しました。,pht-accessory-03.png,耐衝撃に優れたケース,PC+TPU一体成型のハイブリッド構造による耐衝撃タイプです。キズを防ぎ、軽微な振動や衝撃から守ります。,pht-accessory-04.png,ストラップホール付き,ストラップが取付けられるストラップホール付きです。,,,,,,,,,,,,,,,5 ,製品名,iPhone 12/12 Pro お買いものパンダ IIIIfit Clear (ひょっこり),色,クリア,材質,ポリカーボネート/熱可塑性ポリウレタン,型番,RMAPPHNE20C0179CL,JANコード,4580692435206 ,,,,,,,,,,,"★本品はパッケージ正面に記載してある機種対応です。その他のものには使用できません。
★本品は傷や衝撃から完全にiPhoneを保護するものではありません。また、落下などの強い衝撃には対応していません。
★本品の使用中、お客様の過失および誤った使用法による機器本体やデータの破損、損害などにつきましては、下記製造元では責任を負いかねますのでご了承ください。
★熱器具の周辺など極端に高温になる場所に放置しないでください。変形・変質の原因となります。
★MagSafe Charger・ワイヤレスチャージャーには対応しておりません。
★MagSafe Leather Walletには対応しておりません。
★本品の仕様は、予告なく変更する場合がありますのでご了承ください。
★本品につきましては万全の注意をはらって製造に当たっておりますが、万一お気づきの点がございましたら下記製造元までご連絡ください。
★製造上の原因により初期不良品があった場合は同製品または同等の製品と交換をいたします。ご対応の際に購入証明書等が必要となる場合がありますので、購入証明書は必ず保管しておいてください。",株式会社グルマンディーズ,"サービス係
03-5951-0260
受付時間：10：00～17：00
E-mail:t-service@gourmandise.co.jp",iPhone 12[https://network.mobile.rakuten.co.jp/product/iphone/iphone-12/?l-id=product_accessory_rselect-rmapphne20c0179cl_iphone-12]/iPhone 12 Pro[https://network.mobile.rakuten.co.jp/product/iphone/iphone-12-pro/?l-id=product_accessory_rselect-rmapphne20c0179cl_iphone-12-pro],,,,45002 
2021/9/17,,ケース,,600041,"iPhone 12
iPhone 12 Pro",iPhone 12/12 Pro お買いものパンダ IIIIfit Clear (もぐもぐ),,,クリア,#E8FEFF,3180 ,,,132 ,66 ,rselect-rmapphne20c0180cl,,,disable,,https://onboarding.mobile.rakuten.co.jp/accessories-details?exid=600041,※現在my 楽天モバイルでの販売は行っておりません。,,,https://item.rakuten.co.jp/rakutenmobile-store/rselect-rmapphne20c0180cl/,※送料無料,,,,,5 ,TRUE,3 ,裏面を覆うクリアタイプのプロテクトジャケットです。,背面のラウンド形状が手に馴染んで持ちやすい,PCとTPU一体成型のハイブリッド構造により、スマホを衝撃からしっかりと保護。,　,　,FALSE,3 ,pht-accessory-01.png,持ちやすいラウンド形状,持ちやすさを追求した形状とTPU素材特有のゴムのような柔軟性により、優れたグリップ感を実現しました。,pht-accessory-03.png,耐衝撃に優れたケース,PC+TPU一体成型のハイブリッド構造による耐衝撃タイプです。キズを防ぎ、軽微な振動や衝撃から守ります。,pht-accessory-04.png,ストラップホール付き,ストラップが取付けられるストラップホール付きです。,,,,,,,,,,,,,,,5 ,製品名,iPhone 12/12 Pro お買いものパンダ IIIIfit Clear (もぐもぐ),色,クリア,材質,ポリカーボネート/熱可塑性ポリウレタン,型番,RMAPPHNE20C0180CL,JANコード,4580692435213 ,,,,,,,,,,,"★本品はパッケージ正面に記載してある機種対応です。その他のものには使用できません。
★本品は傷や衝撃から完全にiPhoneを保護するものではありません。また、落下などの強い衝撃には対応していません。
★本品の使用中、お客様の過失および誤った使用法による機器本体やデータの破損、損害などにつきましては、下記製造元では責任を負いかねますのでご了承ください。
★熱器具の周辺など極端に高温になる場所に放置しないでください。変形・変質の原因となります。
★MagSafe Charger・ワイヤレスチャージャーには対応しておりません。
★MagSafe Leather Walletには対応しておりません。
★本品の仕様は、予告なく変更する場合がありますのでご了承ください。
★本品につきましては万全の注意をはらって製造に当たっておりますが、万一お気づきの点がございましたら下記製造元までご連絡ください
★製造上の原因により初期不良品があった場合は同製品または同等の製品と交換をいたします。ご対応の際に購入証明書等が必要となる場合がありますので、購入証明書は必ず保管しておいてください。",株式会社グルマンディーズ,"サービス係
03-5951-0260
受付時間：10：00～17：00
E-mail:t-service@gourmandise.co.jp",iPhone 12[https://network.mobile.rakuten.co.jp/product/iphone/iphone-12/?l-id=product_accessory_rselect-rmapphne20c0180cl_iphone-12]/iPhone 12 Pro[https://network.mobile.rakuten.co.jp/product/iphone/iphone-12-pro/?l-id=product_accessory_rselect-rmapphne20c0180cl_iphone-12-pro],,,,45002 
2021/9/17,,ケース,,600153,iPhone 13 mini,iPhone 13 mini お買いものパンダ IIIIfit Clear（クッキング）,,,クリア,#E8FEFF,1700 ,,,70 ,35 ,rselect-rmapphne21c0166cl,,,disable,,https://onboarding.mobile.rakuten.co.jp/accessories-details?exid=600153,※現在my 楽天モバイルでの販売は行っておりません。,,,https://item.rakuten.co.jp/rakutenmobile-store/rselect-rmapphne21c0166cl/,※送料無料,,,,,1 ,TRUE,3 ,"持ちやすいラウンド形状
持ちやすさを追求した形状とTPU素材特有のゴムのような柔軟性により、優れたグリップ感を実現しました。","耐衝撃に優れたケース
PC+TPU一体成型のハイブリッド構造による耐衝撃タイプです。キズを防ぎ、軽微な振動や衝撃から守ります。","ストラップホール付き
ストラップが取付けられるストラップホール付きです。",,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,5 ,製品名,iPhone 13 mini お買いものパンダ IIIIfit Clear（クッキング）,色,クリア,素材,ポリカーボネート/熱可塑性ポリウレタン,型番,RMAPPHNE21C0166CL,JANコード,4580692435077 ,,,,,,,,,,,"★本製品は本体を衝撃や傷から完全に保護することを保証するものでは ありません。
★本製品を使用しての事故や本体の傷、故障、データの損失 などに関しては、当社では一切の責任を負いかねます。
★本製品を用途以 外の目的には使用しないでください。
★本製品が濡れた場合は、乾いた柔 らかい布で拭いてください。
★高温、多湿、直射日光の当たる場所など環 境変化の大きな場所での長期保管はしないでください。商品劣化の原因 となります。
★幼児の手の届かない場所へ保管してください。
★デザイン／ 仕様などは改良のため予告なく変更する場合があります。
★お客様のご使 用状況や環境などにより、変色する場合があります。
★本製品の使用過程 で発生した色落ち、色移りにつきましては、当社では一切の責任を負いか ねます。
★徹底した品質管理のもと生産しておりますが、万が一初期不良 が確認された場合は、ご購入から1週間以内に製造元までご連絡をお 願いします。",株式会社グルマンディーズ,"サービス係
03-5951-0260
受付時間：10：00～17：00
E-mail:t-service@gourmandise.co.jp",iPhone 13 mini[https://network.mobile.rakuten.co.jp/product/iphone/iphone-13-mini/?l-id=product_accessory_rselect-rmapphne21c0166cl_iphone-13-mini],,,,45254 
2021/9/17,,ケース,,600158,iPhone 13 mini,iPhone 13 mini ハイブリッドクリアケース,,,クリア,#E8FEFF,1200 ,,,50 ,25 ,rselect-rmapphne21c0165cl,,,disable,,https://onboarding.mobile.rakuten.co.jp/accessories-details?exid=600158,※現在my 楽天モバイルでの販売は行っておりません。,,,https://item.rakuten.co.jp/rakutenmobile-store/rselect-rmapphne21c0165cl/,※送料無料,,,,,5 ,TRUE,,,,,,,FALSE,3 ,pht-accessory-04.png,透明度の高いクリアケース,端末を保護すること、本体のデザインを楽しむことを両立したカバーです。高透明のカバーなので、本体の美しいデザインをそこないません。,pht-accessory-02.png,端末の側面もしっかり保護,側面のボタンや端子周りまでしっかり保護します。,pht-accessory-00.png,ケースを装着したままカメラ使用可能,カメラ機能やタッチパネル操作が可能です。 また各種ボタンの操作も使用可能です。,,,,,,,,,,,,,,,5 ,製品名,iPhone 13 mini ハイブリッドクリアケース,色,クリア,素材,ポリカーボネート、熱可塑性ポリウレタン,型番,RMAPPHNE21C0165CL,JANコード,4580692435060 ,,,,,,,,,,,"★本製品は本体を衝撃や傷から完全に保護することを保証するものでは ありません。
★本製品を使用しての事故や本体の傷、故障、データの損失 などに関しては、当社では一切の責任を負いかねます。
★本製品を用途以 外の目的には使用しないでください。
★本製品が濡れた場合は、乾いた柔 らかい布で拭いてください。
★高温、多湿、直射日光の当たる場所など環 境変化の大きな場所での長期保管はしないでください。商品劣化の原因 となります。
★幼児の手の届かない場所へ保管してください。
★デザイン／ 仕様などは改良のため予告なく変更する場合があります。
★お客様のご使 用状況や環境などにより、変色する場合があります。
★本製品の使用過程 で発生した色落ち、色移りにつきましては、当社では一切の責任を負いか ねます。
★徹底した品質管理のもと生産しておりますが、万が一初期不良 が確認された場合は、ご購入から1週間以内に製造元までご連絡をお 願いします。",株式会社トレミール,"TEL: 03-5114-1357
FAX: 03-5114-1375
e-mail:info@l-mobiledo.net
（平日10：00～17：00）
※祝祭日、夏期、年末年始特定休業日を除く",iPhone 13 mini[https://network.mobile.rakuten.co.jp/product/iphone/iphone-13-mini/?l-id=product_accessory_rselect-rmapphne21c0165cl_iphone-13-mini],,,,45254 
2021/9/17,,ケース,,600151,iPhone 13,iPhone 13 お買いものパンダ IIIIfit Clear（ひょっこり）,,,クリア,#E8FEFF,1900 ,,,79 ,39 ,rselect-rmapphne21c0172cl,,,,,https://onboarding.mobile.rakuten.co.jp/accessories-details?exid=600151,※my 楽天モバイルからのご購入は、製品と同時購入の場合のみ送料無料となります。,,,https://item.rakuten.co.jp/rakutenmobile-store/rselect-rmapphne21c0172cl/,※送料無料,,,,,1 ,TRUE,3 ,"持ちやすいラウンド形状
持ちやすさを追求した形状とTPU素材特有のゴムのような柔軟性により、優れたグリップ感を実現しました。","耐衝撃に優れたケース
PC+TPU一体成型のハイブリッド構造による耐衝撃タイプです。キズを防ぎ、軽微な振動や衝撃から守ります。","ストラップホール付き
ストラップが取付けられるストラップホール付きです。",,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,5 ,製品名,iPhone 13 お買いものパンダ IIIIfit Clear（ひょっこり）,色,クリア,素材,ポリカーボネート/熱可塑性ポリウレタン,型番,RMAPPHNE21C0172CL,JANコード,4580692435138 ,,,,,,,,,,,"★本製品は本体を衝撃や傷から完全に保護することを保証するものでは ありません。
★本製品を使用しての事故や本体の傷、故障、データの損失 などに関しては、当社では一切の責任を負いかねます。
★本製品を用途以 外の目的には使用しないでください。
★本製品が濡れた場合は、乾いた柔 らかい布で拭いてください。
★高温、多湿、直射日光の当たる場所など環 境変化の大きな場所での長期保管はしないでください。商品劣化の原因 となります。
★幼児の手の届かない場所へ保管してください。
★デザイン／ 仕様などは改良のため予告なく変更する場合があります。
★お客様のご使 用状況や環境などにより、変色する場合があります。
★本製品の使用過程 で発生した色落ち、色移りにつきましては、当社では一切の責任を負いか ねます。
★徹底した品質管理のもと生産しておりますが、万が一初期不良 が確認された場合は、ご購入から1週間以内に製造元までご連絡をお 願いします。",株式会社グルマンディーズ,"サービス係
03-5951-0260
受付時間：10：00～17：00
E-mail:t-service@gourmandise.co.jp",iPhone 13[https://network.mobile.rakuten.co.jp/product/iphone/iphone-13/?l-id=product_accessory_rselect-rmapphne21c0172cl_iphone-13],,,,
2021/9/17,,ケース,,600155,iPhone 13,iPhone 13 ハイブリッドクリアケース,,,クリア,#E8FEFF,1200 ,,,50 ,25 ,rselect-rmapphne21c0171cl,,,,,https://onboarding.mobile.rakuten.co.jp/accessories-details?exid=600155,※my 楽天モバイルからのご購入は、製品と同時購入の場合のみ送料無料となります。,,,https://item.rakuten.co.jp/rakutenmobile-store/rselect-rmapphne21c0171cl/,※送料無料,,,,,5 ,TRUE,,,,,,,FALSE,3 ,pht-accessory-04.png,透明度の高いクリアケース,端末を保護すること、本体のデザインを楽しむことを両立したカバーです。高透明のカバーなので、本体の美しいデザインをそこないません。,pht-accessory-02.png,端末の側面もしっかり保護,側面のボタンや端子周りまでしっかり保護します。,pht-accessory-00.png,ケースを装着したままカメラ使用可能,カメラ機能やタッチパネル操作が可能です。 また各種ボタンの操作も使用可能です。,,,,,,,,,,,,,,,5 ,製品名,iPhone 13 ハイブリッドクリアケース,色,クリア,素材,ポリカーボネート、熱可塑性ポリウレタン,型番,RMAPPHNE21C0171CL,JANコード,4580692435121 ,,,,,,,,,,,"★本製品の取り付け、取り外しはお客様の責任において行ってください。
★本製品は機器本体への傷や汚れを完全に防ぐものではありません。
★本製品装着時において、すべての機能、動作を保証するものではありません。
★装着する前に機器本体や本製品についているほこりや油分、水分、ごみなどをよく拭き取ってから使用してください。機器本体への傷の原因となります。
★お客様のご使用状況、環境などにより、変色する場合があります。
★本製品に汚れなどがついた場合は、柔らかい生地で軽く拭き取ってください。
★皮膚に異常を感じたときはすぐに使用を止め、専門医にご相談ください。
★本製品を装着したまま写真撮影が可能ですが、撮影環境によっては、影や反射光の映り込みが発生する場合があります。そのような場合は本製品を取り外してご使用ください。
★機器本体の破損や故障、データの損失、消滅などについては一切の責任を負いかねますので、あらかじめご了承ください。
★商品およびパッケージは予告なく変更になることがあります。
★万が一、製造上の原因による初期不良品があった場合は、同製品または同等の製品と交換をいたします。ご対応の際に購入証明書等が必要となる場合がありますので、購入証明書等は必ず保管しておいてください。
★iPhone は、米国および他の国々で登録されたAppleInc. の商標です。iPhone の商標は、アイホン株式会社のライセンスに基づき使用されています。",株式会社トレミール,"TEL: 03-5114-1357
FAX: 03-5114-1375
e-mail:info@l-mobiledo.net
（平日10：00～17：00）
※祝祭日、夏期、年末年始特定休業日を除く",iPhone 13[https://network.mobile.rakuten.co.jp/product/iphone/iphone-13/?l-id=product_accessory_rselect-rmapphne21c0171cl_iphone-13],,,,
