,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release,Box,カテゴリー,ID,メインImage,,アクセサリートップ用対応機種,製品名,メーカー,カラー,,価格,,型番,marketing page URL,楽天市場で購入する URL ,"表示画像枚数
最大20枚","R SELECT
",製品の特長（リスト型）　最大５つ,,,,,,製品の特長（画像+テキスト）　最大３つ,,,,,,,,,,,,,スペック表,,,,,,,,,,,,,,,,,,,,,,,注釈,製造元,問い合わせ先,対応製品（専用アクセサリー）,対応製品（自由テキスト）,対応製品（リンク）,対応製品（Rakuten Mobile Select）
,,,,画像,ファイル名,,,,カラー名,カラーコード,税別,税込,,,,,,リスト数,内容①,内容②,内容③,内容④,内容⑤,イメージ数,画像①,画像①ファイル名,タイトル①,テキスト①,画像②,画像②ファイル名,タイトル②,テキスト②,画像③,画像③ファイル名,タイトル③,テキスト③,スペック項目数,項目名,テキスト,項目名,テキスト,項目名,テキスト,項目名,テキスト,項目名,テキスト,項目名,テキスト,項目名,テキスト,項目名,テキスト,項目名,テキスト,項目名,テキスト,項目名,テキスト,,,,対応製品名,,,
例,素材格納Box URL,ケース,"編成が付与
触らない",アクセサリートップ掲載用,"素材の元ファイル名
xxx.png",,,,"ブラック／ホワイト／ゴールド
※推し色先頭
※2色以上ある場合は「／」でつなぐ",#XXXXXX／#XXXXXX,"xxxx
※「,」なし","xxxx
※「,」なし","メーカー-推し色型番
※メーカーと型番の繋ぎ以外に「-」使わない。すべて小文字",,絶対パス,枚数,R SELECT,0-5までリスト型で表示する数を記入,"テキストテキスト
※先頭に「・」入れない",,,,,0-3までイメージあり特長の数を記入,image添付,"素材の元ファイル名
xxx.png",見出し,"詳細テキスト
※ですます調",image添付,"素材の元ファイル名
xxx.png",見出し,"詳細テキスト
※ですます調",image添付,"素材の元ファイル名
xxx.png",見出し,"詳細テキスト
※ですます調",スペック項目数を記入,製品名,,メーカー,,容量,,サイズ,,カードタイプ,,読み取り速度,,転送速度,,電圧,,SDアダプター,○ OR -,,,,,"先頭に★
1注釈ずつ改行",自由テキスト,自由テキスト,"AQUOS sense2 SH-M08[https：／／mobile.rakuten.co.jp／product／aquos-shm08／]／HUAWEI nova lite 3[https：／／mobile.rakuten.co.jp／product／novalite3／]
※2製品以上ある場合は「／」でつなげる
※MNO取り扱い製品については製品詳細リンクを[]内に記載","好きなテキストを表示できます。
※リンクなし","対応製品一覧表はこちら
リンク先URLを記載","Rakuten Mobile SELECTの対応製品一覧はこちら
リンク先URLを記載"
,,,,,,,,,,,,0,,型番入力するとURL表示,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,型番入力するとURL表示,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,型番入力するとURL表示,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,型番入力するとURL表示,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,型番入力するとURL表示,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,型番入力するとURL表示,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,型番入力するとURL表示,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,型番入力するとURL表示,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
