都道府県,都市名,URL
北海道,北海道 全域,/area/hokkaido/
北海道,北海道 札幌市,/area/hokkaido/1101/
北海道,北海道 函館市,/area/hokkaido/1202/
北海道,北海道 旭川市,/area/hokkaido/1204/
北海道,北海道 釧路市,/area/hokkaido/1206/
北海道,北海道 帯広市,/area/hokkaido/1207/
青森県,青森県 全域,/area/aomori/
青森県,青森県 青森市,/area/aomori/2201/
青森県,青森県 八戸市,/area/aomori/2203/
岩手県,岩手県 全域,/area/iwate/
岩手県,岩手県 盛岡市,/area/iwate/3201/
宮城県,宮城県 全域,/area/miyagi/
宮城県,宮城県 仙台市,/area/miyagi/4101/
秋田県,秋田県 全域,/area/akita/
秋田県,秋田県 秋田市,/area/akita/5201/
山形県,山形県 全域,/area/yamagata/
山形県,山形県 山形市,/area/yamagata/6201/
福島県,福島県 全域,/area/fukushima/
福島県,福島県 福島市,/area/fukushima/7201/
福島県,福島県 郡山市,/area/fukushima/7203/
福島県,福島県 いわき市,/area/fukushima/7204/
栃木県,栃木県 全域,/area/tochigi/
栃木県,栃木県 宇都宮市,/area/tochigi/9201/
群馬県,群馬県 全域,/area/gunma/
群馬県,群馬県 前橋市,/area/gunma/10201/
群馬県,群馬県 高崎市,/area/gunma/10202/
群馬県,群馬県 伊勢崎市,/area/gunma/10204/
群馬県,群馬県 太田市,/area/gunma/10205/
埼玉県,埼玉県 全域,/area/saitama/
埼玉県,埼玉県 さいたま市,/area/saitama/11101/
埼玉県,埼玉県 川越市,/area/saitama/11201/
埼玉県,埼玉県 熊谷市,/area/saitama/11202/
埼玉県,埼玉県 川口市,/area/saitama/11203/
埼玉県,埼玉県 所沢市,/area/saitama/11208/
埼玉県,埼玉県 春日部市,/area/saitama/11214/
埼玉県,埼玉県 草加市,/area/saitama/11221/
埼玉県,埼玉県 越谷市,/area/saitama/11222/
山梨県,山梨県 全域,/area/yamanashi/
山梨県,山梨県 甲府市,/area/yamanashi/19201/
東京都,東京都 全域,/area/tokyo/
東京都,東京都 八王子市,/area/tokyo/13201/
神奈川県,神奈川県 全域,/area/kanagawa/
神奈川県,神奈川県 横浜市,/area/kanagawa/14101/
神奈川県,神奈川県 川崎市,/area/kanagawa/14131/
神奈川県,神奈川県 相模原市,/area/kanagawa/14151/
神奈川県,神奈川県 横須賀市,/area/kanagawa/14201/
神奈川県,神奈川県 平塚市,/area/kanagawa/14203/
神奈川県,神奈川県 小田原市,/area/kanagawa/14206/
神奈川県,神奈川県 茅ヶ崎市,/area/kanagawa/14207/
神奈川県,神奈川県 厚木市,/area/kanagawa/14212/
神奈川県,神奈川県 大和市,/area/kanagawa/14213/
千葉県,千葉県 全域,/area/chiba/
千葉県,千葉県 千葉市,/area/chiba/12101/
千葉県,千葉県 船橋市,/area/chiba/12204/
千葉県,千葉県 柏市,/area/chiba/12217/
茨城県,茨城県 全域,/area/ibaraki/
茨城県,茨城県 水戸市,/area/ibaraki/8201/
茨城県,茨城県 つくば市,/area/ibaraki/8220/
新潟県,新潟県 全域,/area/niigata/
新潟県,新潟県 新潟市,/area/niigata/15101/
新潟県,新潟県 長岡市,/area/niigata/15202/
新潟県,新潟県 上越市,/area/niigata/15222/
長野県,長野県 全域,/area/nagano/
長野県,長野県 長野市,/area/nagano/20201/
長野県,長野県 松本市,/area/nagano/20202/
富山県,富山県 全域,/area/toyama/
富山県,富山県 富山市,/area/toyama/16201/
石川県,石川県 全域,/area/ishikawa/
石川県,石川県 金沢市,/area/ishikawa/17201/
福井県,福井県 全域,/area/fukui/
福井県,福井県 福井市,/area/fukui/18201/
岐阜県,岐阜県 全域,/area/gifu/
岐阜県,岐阜県 岐阜市,/area/gifu/21201/
静岡県,静岡県 全域,/area/shizuoka/
静岡県,静岡県 静岡市,/area/shizuoka/22101/
静岡県,静岡県 浜松市,/area/shizuoka/22131/
静岡県,静岡県 沼津市,/area/shizuoka/22203/
静岡県,静岡県 富士市,/area/shizuoka/22210/
愛知県,愛知県 全域,/area/aichi/
愛知県,愛知県 名古屋市,/area/aichi/23101/
愛知県,愛知県 豊橋市,/area/aichi/23201/
愛知県,愛知県 岡崎市,/area/aichi/23202/
愛知県,愛知県 一宮市,/area/aichi/23203/
愛知県,愛知県 春日井市,/area/aichi/23206/
愛知県,愛知県 豊田市,/area/aichi/23211/
三重県,三重県 全域,/area/mie/
三重県,三重県 四日市市,/area/mie/24202/
滋賀県,滋賀県 全域,/area/shiga/
滋賀県,滋賀県 大津市,/area/shiga/25201/
奈良県,奈良県 全域,/area/nara/
奈良県,奈良県 奈良市,/area/nara/29201/
和歌山県,和歌山県 全域,/area/wakayama/
和歌山県,和歌山県 和歌山市,/area/wakayama/30201/
京都府,京都府 全域,/area/kyoto/
京都府,京都府 京都市,/area/kyoto/26101/
大阪府,大阪府 全域,/area/osaka/
大阪府,大阪府 大阪市,/area/osaka/27102/
