key_code,key_code2,directory1,directory2,pref,city,kv_img,kv_cth_pc,kv_cth_sp,kv_notice_txt,kvbn1_img_pc,kvbn1_img_sp,kvbn1_alt,kvbn1_url,kvbn1_blank,cover_ratio,attention1_title,attention1_url,attention2_title,attention2_url,attention3_title,attention3_url,attention4_title,attention4_url,attention5_title,attention5_url,area_map,os_video,os_live,os_game,os_music,os_dl,os_ul,os_utilization,os_out-of-range,os_consistent-quality,search_city,x_account,x_bn_pc,x_bn_sp,bn1_img_pc,bn1_img_sp,bn1_alt,bn1_url,bn1_blank,bn2_img_pc,bn2_img_sp,bn2_alt,bn2_url,bn2_blank,us_title,us_ratio,us_voice ,uv1_img,uv1_title,uv1_url,uv2_img,uv2_title,uv2_url,uv3_img,uv3_title,uv3_url,q1_n,q1_img_pc,q1_img_sp,q1_percentage,q1_disclaimer,q2_n,q2_img_pc,q2_img_sp,q2_percentage,q2_disclaimer,q_prefecture
hokkaido_pref,hokkaido_pref,hokkaido,,北海道,,kv_hokkaido.jpg,catch-pc.png?231212,catch-sp.png?231212,※1 2023年9月時点。人口カバー率は、国勢調査に用いられる約500m区画において、50%以上の場所で通信可能なエリアを基に算出,,,,,,99.82%,,,,,,,,,,,hokkaido_map.png?231122,,1,,,,1,1,,,,RM__Hokkaido,bnr-twitter-hokkaido-pc.png,bnr-twitter-hokkaido-sp.png,,,,,,,,,,,,,,uv1_hokkaido.jpg,子どものお昼寝中にオンラインで乗り換え完了！節約もできて満足,https://network.mobile.rakuten.co.jp/uservoice/11/,,,,,,,505,q_img_1_pc.png,q_img_1_sp.png,85,※楽天モバイルユーザーのうち楽天モバイルメイン利用者が「絶対に乗り換えてよかったと思う」「乗り換えてよかったと思う」「どちらかといえば乗り換えてよかったと思う」と回答した割合,600,q_img_2_pc.png,q_img_2_sp.png,83,※楽天モバイル利用者が「毎月の支出を節約できる」に対して「とてもそう思う」「そう思う」「どちらかといえばそう思う」と回答した割合,
hokkaido_1101,hokkaido_sapporo,hokkaido,1101,北海道,札幌市,kv_1101.jpg,catch-pc.png?231212,catch-sp.png?231212,※1 2023年9月時点。人口カバー率は、国勢調査に用いられる約500m区画において、50%以上の場所で通信可能なエリアを基に算出,,,,,,100.00%,,,,,,,,,,,map_1101.png,1,,,,,1,1,,,札幌市,RM__Hokkaido,bnr-twitter-hokkaido-pc.png,bnr-twitter-hokkaido-sp.png,,,,,,,,,,,,,,,,,,,,,,,270,q_img_1_pc.png,q_img_1_sp.png,86,※楽天モバイルユーザーのうち楽天モバイルメイン利用者が「絶対に乗り換えてよかったと思う」「乗り換えてよかったと思う」「どちらかといえば乗り換えてよかったと思う」と回答した割合,316,q_img_2_pc.png,q_img_2_sp.png,84,※楽天モバイル利用者が「毎月の支出を節約できる」に対して「とてもそう思う」「そう思う」「どちらかといえばそう思う」と回答した割合,
hokkaido_1202,hokkaido_hakodate,hokkaido,1202,北海道,函館市,kv_1202.jpg,catch-pc.png?231212,catch-sp.png?231212,※1 2023年9月時点。人口カバー率は、国勢調査に用いられる約500m区画において、50%以上の場所で通信可能なエリアを基に算出,,,,,,99.64%,,,,,,,,,,,map_1202.png,1,,1,,,1,1,1,1,函館市,RM__Hokkaido,bnr-twitter-hokkaido-pc.png,bnr-twitter-hokkaido-sp.png,,,,,,,,,,,,,,,,,,,,,,,505,q_img_1_pc.png,q_img_1_sp.png,85,※楽天モバイルユーザーのうち楽天モバイルメイン利用者が「絶対に乗り換えてよかったと思う」「乗り換えてよかったと思う」「どちらかといえば乗り換えてよかったと思う」と回答した割合,600,q_img_2_pc.png,q_img_2_sp.png,83,※楽天モバイル利用者が「毎月の支出を節約できる」に対して「とてもそう思う」「そう思う」「どちらかといえばそう思う」と回答した割合,1
hokkaido_1204,hokkaido_asahikawa,hokkaido,1204,北海道,旭川市,kv_1204.jpg,catch-pc.png?231212,catch-sp.png?231212,※1 2023年9月時点。人口カバー率は、国勢調査に用いられる約500m区画において、50%以上の場所で通信可能なエリアを基に算出,,,,,,99.98%,,,,,,,,,,,map_1204.png,,,1,,,1,1,1,1,旭川市,RM__Hokkaido,bnr-twitter-hokkaido-pc.png,bnr-twitter-hokkaido-sp.png,,,,,,,,,,,,,,,,,,,,,,,505,q_img_1_pc.png,q_img_1_sp.png,85,※楽天モバイルユーザーのうち楽天モバイルメイン利用者が「絶対に乗り換えてよかったと思う」「乗り換えてよかったと思う」「どちらかといえば乗り換えてよかったと思う」と回答した割合,600,q_img_2_pc.png,q_img_2_sp.png,83,※楽天モバイル利用者が「毎月の支出を節約できる」に対して「とてもそう思う」「そう思う」「どちらかといえばそう思う」と回答した割合,1
hokkaido_1206,hokkaido_kushiro,hokkaido,1206,北海道,釧路市,kv_1206.jpg,catch-pc.png?231212,catch-sp.png?231212,※1 2023年9月時点。人口カバー率は、国勢調査に用いられる約500m区画において、50%以上の場所で通信可能なエリアを基に算出,,,,,,99.97%,,,,,,,,,,,map_1206.png,1,,1,,1,1,1,,1,釧路市,RM__Hokkaido,bnr-twitter-hokkaido-pc.png,bnr-twitter-hokkaido-sp.png,,,,,,,,,,,,,,,,,,,,,,,505,q_img_1_pc.png,q_img_1_sp.png,85,※楽天モバイルユーザーのうち楽天モバイルメイン利用者が「絶対に乗り換えてよかったと思う」「乗り換えてよかったと思う」「どちらかといえば乗り換えてよかったと思う」と回答した割合,600,q_img_2_pc.png,q_img_2_sp.png,83,※楽天モバイル利用者が「毎月の支出を節約できる」に対して「とてもそう思う」「そう思う」「どちらかといえばそう思う」と回答した割合,1
hokkaido_1207,hokkaido_obihiro,hokkaido,1207,北海道,帯広市,kv_1207.jpg,catch-pc.png?231212,catch-sp.png?231212,※1 2023年9月時点。人口カバー率は、国勢調査に用いられる約500m区画において、50%以上の場所で通信可能なエリアを基に算出,,,,,,99.96%,,,,,,,,,,,map_1207.png,1,,1,,1,1,1,,1,帯広市,RM__Hokkaido,bnr-twitter-hokkaido-pc.png,bnr-twitter-hokkaido-sp.png,,,,,,,,,,,,,,,,,,,,,,,505,q_img_1_pc.png,q_img_1_sp.png,85,※楽天モバイルユーザーのうち楽天モバイルメイン利用者が「絶対に乗り換えてよかったと思う」「乗り換えてよかったと思う」「どちらかといえば乗り換えてよかったと思う」と回答した割合,600,q_img_2_pc.png,q_img_2_sp.png,83,※楽天モバイル利用者が「毎月の支出を節約できる」に対して「とてもそう思う」「そう思う」「どちらかといえばそう思う」と回答した割合,1
aomori_pref,aomori_pref,aomori,,青森県,,kv_aomori.jpg,kv_cth_tohoku_pc.png?231212,kv_cth_tohoku_sp.png?231212,"※1 2023年9月時点。人口カバー率は、国勢調査に用いられる約500m区画において、50%以上の場所で通信可能なエリアを基に算出
※2 携帯電話の事業別契約者数を、大手3キャリアはTCA（一般社団法人 電気通信事業者協会）の結果と自社データから算出。2023年6月と9月の結果に基づき契約数の増加数を算出し比較。東北エリアとは、青森県、岩手県、宮城県、秋田県、山形県、福島県を指す。",,,,,,99.88%,,,,,,,,,,,aomori_map.png?231122,1,1,,,,1,1,,,,RM__Tohoku,bnr-twitter-tohoku-pc.png,bnr-twitter-tohoku-sp.png,,,,,,,,,,,,,,,,,,,,,,,358,q_img_1_pc.png,q_img_1_sp.png,85,※楽天モバイルユーザーのうち楽天モバイルメイン利用者が「絶対に乗り換えてよかったと思う」「乗り換えてよかったと思う」「どちらかといえば乗り換えてよかったと思う」と回答した割合,414,q_img_2_pc.png,q_img_2_sp.png,86,※楽天モバイル利用者が「毎月の支出を節約できる」に対して「とてもそう思う」「そう思う」「どちらかといえばそう思う」と回答した割合,
aomori_2203,aomori_hachinohe,aomori,2203,青森県,八戸市,kv_2203.jpg,kv_cth_tohoku_pc.png?231212,kv_cth_tohoku_sp.png?231212,"※1 2023年9月時点。人口カバー率は、国勢調査に用いられる約500m区画において、50%以上の場所で通信可能なエリアを基に算出
※2 携帯電話の事業別契約者数を、大手3キャリアはTCA（一般社団法人 電気通信事業者協会）の結果と自社データから算出。2023年6月と9月の結果に基づき契約数の増加数を算出し比較。東北エリアとは、青森県、岩手県、宮城県、秋田県、山形県、福島県を指す。",,,,,,99.57%,,,,,,,,,,,map_2203.png,1,,1,,,1,1,1,,八戸市,RM__Tohoku,bnr-twitter-tohoku-pc.png,bnr-twitter-tohoku-sp.png,,,,,,,,,,,,,,,,,,,,,,,358,q_img_1_pc.png,q_img_1_sp.png,85,※楽天モバイルユーザーのうち楽天モバイルメイン利用者が「絶対に乗り換えてよかったと思う」「乗り換えてよかったと思う」「どちらかといえば乗り換えてよかったと思う」と回答した割合,414,q_img_2_pc.png,q_img_2_sp.png,86,※楽天モバイル利用者が「毎月の支出を節約できる」に対して「とてもそう思う」「そう思う」「どちらかといえばそう思う」と回答した割合,1
aomori_2201,aomori_aomori,aomori,2201,青森県,青森市,kv_2201.jpg,kv_cth_tohoku_pc.png?231212,kv_cth_tohoku_sp.png?231212,"※1 2023年9月時点。人口カバー率は、国勢調査に用いられる約500m区画において、50%以上の場所で通信可能なエリアを基に算出
※2 携帯電話の事業別契約者数を、大手3キャリアはTCA（一般社団法人 電気通信事業者協会）の結果と自社データから算出。2023年6月と9月の結果に基づき契約数の増加数を算出し比較。東北エリアとは、青森県、岩手県、宮城県、秋田県、山形県、福島県を指す。",,,,,,99.67%,,,,,,,,,,,map_2201.png,1,,,,,1,1,,1,青森市,RM__Tohoku,bnr-twitter-tohoku-pc.png,bnr-twitter-tohoku-sp.png,,,,,,,,,,,,,,,,,,,,,,,99,q_img_1_pc.png,q_img_1_sp.png,88,※楽天モバイルユーザーのうち楽天モバイルメイン利用者が「絶対に乗り換えてよかったと思う」「乗り換えてよかったと思う」「どちらかといえば乗り換えてよかったと思う」と回答した割合,118,q_img_2_pc.png,q_img_2_sp.png,88,※楽天モバイル利用者が「毎月の支出を節約できる」に対して「とてもそう思う」「そう思う」「どちらかといえばそう思う」と回答した割合,
iwate_pref,iwate_pref,iwate,,岩手県,,kv_iwate.jpg,kv_cth_tohoku_pc.png?231212,kv_cth_tohoku_sp.png?231212,"※1 2023年9月時点。人口カバー率は、国勢調査に用いられる約500m区画において、50%以上の場所で通信可能なエリアを基に算出
※2 携帯電話の事業別契約者数を、大手3キャリアはTCA（一般社団法人 電気通信事業者協会）の結果と自社データから算出。2023年6月と9月の結果に基づき契約数の増加数を算出し比較。東北エリアとは、青森県、岩手県、宮城県、秋田県、山形県、福島県を指す。",,,,,,99.53%,,,,,,,,,,,iwate_map.png?231122,1,1,1,1,,1,1,,,,RM__Tohoku,bnr-twitter-tohoku-pc.png,bnr-twitter-tohoku-sp.png,,,,,,,,,,,,,,,,,,,,,,,351,q_img_1_pc.png,q_img_1_sp.png,81,※楽天モバイルユーザーのうち楽天モバイルメイン利用者が「絶対に乗り換えてよかったと思う」「乗り換えてよかったと思う」「どちらかといえば乗り換えてよかったと思う」と回答した割合,427,q_img_2_pc.png,q_img_2_sp.png,85,※楽天モバイル利用者が「毎月の支出を節約できる」に対して「とてもそう思う」「そう思う」「どちらかといえばそう思う」と回答した割合,
