update,area1,area2,day,spot,ruby,atr,
2023年5月30日,北陸,富山県,,富山駅地下通路,とやまえきちかつうろ,施設,
,北陸,石川県,,小松市民病院,こまつしみんびょういん,病院,
,北陸,石川県,,金沢駅地下街,かなざわえきちかがい,施設,
,北陸,福井県,,北陸新幹線 新北陸トンネル,ほくりくしんかんせん しんほくりくとんねる,鉄道,
,北陸,福井県,,北陸新幹線 武生トンネル,ほくりくしんかんせん たけふとんねる,鉄道,
,北陸,福井県,,北陸新幹線 脇本トンネル,ほくりくしんかんせん わきもととんねる,鉄道,
,東海,岐阜県,,岐阜県総合医療センター,ぎふけんそうごういりょうせんたー,病院,
,東海,岐阜県,,岐阜大学医学部附属病院,ぎふだいがくいがくぶふぞくびょういん,病院,
,東海,岐阜県,,東海道新幹線 山中トンネル,とうかいどうしんかんせん やまなかとんえる,鉄道,
,東海,静岡県,,磐田市立総合病院,いわたしりつそうごうびょういん,病院,
,東海,静岡県,,JR東海東海道本線 新牧ノ原トンネル,じぇいあーるとうかいとうかいどうほんせん しんまきのはらとんねる,鉄道,
,東海,静岡県,,JR東海東海道本線 牧の原トンネル,じぇいあーるとうかいとうかいどうほんせん まきのはらとんねる,鉄道,
,東海,静岡県,,東海道新幹線 下の池トンネル,とうかいどうしんかんせん しものいけとんねる,鉄道,
,東海,静岡県,,東海道新幹線 蒲原トンネル,とうかいどうしんかんせん かんばらとんねる,鉄道,
,東海,静岡県,,東海道新幹線 観音松トンネル,とうかいどうしんかんせん かんのんまつとんねる,鉄道,
,東海,静岡県,,東海道新幹線 菊川トンネル,とうかいどうしんかんせん きくがわとんねる,鉄道,
,東海,静岡県,,東海道新幹線 興津トンネル,とうかいどうしんかんせん おきつとんねる,鉄道,
,東海,静岡県,,東海道新幹線 玉沢トンネル,とうかいどうしんかんせん たまさわとんねる,鉄道,
,東海,静岡県,,東海道新幹線 新丹那トンネル,とうかいどうしんかんせん しんたんなとんねる,鉄道,
,東海,静岡県,,東海道新幹線 石部トンネル,とうかいどうしんかんせん いしべとんねる,鉄道,
,東海,静岡県,,東海道新幹線 切山トンネル,とうかいどうしんかんせん きりやまとんねる,鉄道,
,東海,静岡県,,東海道新幹線 泉越トンネル,とうかいどうしんかんせん いずみごえとんねる,鉄道,
,東海,静岡県,,東海道新幹線 袖師トンネル,とうかいどうしんかんせん そでしとんねる,鉄道,
,東海,静岡県,,東海道新幹線 第一高尾山トンネル,とうかいどうしんかんせん だいいちたかおやまとんねる,鉄道,
,東海,静岡県,,東海道新幹線 第一熱海トンネル,とうかいどうしんかんせん だいいちあたみとんねる,鉄道,
,東海,静岡県,,東海道新幹線 第二高尾山トンネル,とうかいどうしんかんせん だいにたかおやまとんねる,鉄道,
,東海,静岡県,,東海道新幹線 第二熱海トンネル,とうかいどうしんかんせん だいにあたみとんねる,鉄道,
,東海,静岡県,,東海道新幹線 谷田トンネル,とうかいどうしんかんせん たにだとんねる,鉄道,
,東海,静岡県,,東海道新幹線 竹倉トンネル,とうかいどうしんかんせん たけくらとんねる,鉄道,
,東海,静岡県,,東海道新幹線 潮海寺トンネル,とうかいどうしんかんせん ちょうかいじとんねる,鉄道,
,東海,静岡県,,東海道新幹線 日本坂トンネル,とうかいどうしんかんせん にほんざかとんねる,鉄道,
,東海,静岡県,,東海道新幹線 函南トンネル,とうかいどうしんかんせん かんなみとんねる,鉄道,
,東海,静岡県,,東海道新幹線 牧の原トンネル,とうかいどうしんかんせん まきのはらとんねる,鉄道,
,東海,静岡県,,東海道新幹線 由比トンネル,とうかいどうしんかんせん ゆいとんねる,鉄道,
,東海,静岡県,,東海道新幹線 用宗トンネル,とうかいどうしんかんせん もちむねとんねる,鉄道,
,東海,愛知県,,西尾市民病院,にしおしみんびょういん,病院,
,東海,愛知県,,栄駅地下街,さかええきちかがい,施設,
,東海,愛知県,,名古屋駅地下街,なごやえきちかがい,施設,
,東海,愛知県,,近鉄名古屋線 近鉄名古屋駅～米野駅間,きんてつなごやせん きんてつなごやえき～こめのえきかん,鉄道,
,東海,愛知県,,近鉄名古屋線 名古屋駅,きんてつなごやせん なごやえき,鉄道,
,東海,愛知県,,名古屋市営地下鉄桜通線 丸の内駅,なごやしえいちかてつさくらどおりせん まるのうちえき,鉄道,
,東海,愛知県,,名古屋市営地下鉄桜通線 丸の内駅～久屋大通駅間,なごやしえいちかてつさくらどおりせん まるのうちえき～ひさやおおどおりえきかん,鉄道,
,東海,愛知県,,名古屋市営地下鉄桜通線 久屋大通駅,なごやしえいちかてつさくらどおりせん ひさやおおどおりえき,鉄道,
,東海,愛知県,,名古屋市営地下鉄桜通線 久屋大通駅～高岳駅間,なごやしえいちかてつさくらどおりせん ひさやおおどおりえき～たかおかえきかん,鉄道,
,東海,愛知県,,名古屋市営地下鉄桜通線 国際センター駅,なごやしえいちかてつさくらどおりせん こくさいせんたーえき,鉄道,
,東海,愛知県,,名古屋市営地下鉄桜通線 国際センター駅～丸の内駅間,なごやしえいちかてつさくらどおりせん こくさいせんたーえき～まるのうちえきかん,鉄道,
,東海,愛知県,,名古屋市営地下鉄桜通線 太閤通駅,なごやしえいちかてつさくらどおりせん たいこうどおりえき,鉄道,
,東海,愛知県,,名古屋市営地下鉄桜通線 太閤通駅～名古屋駅間,なごやしえいちかてつさくらどおりせん たいこうどおりえき～なごやえきかん,鉄道,
,東海,愛知県,,名古屋市営地下鉄桜通線 名古屋駅,なごやしえいちかてつさくらどおりせん なごやえき,鉄道,
,東海,愛知県,,名古屋市営地下鉄桜通線 名古屋駅～国際センター駅間,なごやしえいちかてつさくらどおりせん なごやえき～こくさいせんたーえきかん,鉄道,
