Type,ID,PostalCode,Prefecture,City,Date
4G,RNI0501002225,101211,秋田県,秋田市,2024/4/5
5G,REA0902602058,3210417,栃木県,宇都宮市,2024/4/4
5G,REA0902600399,3260033,栃木県,足利市,2024/4/4
5G,REA1002600713,3760101,群馬県,みどり市,2024/4/4
5G,REA1002600723,3700524,群馬県,邑楽郡大泉町,2024/4/4
5G,REA1102600112,3430032,埼玉県,越谷市,2024/4/4
5G,REA1102600050,3430015,埼玉県,越谷市,2024/4/4
5G,REA1102600783,3440032,埼玉県,春日部市,2024/4/4
5G,REA1102600262,3591144,埼玉県,所沢市,2024/4/4
5G,REA1102600259,3591121,埼玉県,所沢市,2024/4/4
5G,REA1202600073,2700119,千葉県,流山市,2024/4/4
5G,REA1302602162,1940003,東京都,町田市,2024/4/4
5G,REA1302600016,1940036,東京都,町田市,2024/4/4
5G,REA1302602468,1910032,東京都,日野市,2024/4/4
5G,REA1402600612,2530106,神奈川県,高座郡寒川町,2024/4/4
5G,REA1402602387,2520021,神奈川県,座間市,2024/4/4
5G,REA1402600109,2520244,神奈川県,相模原市中央区,2024/4/4
5G,REB1502602243,9410032,新潟県,糸魚川市,2024/4/4
5G,REB1502602379,9451501,新潟県,柏崎市,2024/4/4
5G,RED1602602068,9350402,富山県,氷見市,2024/4/4
4G,RND1701002126,9292216,石川県,七尾市,2024/4/8
5G,REB2002602356,3990511,長野県,上伊那郡辰野町,2024/4/4
5G,REB2002602071,3800935,長野県,長野市,2024/4/4
5G,REC2102602118,5013511,岐阜県,関市,2024/4/11
5G,REC2102600107,5008113,岐阜県,岐阜市,2024/4/4
5G,REC2102602269,5096103,岐阜県,瑞浪市,2024/4/11
5G,REC2202602400,4180012,静岡県,富士宮市,2024/4/11
4G,RNC22B1000029,4180011,静岡県,富士宮市,2024/4/5
5G,REC2302600798,4700225,愛知県,みよし市,2024/4/11
5G,REC2302600339,4928268,愛知県,稲沢市,2024/4/4
5G,REC2302601335,4411634,愛知県,新城市,2024/4/15
5G,REC2302600555,4801219,愛知県,瀬戸市,2024/4/11
4G,RNC2301002040,4440511,愛知県,西尾市,2024/4/11
5G,REC2302601205,4702361,愛知県,知多郡武豊町,2024/4/15
5G,REC2302600209,4420882,愛知県,豊川市,2024/4/12
5G,REC2302602309,4442424,愛知県,豊田市,2024/4/11
5G,REC2302602256,4443222,愛知県,豊田市,2024/4/11
5G,REC2302600097,4730925,愛知県,豊田市,2024/4/4
4G,RNC2301002292,4700462,愛知県,豊田市,2024/4/3
5G,REC2302602168,4660064,愛知県,名古屋市昭和区,2024/4/11
5G,NEC2302600358,4670035,愛知県,名古屋市瑞穂区,2024/4/4
5G,REC2402600598,5101222,三重県,三重郡菰野町,2024/4/4
5G,REC2402600763,5192801,三重県,度会郡大紀町,2024/4/11
4G,RNE2501000590,5260829,滋賀県,長浜市,2024/4/10
4G,RNE25B1000010,5270102,滋賀県,東近江市,2024/4/10
4G,RNE2701002731,5960817,大阪府,岸和田市,2024/4/8
5G,REE2702600280,5640072,大阪府,吹田市,2024/4/11
5G,REE2702602321,5590031,大阪府,大阪市住之江区,2024/4/4
5G,REE2702602406,5610833,大阪府,豊中市,2024/4/4
5G,NEE2802600007,6580063,兵庫県,神戸市東灘区,2024/4/4
5G,NEE2802600085,6570813,兵庫県,神戸市灘区,2024/4/4
4G,RNE2801002369,6560961,兵庫県,南あわじ市,2024/4/10
5G,REE2802600345,6600893,兵庫県,尼崎市,2024/4/11
5G,REE2902600261,6320231,奈良県,奈良市,2024/4/4
5G,REE3002602025,6470073,和歌山県,新宮市,2024/4/4
5G,REF3102602088,6820413,鳥取県,倉吉市,2024/4/4
5G,REF3102600023,6891226,鳥取県,鳥取市,2024/4/4
4G,RNF3101000298,6895226,鳥取県,日野郡日南町,2024/4/11
4G,RNF3101000294,6895662,鳥取県,日野郡日南町,2024/4/9
4G,RNF3101002165,6800603,鳥取県,八頭郡八頭町,2024/4/12
5G,REF3202602268,6902313,島根県,雲南市,2024/4/10
4G,RNF3201002323,6991204,島根県,雲南市,2024/4/4
5G,REF3202602166,6994111,島根県,江津市,2024/4/4
5G,REF3202600065,6900133,島根県,松江市,2024/4/4
5G,REF3202602123,6940431,島根県,大田市,2024/4/10
5G,REF3202600323,6970123,島根県,浜田市,2024/4/15
4G,RNF3201002019,6970426,島根県,浜田市,2024/4/4
4G,RNF3301002243,7161101,岡山県,加賀郡吉備中央町,2024/4/8
5G,REF3302600557,7060021,岡山県,玉野市,2024/4/4
4G,RNF3301002297,7192233,岡山県,高梁市,2024/4/9
4G,RNF3301002079,7161403,岡山県,真庭市,2024/4/12
4G,RNF3301002458,7193136,岡山県,真庭市,2024/4/11
4G,RNF3301002052,7193122,岡山県,真庭市,2024/4/9
4G,RNF3301002336,7094252,岡山県,美作市,2024/4/12
5G,REF3402602209,7350011,広島県,安芸郡府中町,2024/4/10
5G,REF3402600428,7310152,広島県,広島市安佐南区,2024/4/4
4G,RNF3401002367,7221202,広島県,世羅郡世羅町,2024/4/10
5G,REF3402600713,7250002,広島県,竹原市,2024/4/4
5G,REF3402602246,7392203,広島県,東広島市,2024/4/4
5G,REF3402600329,7210952,広島県,福山市,2024/4/4
5G,REF3502600291,7400034,山口県,岩国市,2024/4/11
4G,RNF3501002264,7400502,山口県,岩国市,2024/4/4
5G,REF3502600277,7450801,山口県,周南市,2024/4/11
5G,REF3502600010,7470836,山口県,防府市,2024/4/4
5G,REG3602602164,7785252,徳島県,三好市,2024/4/4
5G,REG3702602030,7618074,香川県,高松市,2024/4/9
4G,RNG3801002327,7913310,愛媛県,喜多郡内子町,2024/4/12
4G,RNG3801002383,7918092,愛媛県,松山市,2024/4/10
4G,RNG3801002079,7911211,愛媛県,上浮穴郡久万高原町,2024/4/9
4G,RNG3801002209,7960422,愛媛県,西宇和郡伊方町,2024/4/9
4G,RNG3801002388,7960821,愛媛県,西宇和郡伊方町,2024/4/8
5G,REG3802600482,7930035,愛媛県,西条市,2024/4/10
4G,RNG3801002035,7910537,愛媛県,西条市,2024/4/4
4G,RNG3801002369,7971702,愛媛県,西予市,2024/4/10
4G,RNG3801002297,7971102,愛媛県,西予市,2024/4/8
4G,RNG3801002399,7971503,愛媛県,大洲市,2024/4/9
5G,REG3802600606,7960003,愛媛県,八幡浜市,2024/4/10
4G,RNG3801002215,7960170,愛媛県,八幡浜市,2024/4/8
4G,RNG3801002217,7960170,愛媛県,八幡浜市,2024/4/4
4G,RNG3901000156,7815603,高知県,香南市,2024/4/11
5G,REG3902600042,7815106,高知県,高知市,2024/4/8
4G,RNG3901002222,7870163,高知県,四万十市,2024/4/11
4G,RNG3901002321,7870153,高知県,四万十市,2024/4/9
4G,RNG3901002071,7871616,高知県,四万十市,2024/4/8
4G,RNG3901002165,7870562,高知県,土佐清水市,2024/4/10
4G,RNG3901002087,7891712,高知県,幡多郡黒潮町,2024/4/9
5G,REH4002600497,8110122,福岡県,糟屋郡新宮町,2024/4/4
5G,REH4002601195,8112221,福岡県,糟屋郡須惠町,2024/4/4
5G,REH4002602161,8140022,福岡県,福岡市早良区,2024/4/4
5G,REH4002602151,8120028,福岡県,福岡市博多区,2024/4/4
5G,REH4102600061,8400034,佐賀県,佐賀市,2024/4/4
5G,REH4202600690,8540503,長崎県,雲仙市,2024/4/4
5G,REH4202600623,8570404,長崎県,佐世保市,2024/4/4
5G,REH4202600264,8596134,長崎県,佐世保市,2024/4/4
5G,REH4202600569,8512125,長崎県,西彼杵郡長与町,2024/4/4
5G,REH4202600370,8560845,長崎県,大村市,2024/4/11
5G,REH4202600059,8512202,長崎県,長崎市,2024/4/4
5G,REH4202600522,8540003,長崎県,諫早市,2024/4/4
5G,REH4302602476,8610414,熊本県,山鹿市,2024/4/4
5G,REH4302602264,8670283,熊本県,水俣市,2024/4/4
5G,REH4302602344,8631213,熊本県,天草市,2024/4/4
4G,RNH4301002448,8695173,熊本県,八代市,2024/4/9
5G,REH4402600044,8740838,大分県,別府市,2024/4/5
5G,REH4602602399,8960064,鹿児島県,いちき串木野市,2024/4/4
5G,REH4602600410,8991627,鹿児島県,阿久根市,2024/4/5
5G,REH4602602312,8911401,鹿児島県,鹿児島市,2024/4/4
5G,REO4702602103,9042421,沖縄県,うるま市,2024/4/4
5G,REO4702600163,9012214,沖縄県,宜野湾市,2024/4/8
5G,REO4702600383,9011202,沖縄県,南城市,2024/4/4
5G,REO4702602044,9010241,沖縄県,豊見城市,2024/4/4
