update,number,area,company,line,station,code,4g,ground,between,omit,branch
2023/6/1,1,北海道,札幌市営地下鉄,南北線,麻生,N01,データ高速無制限,地下,駅,,
,2,北海道,札幌市営地下鉄,南北線,麻生～北34条,,データ高速無制限,地下,駅間,,
,3,北海道,札幌市営地下鉄,南北線,北34条,N02,データ高速無制限,地下,駅,,
,4,北海道,札幌市営地下鉄,南北線,北34条～北24条,,データ高速無制限,地下,駅間,,
,5,北海道,札幌市営地下鉄,南北線,北24条,N03,データ高速無制限,地下,駅,,
,6,北海道,札幌市営地下鉄,南北線,北24条～北18条,,データ高速無制限,地下,駅間,,
,7,北海道,札幌市営地下鉄,南北線,北18条,N04,データ高速無制限,地下,駅,,
,8,北海道,札幌市営地下鉄,南北線,北18条～北12条,,データ高速無制限,地下,駅間,,
,9,北海道,札幌市営地下鉄,南北線,北12条,N05,データ高速無制限,地下,駅,,
,10,北海道,札幌市営地下鉄,南北線,北12条～さっぽろ,,データ高速無制限,地下,駅間,,
,11,北海道,札幌市営地下鉄,南北線,さっぽろ,N06,データ高速無制限,地下,駅,,
,12,北海道,札幌市営地下鉄,南北線,さっぽろ～大通,,データ高速無制限,地下,駅間,,
,13,北海道,札幌市営地下鉄,南北線,大通,N07,データ高速無制限,地下,駅,,
,14,北海道,札幌市営地下鉄,南北線,大通～すすきの,,データ高速無制限,地下,駅間,,
,15,北海道,札幌市営地下鉄,南北線,すすきの,N08,データ高速無制限,地下,駅,,
,16,北海道,札幌市営地下鉄,南北線,すすきの～中島公園,,データ高速無制限,地下,駅間,,
,17,北海道,札幌市営地下鉄,南北線,中島公園,N09,データ高速無制限,地下,駅,,
,18,北海道,札幌市営地下鉄,南北線,中島公園～幌平橋,,データ高速無制限,地下,駅間,,
,19,北海道,札幌市営地下鉄,南北線,幌平橋,N10,データ高速無制限,地下,駅,,
,20,北海道,札幌市営地下鉄,南北線,幌平橋～中の島,,データ高速無制限,地下,駅間,,
,21,北海道,札幌市営地下鉄,南北線,中の島,N11,データ高速無制限,地下,駅,,
,22,北海道,札幌市営地下鉄,南北線,中の島～平岸,,データ高速無制限,地下,駅間,,
