製品の種類,ブランド・シリーズ,製品名,docomo(データ通信),docomo(通話),au(データ通信),au(通話),softbank(データ通信),softbank(通話),他社回線注釈,5G/700MHz/バンドn28,5G/1.7GHz/バンドn3,5G/3.7GHz/バンドn77,5G/3.5GHz/バンドn78,5G/4.5GHz/バンドn79,5G/28GHz/バンドn257,LTE/700MHz/バンド28,LTE/800MHz/バンド18/26,LTE/800MHz/バンド19,LTE/900MHz/バンド8,LTE/1.5GHz/バンド11,LTE/1.5GHz/バンド21,LTE/1.7GHz/バンド3,LTE/2.0GHz/バンド1,LTE/3.5GHz/バンド42,3G/800MHz/バンドVI/XIX,3G/900MHz/バンドVIII,3G/1.5GHz/バンドXI,3G/1.7GHz/バンドIX,3G/2.0GHz/バンドI,周波数帯注釈
Android,AQUOS,AQUOS wish3,〇,〇,〇,〇,〇,〇,,〇,〇,〇,〇,〇,-,-,〇 / -,〇,〇,-,-,〇,〇,〇,-,〇,-,-,〇,
Android,AQUOS,AQUOS sense7,〇,〇,〇,〇,〇,〇,※1 各社に割り当てられた周波数帯のうち、人口カバー率が最も高い周波数には対応しておりませんが、通話またはデータ通信はご利用可能です。,〇,〇,〇,〇,-,-,-,〇 / -,〇,〇,-,-,〇,〇,〇,-,〇,-,-,〇,
Android,AQUOS,AQUOS sense8,〇,〇,〇,〇,〇,〇,,〇,〇,〇,〇,〇,-,〇,〇 / -,〇,〇,-,-,〇,〇,〇,-,〇,-,-,〇,
Android,AQUOS,AQUOS sense6s,〇,〇,〇,〇,〇 ※1,〇 ※1,,〇,-,〇,〇,-,-,-,〇 / -,〇,-,-,-,〇,〇,〇,-,-,-,-,〇,
Android,AQUOS,AQUOS wish,〇,〇,〇,〇,〇,〇,,〇,〇,〇,〇,〇,-,〇,〇 / -,〇,〇,-,-,〇,〇,-,〇 / 〇,〇,-,-,〇,
Android,AQUOS,AQUOS sense6,〇,〇,〇,〇,〇 ※1,〇 ※1,,〇,-,〇,〇,-,-,-,〇 / -,〇,-,-,-,〇,〇,〇,-,-,-,-,〇,
Android,AQUOS,AQUOS zero6,〇 ※1,〇 ※1,〇,〇,〇,〇,,〇,〇,〇,〇,-,〇,-,〇 / -,-,〇,-,-,〇,〇,〇,-,〇,-,-,〇,
Wi-Fiルーター,Aterm,Aterm MP02LN,〇,-,〇,-,〇 ※1,-,,-,-,-,-,-,-,-,- / 〇,〇,-,-,-,〇,〇,-,〇 / 〇,-,-,-,〇,
Wi-Fiルーター,Aterm,Aterm MR05LN RW,〇,-,〇,-,〇,-,,-,-,-,-,-,-,-,〇 / -,〇,〇,〇,〇,〇,〇,-,〇 / 〇,〇,-,-,〇,
iPhone,iPhone15,iPhone15,〇,〇,〇,〇,〇,〇,　,〇,〇,〇,〇,〇,-,〇,〇 / 〇,〇,〇,〇,〇,〇,〇,〇,-,〇,-,-,〇,　
iPhone,iPhone15,iPhone15 Plus,〇,〇,〇,〇,〇,〇,　,〇,〇,〇,〇,〇,-,〇,〇 / 〇,〇,〇,〇,〇,〇,〇,〇,-,〇,-,-,〇,　
iPhone,iPhone15,iPhone15 Pro,〇,〇,〇,〇,〇,〇,　,〇,〇,〇,〇,〇,-,〇,〇 / 〇,〇,〇,〇,〇,〇,〇,〇,-,〇,-,-,〇,　
iPhone,iPhone15,iPhone15 ProMax,〇,〇,〇,〇,〇,〇,　,〇,〇,〇,〇,〇,-,〇,〇 / 〇,〇,〇,〇,〇,〇,〇,〇,-,〇,-,-,〇,　
iPhone,iPhone 14,iPhone 14 Pro Max,〇,〇,〇,〇,〇,〇,,〇,〇,〇,〇,〇,-,〇,〇 / 〇,〇,〇,〇,〇,〇,〇,〇,- / -,〇,-,-,〇,
iPhone,iPhone 14,iPhone 14 Pro,〇,〇,〇,〇,〇,〇,,〇,〇,〇,〇,〇,-,〇,〇 / 〇,〇,〇,〇,〇,〇,〇,〇,- / -,〇,-,-,〇,
iPhone,iPhone 14,iPhone 14 Plus,〇,〇,〇,〇,〇,〇,,〇,〇,〇,〇,〇,-,〇,〇 / 〇,〇,〇,〇,〇,〇,〇,〇,- / -,〇,-,-,〇,
iPhone,iPhone 14,iPhone 14,〇,〇,〇,〇,〇,〇,,〇,〇,〇,〇,〇,-,〇,〇 / 〇,〇,〇,〇,〇,〇,〇,〇,- / -,〇,-,-,〇,
iPhone,iPhone 13,iPhone 13 Pro Max,〇,〇,〇,〇,〇,〇,,〇,〇,〇,〇,〇,-,〇,〇 / 〇,〇,〇,〇,〇,〇,〇,〇,- / -,〇,-,-,〇,
iPhone,iPhone 13,iPhone 13 Pro,〇,〇,〇,〇,〇,〇,,〇,〇,〇,〇,〇,-,〇,〇 / 〇,〇,〇,〇,〇,〇,〇,〇,- / -,〇,-,-,〇,
