type,note,text
iPhone,※,"<span class=""pink_text"">製品価格や48回払いの金額は、すべて<a  class=""link_text"" href =""https://network.mobile.rakuten.co.jp/product/iphone/fee/?l-id=chat-byod_recommend-iphone_product_iphone_fee#campaign-rule1592"">「iPhone対象機種特価キャンペーン」</a>適用時のものです。</span>"
iPhone,※,楽天ポイントは、各特典の条件達成月の翌々月末日頃までに、期間限定ポイントで行います。
iPhone,※,楽天回線を初めてお申し込み、対象製品のご購入、Rakuten Linkアプリのご利用など、諸条件があります。必ず各キャンペーン詳細をご確認ください。
iPhone,※1,"現金販売価格と割賦販売価格（総額）は上記製品価格と同額。支払回数48回、支払期間48カ月、実質年率0％。楽天カードのみ。25カ月目以降、機種変更及び解約が可能となり、弊社指定条件を満たし製品をご返却いただいた場合、残りのお支払いは不要です。<span class=""pink_text"">機種変更の際には、事務手数料3,300円をご請求させていただきます。ご返却いただいた旧製品が当社指定状態基準を満たさない場合、当社指定の故障費用を請求、または返却いただけない場合がございます。</span>"
iPhone,※2,"<a  class=""link_text"" href =""https://network.mobile.rakuten.co.jp/campaign/iphone-point/?l-id=chat-byod_recommend-iphone_campaign-rule1526#campaign-rule1526"">「【Rakuten UN-LIMIT VII申し込み特典】だれでも3,000ポイントプレゼントキャンペーン」</a>適用時。"
iPhone,※3,"<a  class=""link_text"" href =""https://network.mobile.rakuten.co.jp/campaign/iphone-point/?l-id=chat-byod_recommend-iphone_campaign-rule1551#campaign-rule1551"">「iPhone 13 全機種 & iPhone SE（第3世代）ポイント還元キャンペーン」</a> 適用時。"
iPhone,※4,"<a  class=""link_text"" href =""https://network.mobile.rakuten.co.jp/campaign/iphone-point/?l-id=chat-byod_recommend-iphone_campaign-rule1383#campaign-rule1383"">「iPhoneアップグレードプログラム適用で5,000ポイント還元キャンペーン」</a>適用時。"
iPhone,※5,"<a  class=""link_text"" href =""https://network.mobile.rakuten.co.jp/campaign/byod/?l-id=chat-byod_recommend-iphone_campaign_byod#campaign-rule1587"">「回線契約のみでOK！通常のRakuten UN-LIMIT VIIお申し込み特典に加えて、さらに5,000ポイントプレゼントキャンペーン」</a>適用時。"
Android,,「実質価格」とは、キャンペーンの条件達成により後日付与されるポイントを加味した価格であり、実際のお支払い金額とは異なります。詳しくは下部のキャンペーンについてをご確認ください。
Android,※,楽天ポイントは、各特典の条件達成月の翌々月末日頃までに、期間限定ポイントで行います。
Android,※,楽天回線を初めてお申し込み、MNPお申し込み、対象製品のご購入、Rakuten Linkアプリのご利用など、諸条件があります。必ず各キャンペーン詳細をご確認ください。
Android,※1,"<a  class=""link_text"" href =""https://network.mobile.rakuten.co.jp/campaign/start-point/?l-id=chat-byod_recommend-android_campaign_start-point_3000#campaign-rule1526"">「【Rakuten UN-LIMIT VIIお申し込み特典】だれでも3,000ポイントプレゼントキャンペーン」</a>適用時。"
Android,※2,"<a  class=""link_text"" href =""https://network.mobile.rakuten.co.jp/campaign/start-point/?l-id=chat-byod_recommend-android_campaign_start-point_product#campaign-rule1550"">「Androidスマホ/Wi-Fiルーター割引キャンペーン」</a>適用時。"
Android,※3,"<a  class=""link_text"" href =""https://network.mobile.rakuten.co.jp/campaign/byod/?l-id=chat-byod_recommend-android_campaign_byod#campaign-rule1587"">「回線契約のみでOK！通常のRakuten UN-LIMIT VIIお申し込み特典に加えて、さらに5,000ポイントプレゼントキャンペーン」</a>適用時。"
Rakuten,,「実質価格」とは、キャンペーンの条件達成により後日付与されるポイントを加味した価格であり、実際のお支払い金額とは異なります。詳しくは下部のキャンペーンについてをご確認ください。
Rakuten,※,楽天ポイントは、各特典の条件達成月の翌々月末日頃までに、期間限定ポイントで行います。
Rakuten,※,楽天回線を初めてお申し込み、MNPお申し込み、対象製品のご購入、Rakuten Linkアプリのご利用など、諸条件があります。必ず各キャンペーン詳細をご確認ください。
Rakuten,※1,"<a  class=""link_text"" href =""https://network.mobile.rakuten.co.jp/campaign/start-point/?l-id=chat-byod_recommend-rakuten_campaign_start-point_3000#campaign-rule1526"">「【Rakuten UN-LIMIT VIIお申し込み特典】だれでも3,000ポイントプレゼントキャンペーン」</a>適用時。"
Rakuten,※2,"<a  class=""link_text"" href =""https://network.mobile.rakuten.co.jp/campaign/start-point/?l-id=chat-byod_recommend-rakuten_campaign_start-point_product#campaign-rule1550"">「Androidスマホ/Wi-Fiルーター割引キャンペーン」</a>適用時。"
,,
