掲載順,管理表Key,link,bnr,title,description,annotation,service,benefit,display_price_text,20240522-0900,,
1,紹介CPN_240201,/campaign/referral/?l-id=campaign_member_campaign_referral,bnr-referral-328-185-240201.png,楽天モバイル紹介キャンペーン,"楽天モバイルを紹介すると1人につき7,000ポイントプレゼント！紹介された方にもポイントがプレゼントされるキャンペーンです。ご家族やご友人に紹介してポイントGET！", ,楽天モバイル,ポイント, ,,,
2,データ利用CPN_3g_240501,/campaign/data3g/?l-id=top_campaign-banner_campaign_data3g,bnr-data-3g-656-370-240501.png,"初めて3GBを超えるデータ利用で1,000ポイントプレゼント","まだ3GBを超えたことのない方必見！1,000ポイントをゲットしよう！",,楽天モバイル,ポイント,　,,,
3,データ利用CPN_240501,/campaign/data/?l-id=campaign_member_campaign_data,bnr-data-20g-328-185-240501.png,"初めて20GBを超えるデータ利用で1,500ポイントプレゼント",まだ20GBを超えたことのない方必見！この機会にデータ高速無制限（※1）の快適さを実感しよう！,※1 公平なサービス提供のため、速度制限の場合あり。環境により速度低下する場合あり,楽天モバイル,ポイント,,,,
4,YouTube Premium_230516,/campaign/youtubepremium/?l-id=campaign_member_campaign_youtubepremium,bnr-youtube-premium-328-185-230516.png,YouTube Premium 3カ月無料キャンペーン,"動画も音楽もノンストップ。
広告なしの Y⁠o⁠u⁠T⁠u⁠b⁠e と Y⁠o⁠u⁠T⁠u⁠b⁠e⁠ ⁠M⁠u⁠s⁠i⁠c を⁠、バ⁠ッ⁠ク⁠グ⁠ラ⁠ウ⁠ン⁠ド⁠再生やオ⁠フ⁠ラ⁠イ⁠ン⁠環⁠境⁠⁠で楽しめる「YouTube Premium」が3カ月無料！",,スポーツ・エンタメ,無料おためし,,,,
5,データSIM_231101,/fee/saikyo-plan/data-type/?l-id=campaign_member_fee_saikyo-plan_data-type,bnr-data-type-328-185-231101.png,データ通信専用 Rakuten最強プラン（データタイプ）お申し込みキャンペーン,"Rakuten最強プラン（データタイプ）は、本人確認書類の提出が不要！初めてのお申し込みで、1,081円相当分のポイント還元！楽天モバイルのデータ通信品質をお試しできます！",,楽天モバイル,ポイント,1,,,
6,Android値引き_240522,/campaign/android-discount/?l-id=campaign_member_campaign_android-discount,bnr-android-discount-328-185-240522.png,"楽天モバイルお申し込み＆対象製品ご購入で最大26,930円値引き！","【2回線目以降も対象】楽天モバイルお申し込み＆対象製品（Xperia 10 V、AQUOS sense8、AQUOS wish3、OPPO Reno9 A）ご購入で最大26,930円値引き！",,楽天モバイル,料金割引・クーポン,,,,
7,ひかりCPN_20240122,/hikari/campaign/six-month-free/?l-id=campaign_member_hikari_campaign_six-month-free,bnr-hikari_campaign_six-month-free-328-185-240122.png,楽天ひかり月額基本料6カ月0円キャンペーン,"楽天ひかり初めてお申し込み&楽天モバイル「Rakuten最強プラン」とセットのご利用で、高速＆安定の光回線「楽天ひかり」の月額基本料が6カ月0円！最大28,800円もおトクに！",,暮らし・生活,料金割引・クーポン,,,,
8,Rakuten Turbo CPN_240221,/internet/turbo/campaign/six-month-free/?l-id=campaign_member_internet_turbo_campaign_six-month-free,bnr-turbo_campaign_six-month-free-328-185-240221.png,"【Rakuten Turbo】プラン料金6カ月0円 & 20,000ポイント還元キャンペーン","工事不要！すぐに使える おうちのWi-Fi Rakuten Turboのプラン料金が6カ月0円！さらにスマホとセットで20,000ポイント還元。",※Rakuten最強プランの利用が必要等その他条件あり,暮らし・生活,料金割引・クーポン,,,,
9,Rakuten Link Desktop_240501,https://service.link.link/lp/2024/desktop02/index.html?scid=wi_link_Dktp_mno,bnr-rakuten-link-328-185-240423.png,"Rakuten Link デスクトップ版にログインすると、抽選で300名様に1,000ポイントが当たる！",スマホ版アプリと同様に国内通話は無料*でご利用いただけます！Rakuten Link デスクトップ版をぜひお楽しみください！,※一部対象外番号あり,楽天モバイル,ポイント,,,,
10,15分かけほ1カ月無料_231227,/service/standard-free-call/?l-id=campaign_member_service_standard-free-call,bnr-standard-free-call-328-185-231227.png,【15分（標準）通話かけ放題】料金1カ月無料特典,OS標準アプリでの1回15分以内の国内通話がかけ放題、国内SMSの送受信が使い放題になるサービスが、1カ月無料で使える！,,楽天モバイル,無料おためし,,,,
