question,type,control_name,point,note,q1,select1,q2_point,q2_note,product1_point,product1_note,product2_point,product2_note,product3_point,product3_note,product4_point,product4_note,q3,tradein1_point,tradein1_note,tradein2_point,tradein2_note,tradein3_point,tradein3_note
q-1,all,はじめてのお申し込み,0,,,,,,,,,,,,,,,,,,,,
q-1,all,2回線目以降のお申し込み,0,,,,,,,,,,,,,,,,,,,,
q-2,select,,,,はじめてのお申し込み,他社からの乗り換え（MNP）,6000,1,6000,3,6000,3,0,,0,,,,,,,,
q-2,select,,,,はじめてのお申し込み,新しい電話番号で申し込む,2000,2,6000,3,6000,3,0,,0,,,,,,,,
q-2,select,,,,はじめてのお申し込み,楽天モバイル内でプラン変更,2000,2,6000,3,6000,3,0,,0,,,,,,,,
q-2,select,,,,2回線目以降のお申し込み,他社からの乗り換え（MNP）,0,,0,,0,,0,,0,,,,,,,,
q-2,select,,,,2回線目以降のお申し込み,新しい電話番号で申し込む,0,,0,,0,,0,,0,,,,,,,,
q-2,select,,,,2回線目以降のお申し込み,楽天モバイル内でプラン変更,0,,0,,0,,0,,0,,,,,,,,
q-3,all,,,,,,,,,,,,,,,,,,,,,,
q-3,all,,,,,,,,,,,,,,,,,,,,,,
q-4,select,,,,,,,,,,,,,,,,,,,,,,
q-4,select,,,,,,,,,,,,,,,,,,,,,,
