,oem,device,swver
,AIWA,aiwa tab AB10L,JA3-TBA1005_v1.0_20230823_20230823-2058
,Apple,iPhone 15 Pro Max,-
,Apple,iPhone 15 Pro,-
,Apple,iPhone 15 Plus,-
,Apple,iPhone 15,-
,Apple,iPhone 14 Pro Max,-
,Apple,iPhone 14 Pro,-
,Apple,iPhone 14 Plus,-
,Apple,iPhone 14,-
,Apple,iPhone 13 Pro Max,-
,Apple,iPhone 13 Pro,-
,Apple,iPhone 13,-
,Apple,iPhone 13 mini,-
,Apple,iPhone SE（第3世代）,-
,Apple,iPhone 12 Pro Max,-
,Apple,iPhone 12 Pro,-
,Apple,iPhone 12,-
,Apple,iPhone 12 mini,-
,Apple,iPhone SE（第2世代）,-
,Apple,iPhone 11 Pro Max,-
,Apple,iPhone 11 Pro,-
,Apple,iPhone 11,-
,Apple,iPhone XS,-
,Apple,iPhone XS Max,-
,Apple,iPhone XR,-
,Apple,iPhone X,-
,Apple,iPhone 8 plus,-
,Apple,iPhone 8,-
,Apple,iPhone 7 plus,-
,Apple,iPhone 7,-
,Apple,iPhone SE,-
,Apple,iPhone 6s plus,-
,Apple,iPhone 6s,-
,Apple,Apple Watch Series 3,-
,Apple,Apple Watch Series 4,-
,Apple,Apple Watch Series 5,-
,Apple,Apple Watch Series 6,-
,Apple,Apple Watch SE,-
,Apple,Apple Watch Series 7,-
,Apple,Apple Watch Series 8,-
,Apple,Apple Watch Series 9,-
,Apple,Apple Watch SE（第2世代）,-
,Apple,Apple Watch Ultra,-
,Apple,Apple Watch Ultra 2,-
,ASUS,ROG Phone 5,WW_18.0840.2109.176
,ASUS,ROG Phone 5s,WW_18.1220.2112.175
,ASUS,ROG Phone 5s Pro,WW_18.1220.2202.206
,ASUS,ROG Phone 6,WW_32.2810.2212.241
,ASUS,ROG Phone 7,WW_33.0820.0810.231
,ASUS,ZenFone 7,WW_30.40.30.96
,ASUS,ZenFone 7 Pro,WW_30.40.30.96
,ASUS,Zenfone 8,WW_30.11.51.112
,ASUS,Zenfone 8 Flip,WW_30.12.82.21
,ASUS,Zenfone 9,WW_32.2050.2050.29
,ASUS,Zenfone 10,WW_33.0220.0220.75
