product,priority,release,update,new,brand,basictext,releasetext,directory,bss_url,card-note,android-card-note,colorcode,price1,price2,price3,price4,strikethrough,replacement-price,style,battery,display,spec,txt1,point1,pointtotal,android-48-note,android-point-note,android-point-note-product-only,top-carousel-48-note,top-carousel-point-note,replacement-flag,replacement-48-note,replacement-point-note,discountprice,discount-note,txt2,netpayment,threshold
AQUOS sense8,1,2023/11/9,240522,,AQUOS,,,aquos-sense8,https://onboarding.mobile.rakuten.co.jp/equipment-details?exid=600879&selectAvailable=true,48回払いは楽天カードのみ。,,#cddac1/#e1d2d3/#213d4d,58000,63800,2658,1329,,31896,2コンフォート,5000,6.1,画面サイズ 約6.1インチ｜容量 5000mAh｜重さ 約159g｜メインカメラ 約50.3MP標準/約8MP広角｜フロントカメラ 約8MP｜6GB (RAM) / 128GB (ROM)｜,,,20000,※1,※4,,,,,,,20000,,円値引き！,23800,44660
OPPO A79 5G,2,2024/2/15,240417,,OPPO,,,a79-5g,https://onboarding.mobile.rakuten.co.jp/equipment-details?exid=600884&selectAvailable=true,48回払いは楽天カードのみ。,※取扱店舗限定。,#afdbd1/#66676c,30728,33800,1408,704,,16896,3ニュースタンダード,5000,6.7,画面サイズ 約6.7インチ｜容量 5000mAh｜重さ 約193g｜メインカメラ 約50MP広角/約2MP深度測位｜フロントカメラ 約8MP (広角)｜4GB (RAM) / 128GB (ROM)｜,最大,,12000,※1,"※2,3",,,,,,,,,ポイント還元！,21800,23660
OPPO Reno9 A,3,2023/6/22,240417,,OPPO,,,reno9-a,https://onboarding.mobile.rakuten.co.jp/equipment-details?exid=600654&selectAvailable=true,48回払いは楽天カードのみ。,,#f5f5f5/#000000,37000,40700,1695,847,,20328,3ニュースタンダード,4500,6.4,画面サイズ 約6.4インチ｜容量 4500mAh｜重さ 約183g｜メインカメラ 約48MP広角/約8MP超広角/約2MPマクロ｜フロントカメラ 約16MP広角｜8GB (RAM) / 128GB (ROM)｜,,,20000,※1,※4,,,,,,,20000,,円値引き！,700,28490
Xperia 10 V,4,2023/7/6,240417,,Xperia,,,xperia-10m5,https://onboarding.mobile.rakuten.co.jp/equipment-details?exid=600645&selectAvailable=true,48回払いは楽天カードのみ。,,#A4ABD5/#BDD5BC/#FFFFFF/#39373B,53900,59290,2470,1235,,29640,1プレミアム,5000,6.1,画面サイズ 約6.1インチ｜容量 5000mAh｜重さ 約159g｜メインカメラ 約48MP広角/約8MP望遠/約8MP超広角｜フロントカメラ 約8MP標準｜6GB (RAM) / 128GB (ROM)｜,,,26930,※1,※4,,,,,,,26930,,円値引き！,5430,41503
AQUOS wish3,5,2023/7/6,240417,,AQUOS,,,aquos-wish3,https://onboarding.mobile.rakuten.co.jp/equipment-details?exid=600659&selectAvailable=true,48回払いは楽天カードのみ。,,#B7C7C5/#EFECE4/#434852,27000,29700,1237,618,,14832,2コンフォート,3730,5.7,画面サイズ 約5.7インチ｜容量 3730mAh｜重さ 約161g｜メインカメラ 約13MP｜フロントカメラ 約5MP｜4GB (RAM) / 64GB (ROM)｜,,,20000,※1,※4,,,,,,,20000,,円値引き！,0,20790
Xperia 5 V,6,2023/10/13,240315,,Xperia,,,xperia-5m5,https://onboarding.mobile.rakuten.co.jp/equipment-details?exid=600668&selectAvailable=true,48回払いは楽天カードのみ。,,#494D53/#C9C9C8,138546,152400,6350,3175,,76200,1プレミアム,5000,6.1,画面サイズ 約6.1インチ｜容量 5000mAh｜重さ 約182g｜メインカメラ 約48MP広角/約12MP超広角｜フロントカメラ 約12MP広角｜8GB (RAM) / 128GB (ROM)｜,最大,,12000,※1,"※2,3",,,,,,,,,ポイント還元！,140400,106680
Galaxy S23,7,2023/4/20,240315,,Galaxy,,,galaxy-s23,https://onboarding.mobile.rakuten.co.jp/equipment-details?exid=600628&selectAvailable=true,48回払いは楽天カードのみ。,,#F0EAE0/#231F20,134273,147700,6154,3077,,73848,1プレミアム,3900,6.1,画面サイズ 約6.1インチ｜容量 3900mAh｜重さ 約168g｜メインカメラ 約12MP超広角/約50MP広角/約10MP望遠｜フロントカメラ 約12MP広角｜8GB (RAM) / 256GB (ROM)｜,最大,,12000,※1,"※2,3",,,,,,,,,ポイント還元！,135700,103390
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
