pref,city,ward,concat,category,spectrum,eva_au,eva_ntt,eva_rakuten,eva_softbank,txt_rakuten,txt_softbank,txt_au,txt_ntt
北海道,,,北海道,アップロード速度体感,全て,4,3,5,4,楽天モバイルは最高評価の星5つを獲得,楽天モバイルはソフトバンクよりも多くの星を獲得,楽天モバイルはauよりも多くの星を獲得,楽天モバイルはNTTドコモよりも多くの星を獲得
北海道,,,北海道,利用率,全て,4,4,4,4,楽天モバイルは高評価の星4つを獲得,楽天モバイルはソフトバンクと同数の星を獲得,楽天モバイルはauと同数の星を獲得,楽天モバイルはNTTドコモと同数の星を獲得
北海道,,,北海道,通信品質,全て,4,5,4,5,楽天モバイルは高評価の星4つを獲得,,楽天モバイルはauと同数の星を獲得,
北海道,,,北海道,ビデオ視聴体感,全て,4,4,2,4,,,,
北海道,,,北海道,カバレッジ,全て,3,4,3,2,,楽天モバイルはソフトバンクよりも多くの星を獲得,楽天モバイルはauと同数の星を獲得,
北海道,,,北海道,モバイルゲーム体感,全て,5,4,4,5,楽天モバイルは高評価の星4つを獲得,,,楽天モバイルはNTTドコモと同数の星を獲得
北海道,,,北海道,ダウンロード速度体感,全て,5,5,3,5,,,,
北海道,札幌市,,北海道 札幌市,アップロード速度体感,全て,4,3,5,4,楽天モバイルは最高評価の星5つを獲得,楽天モバイルはソフトバンクよりも多くの星を獲得,楽天モバイルはauよりも多くの星を獲得,楽天モバイルはNTTドコモよりも多くの星を獲得
北海道,札幌市,,北海道 札幌市,利用率,全て,5,5,5,5,楽天モバイルは最高評価の星5つを獲得,楽天モバイルはソフトバンクと同数の星を獲得,楽天モバイルはauと同数の星を獲得,楽天モバイルはNTTドコモと同数の星を獲得
北海道,札幌市,,北海道 札幌市,通信品質,全て,5,5,4,5,楽天モバイルは高評価の星4つを獲得,,,
北海道,札幌市,,北海道 札幌市,ビデオ視聴体感,全て,4,4,4,4,楽天モバイルは高評価の星4つを獲得,楽天モバイルはソフトバンクと同数の星を獲得,楽天モバイルはauと同数の星を獲得,楽天モバイルはNTTドコモと同数の星を獲得
北海道,札幌市,,北海道 札幌市,カバレッジ,全て,3,5,3,3,,楽天モバイルはソフトバンクと同数の星を獲得,楽天モバイルはauと同数の星を獲得,
北海道,札幌市,,北海道 札幌市,モバイルゲーム体感,全て,5,4,4,5,楽天モバイルは高評価の星4つを獲得,,,楽天モバイルはNTTドコモと同数の星を獲得
北海道,札幌市,,北海道 札幌市,ダウンロード速度体感,全て,5,5,3,5,,,,
北海道,札幌市,中央区,北海道 札幌市 中央区,アップロード速度体感,全て,3,3,5,4,楽天モバイルは最高評価の星5つを獲得,楽天モバイルはソフトバンクよりも多くの星を獲得,楽天モバイルはauよりも多くの星を獲得,楽天モバイルはNTTドコモよりも多くの星を獲得
北海道,札幌市,中央区,北海道 札幌市 中央区,利用率,全て,5,5,5,5,楽天モバイルは最高評価の星5つを獲得,楽天モバイルはソフトバンクと同数の星を獲得,楽天モバイルはauと同数の星を獲得,楽天モバイルはNTTドコモと同数の星を獲得
北海道,札幌市,中央区,北海道 札幌市 中央区,通信品質,全て,5,5,5,5,楽天モバイルは最高評価の星5つを獲得,楽天モバイルはソフトバンクと同数の星を獲得,楽天モバイルはauと同数の星を獲得,楽天モバイルはNTTドコモと同数の星を獲得
北海道,札幌市,中央区,北海道 札幌市 中央区,ビデオ視聴体感,全て,4,4,4,4,楽天モバイルは高評価の星4つを獲得,楽天モバイルはソフトバンクと同数の星を獲得,楽天モバイルはauと同数の星を獲得,楽天モバイルはNTTドコモと同数の星を獲得
北海道,札幌市,中央区,北海道 札幌市 中央区,カバレッジ,全て,3,5,3,3,,楽天モバイルはソフトバンクと同数の星を獲得,楽天モバイルはauと同数の星を獲得,
北海道,札幌市,中央区,北海道 札幌市 中央区,モバイルゲーム体感,全て,5,4,4,5,楽天モバイルは高評価の星4つを獲得,,,楽天モバイルはNTTドコモと同数の星を獲得
北海道,札幌市,中央区,北海道 札幌市 中央区,ダウンロード速度体感,全て,5,5,2,5,,,,
北海道,札幌市,北区,北海道 札幌市 北区,アップロード速度体感,全て,4,4,5,4,楽天モバイルは最高評価の星5つを獲得,楽天モバイルはソフトバンクよりも多くの星を獲得,楽天モバイルはauよりも多くの星を獲得,楽天モバイルはNTTドコモよりも多くの星を獲得
北海道,札幌市,北区,北海道 札幌市 北区,利用率,全て,5,5,5,5,楽天モバイルは最高評価の星5つを獲得,楽天モバイルはソフトバンクと同数の星を獲得,楽天モバイルはauと同数の星を獲得,楽天モバイルはNTTドコモと同数の星を獲得
北海道,札幌市,北区,北海道 札幌市 北区,通信品質,全て,5,5,4,5,楽天モバイルは高評価の星4つを獲得,,,
北海道,札幌市,北区,北海道 札幌市 北区,ビデオ視聴体感,全て,4,5,2,5,,,,
北海道,札幌市,北区,北海道 札幌市 北区,カバレッジ,全て,5,5,5,5,楽天モバイルは最高評価の星5つを獲得,楽天モバイルはソフトバンクと同数の星を獲得,楽天モバイルはauと同数の星を獲得,楽天モバイルはNTTドコモと同数の星を獲得
