pref,city,ward,concat,category,spectrum,eva_au,eva_ntt,eva_rakuten,eva_softbank,txt_rakuten,txt_softbank,txt_au,txt_ntt
福岡県,,,福岡県  ,アップロード速度体感,全て,3,3,5,4,楽天モバイルは最高評価の星5つを獲得,楽天モバイルはソフトバンクよりも多くの星を獲得,楽天モバイルはauよりも多くの星を獲得,楽天モバイルはNTTドコモよりも多くの星を獲得
福岡県,,,福岡県  ,利用率,全て,5,5,5,5,楽天モバイルは最高評価の星5つを獲得,楽天モバイルはソフトバンクと同数の星を獲得,楽天モバイルはauと同数の星を獲得,楽天モバイルはNTTドコモと同数の星を獲得
福岡県,,,福岡県  ,通信品質,全て,4,4,5,5,楽天モバイルは最高評価の星5つを獲得,楽天モバイルはソフトバンクと同数の星を獲得,楽天モバイルはauよりも多くの星を獲得,楽天モバイルはNTTドコモよりも多くの星を獲得
福岡県,,,福岡県  ,ビデオ視聴体感,全て,4,4,4,4,楽天モバイルは高評価の星4つを獲得,楽天モバイルはソフトバンクと同数の星を獲得,楽天モバイルはauと同数の星を獲得,楽天モバイルはNTTドコモと同数の星を獲得
福岡県,,,福岡県  ,カバレッジ,全て,4,5,4,3,楽天モバイルは高評価の星4つを獲得,楽天モバイルはソフトバンクよりも多くの星を獲得,楽天モバイルはauと同数の星を獲得,
福岡県,,,福岡県  ,モバイルゲーム体感,全て,5,4,5,5,楽天モバイルは最高評価の星5つを獲得,楽天モバイルはソフトバンクと同数の星を獲得,楽天モバイルはauと同数の星を獲得,楽天モバイルはNTTドコモよりも多くの星を獲得
福岡県,,,福岡県  ,ダウンロード速度体感,全て,5,5,5,4,楽天モバイルは最高評価の星5つを獲得,楽天モバイルはソフトバンクよりも多くの星を獲得,楽天モバイルはauと同数の星を獲得,楽天モバイルはNTTドコモと同数の星を獲得
福岡県,北九州市,,福岡県 北九州市 ,アップロード速度体感,全て,4,3,5,4,楽天モバイルは最高評価の星5つを獲得,楽天モバイルはソフトバンクよりも多くの星を獲得,楽天モバイルはauよりも多くの星を獲得,楽天モバイルはNTTドコモよりも多くの星を獲得
福岡県,北九州市,,福岡県 北九州市 ,利用率,全て,5,5,5,5,楽天モバイルは最高評価の星5つを獲得,楽天モバイルはソフトバンクと同数の星を獲得,楽天モバイルはauと同数の星を獲得,楽天モバイルはNTTドコモと同数の星を獲得
福岡県,北九州市,,福岡県 北九州市 ,通信品質,全て,5,4,5,5,楽天モバイルは最高評価の星5つを獲得,楽天モバイルはソフトバンクと同数の星を獲得,楽天モバイルはauと同数の星を獲得,楽天モバイルはNTTドコモよりも多くの星を獲得
福岡県,北九州市,,福岡県 北九州市 ,ビデオ視聴体感,全て,5,5,5,5,楽天モバイルは最高評価の星5つを獲得,楽天モバイルはソフトバンクと同数の星を獲得,楽天モバイルはauと同数の星を獲得,楽天モバイルはNTTドコモと同数の星を獲得
福岡県,北九州市,,福岡県 北九州市 ,カバレッジ,全て,4,5,4,4,楽天モバイルは高評価の星4つを獲得,楽天モバイルはソフトバンクと同数の星を獲得,楽天モバイルはauと同数の星を獲得,
福岡県,北九州市,,福岡県 北九州市 ,モバイルゲーム体感,全て,5,4,5,5,楽天モバイルは最高評価の星5つを獲得,楽天モバイルはソフトバンクと同数の星を獲得,楽天モバイルはauと同数の星を獲得,楽天モバイルはNTTドコモよりも多くの星を獲得
福岡県,北九州市,,福岡県 北九州市 ,ダウンロード速度体感,全て,5,5,5,5,楽天モバイルは最高評価の星5つを獲得,楽天モバイルはソフトバンクと同数の星を獲得,楽天モバイルはauと同数の星を獲得,楽天モバイルはNTTドコモと同数の星を獲得
福岡県,北九州市,門司区,福岡県 北九州市 門司区,アップロード速度体感,全て,4,3,4,4,楽天モバイルは高評価の星4つを獲得,楽天モバイルはソフトバンクと同数の星を獲得,楽天モバイルはauと同数の星を獲得,楽天モバイルはNTTドコモよりも多くの星を獲得
福岡県,北九州市,門司区,福岡県 北九州市 門司区,利用率,全て,5,5,5,5,楽天モバイルは最高評価の星5つを獲得,楽天モバイルはソフトバンクと同数の星を獲得,楽天モバイルはauと同数の星を獲得,楽天モバイルはNTTドコモと同数の星を獲得
福岡県,北九州市,門司区,福岡県 北九州市 門司区,通信品質,全て,5,4,4,5,楽天モバイルは高評価の星4つを獲得,,,楽天モバイルはNTTドコモと同数の星を獲得
福岡県,北九州市,門司区,福岡県 北九州市 門司区,ビデオ視聴体感,全て,4,5,2,5,,,,
福岡県,北九州市,門司区,福岡県 北九州市 門司区,カバレッジ,全て,5,5,4,4,楽天モバイルは高評価の星4つを獲得,楽天モバイルはソフトバンクと同数の星を獲得,,
福岡県,北九州市,門司区,福岡県 北九州市 門司区,モバイルゲーム体感,全て,4,3,3,2,,楽天モバイルはソフトバンクよりも多くの星を獲得,,楽天モバイルはNTTドコモと同数の星を獲得
福岡県,北九州市,門司区,福岡県 北九州市 門司区,ダウンロード速度体感,全て,5,5,5,5,楽天モバイルは最高評価の星5つを獲得,楽天モバイルはソフトバンクと同数の星を獲得,楽天モバイルはauと同数の星を獲得,楽天モバイルはNTTドコモと同数の星を獲得
福岡県,北九州市,若松区,福岡県 北九州市 若松区,アップロード速度体感,全て,4,4,4,4,楽天モバイルは高評価の星4つを獲得,楽天モバイルはソフトバンクと同数の星を獲得,楽天モバイルはauと同数の星を獲得,楽天モバイルはNTTドコモと同数の星を獲得
福岡県,北九州市,若松区,福岡県 北九州市 若松区,利用率,全て,5,5,5,5,楽天モバイルは最高評価の星5つを獲得,楽天モバイルはソフトバンクと同数の星を獲得,楽天モバイルはauと同数の星を獲得,楽天モバイルはNTTドコモと同数の星を獲得
福岡県,北九州市,若松区,福岡県 北九州市 若松区,通信品質,全て,5,5,5,5,楽天モバイルは最高評価の星5つを獲得,楽天モバイルはソフトバンクと同数の星を獲得,楽天モバイルはauと同数の星を獲得,楽天モバイルはNTTドコモと同数の星を獲得
福岡県,北九州市,若松区,福岡県 北九州市 若松区,ビデオ視聴体感,全て,5,5,5,5,楽天モバイルは最高評価の星5つを獲得,楽天モバイルはソフトバンクと同数の星を獲得,楽天モバイルはauと同数の星を獲得,楽天モバイルはNTTドコモと同数の星を獲得
福岡県,北九州市,若松区,福岡県 北九州市 若松区,カバレッジ,全て,4,5,4,2,楽天モバイルは高評価の星4つを獲得,楽天モバイルはソフトバンクよりも多くの星を獲得,楽天モバイルはauと同数の星を獲得,
福岡県,北九州市,若松区,福岡県 北九州市 若松区,モバイルゲーム体感,全て,5,4,2,5,,,,
福岡県,北九州市,若松区,福岡県 北九州市 若松区,ダウンロード速度体感,全て,5,5,5,5,楽天モバイルは最高評価の星5つを獲得,楽天モバイルはソフトバンクと同数の星を獲得,楽天モバイルはauと同数の星を獲得,楽天モバイルはNTTドコモと同数の星を獲得
福岡県,北九州市,戸畑区,福岡県 北九州市 戸畑区,アップロード速度体感,全て,4,4,4,4,楽天モバイルは高評価の星4つを獲得,楽天モバイルはソフトバンクと同数の星を獲得,楽天モバイルはauと同数の星を獲得,楽天モバイルはNTTドコモと同数の星を獲得
福岡県,北九州市,戸畑区,福岡県 北九州市 戸畑区,利用率,全て,5,5,5,5,楽天モバイルは最高評価の星5つを獲得,楽天モバイルはソフトバンクと同数の星を獲得,楽天モバイルはauと同数の星を獲得,楽天モバイルはNTTドコモと同数の星を獲得
福岡県,北九州市,戸畑区,福岡県 北九州市 戸畑区,通信品質,全て,5,3,5,5,楽天モバイルは最高評価の星5つを獲得,楽天モバイルはソフトバンクと同数の星を獲得,楽天モバイルはauと同数の星を獲得,楽天モバイルはNTTドコモよりも多くの星を獲得
福岡県,北九州市,戸畑区,福岡県 北九州市 戸畑区,ビデオ視聴体感,全て,5,5,5,5,楽天モバイルは最高評価の星5つを獲得,楽天モバイルはソフトバンクと同数の星を獲得,楽天モバイルはauと同数の星を獲得,楽天モバイルはNTTドコモと同数の星を獲得
福岡県,北九州市,戸畑区,福岡県 北九州市 戸畑区,カバレッジ,全て,5,5,5,5,楽天モバイルは最高評価の星5つを獲得,楽天モバイルはソフトバンクと同数の星を獲得,楽天モバイルはauと同数の星を獲得,楽天モバイルはNTTドコモと同数の星を獲得
福岡県,北九州市,戸畑区,福岡県 北九州市 戸畑区,モバイルゲーム体感,全て,4,2,5,5,楽天モバイルは最高評価の星5つを獲得,楽天モバイルはソフトバンクと同数の星を獲得,楽天モバイルはauよりも多くの星を獲得,楽天モバイルはNTTドコモよりも多くの星を獲得
福岡県,北九州市,戸畑区,福岡県 北九州市 戸畑区,ダウンロード速度体感,全て,5,5,2,5,,,,
福岡県,北九州市,小倉北区,福岡県 北九州市 小倉北区,アップロード速度体感,全て,4,3,5,4,楽天モバイルは最高評価の星5つを獲得,楽天モバイルはソフトバンクよりも多くの星を獲得,楽天モバイルはauよりも多くの星を獲得,楽天モバイルはNTTドコモよりも多くの星を獲得
福岡県,北九州市,小倉北区,福岡県 北九州市 小倉北区,利用率,全て,5,5,5,5,楽天モバイルは最高評価の星5つを獲得,楽天モバイルはソフトバンクと同数の星を獲得,楽天モバイルはauと同数の星を獲得,楽天モバイルはNTTドコモと同数の星を獲得
福岡県,北九州市,小倉北区,福岡県 北九州市 小倉北区,通信品質,全て,4,4,5,5,楽天モバイルは最高評価の星5つを獲得,楽天モバイルはソフトバンクと同数の星を獲得,楽天モバイルはauよりも多くの星を獲得,楽天モバイルはNTTドコモよりも多くの星を獲得
福岡県,北九州市,小倉北区,福岡県 北九州市 小倉北区,ビデオ視聴体感,全て,5,5,5,5,楽天モバイルは最高評価の星5つを獲得,楽天モバイルはソフトバンクと同数の星を獲得,楽天モバイルはauと同数の星を獲得,楽天モバイルはNTTドコモと同数の星を獲得
福岡県,北九州市,小倉北区,福岡県 北九州市 小倉北区,カバレッジ,全て,4,5,4,4,楽天モバイルは高評価の星4つを獲得,楽天モバイルはソフトバンクと同数の星を獲得,楽天モバイルはauと同数の星を獲得,
福岡県,北九州市,小倉北区,福岡県 北九州市 小倉北区,モバイルゲーム体感,全て,5,4,5,5,楽天モバイルは最高評価の星5つを獲得,楽天モバイルはソフトバンクと同数の星を獲得,楽天モバイルはauと同数の星を獲得,楽天モバイルはNTTドコモよりも多くの星を獲得
福岡県,北九州市,小倉北区,福岡県 北九州市 小倉北区,ダウンロード速度体感,全て,5,5,5,5,楽天モバイルは最高評価の星5つを獲得,楽天モバイルはソフトバンクと同数の星を獲得,楽天モバイルはauと同数の星を獲得,楽天モバイルはNTTドコモと同数の星を獲得
福岡県,北九州市,小倉南区,福岡県 北九州市 小倉南区,アップロード速度体感,全て,3,3,5,5,楽天モバイルは最高評価の星5つを獲得,楽天モバイルはソフトバンクと同数の星を獲得,楽天モバイルはauよりも多くの星を獲得,楽天モバイルはNTTドコモよりも多くの星を獲得
福岡県,北九州市,小倉南区,福岡県 北九州市 小倉南区,利用率,全て,5,5,4,5,楽天モバイルは高評価の星4つを獲得,,,
福岡県,北九州市,小倉南区,福岡県 北九州市 小倉南区,通信品質,全て,3,4,5,5,楽天モバイルは最高評価の星5つを獲得,楽天モバイルはソフトバンクと同数の星を獲得,楽天モバイルはauよりも多くの星を獲得,楽天モバイルはNTTドコモよりも多くの星を獲得
福岡県,北九州市,小倉南区,福岡県 北九州市 小倉南区,ビデオ視聴体感,全て,5,5,5,5,楽天モバイルは最高評価の星5つを獲得,楽天モバイルはソフトバンクと同数の星を獲得,楽天モバイルはauと同数の星を獲得,楽天モバイルはNTTドコモと同数の星を獲得
福岡県,北九州市,小倉南区,福岡県 北九州市 小倉南区,カバレッジ,全て,3,5,3,3,,楽天モバイルはソフトバンクと同数の星を獲得,楽天モバイルはauと同数の星を獲得,
福岡県,北九州市,小倉南区,福岡県 北九州市 小倉南区,モバイルゲーム体感,全て,5,5,5,5,楽天モバイルは最高評価の星5つを獲得,楽天モバイルはソフトバンクと同数の星を獲得,楽天モバイルはauと同数の星を獲得,楽天モバイルはNTTドコモと同数の星を獲得
福岡県,北九州市,小倉南区,福岡県 北九州市 小倉南区,ダウンロード速度体感,全て,5,5,5,5,楽天モバイルは最高評価の星5つを獲得,楽天モバイルはソフトバンクと同数の星を獲得,楽天モバイルはauと同数の星を獲得,楽天モバイルはNTTドコモと同数の星を獲得
福岡県,北九州市,八幡西区,福岡県 北九州市 八幡西区,アップロード速度体感,全て,3,3,5,4,楽天モバイルは最高評価の星5つを獲得,楽天モバイルはソフトバンクよりも多くの星を獲得,楽天モバイルはauよりも多くの星を獲得,楽天モバイルはNTTドコモよりも多くの星を獲得
福岡県,北九州市,八幡西区,福岡県 北九州市 八幡西区,利用率,全て,5,5,5,5,楽天モバイルは最高評価の星5つを獲得,楽天モバイルはソフトバンクと同数の星を獲得,楽天モバイルはauと同数の星を獲得,楽天モバイルはNTTドコモと同数の星を獲得
福岡県,北九州市,八幡西区,福岡県 北九州市 八幡西区,通信品質,全て,5,4,5,3,楽天モバイルは最高評価の星5つを獲得,楽天モバイルはソフトバンクよりも多くの星を獲得,楽天モバイルはauと同数の星を獲得,楽天モバイルはNTTドコモよりも多くの星を獲得
福岡県,北九州市,八幡西区,福岡県 北九州市 八幡西区,ビデオ視聴体感,全て,4,4,5,5,楽天モバイルは最高評価の星5つを獲得,楽天モバイルはソフトバンクと同数の星を獲得,楽天モバイルはauと同数の星を獲得,楽天モバイルはNTTドコモよりも多くの星を獲得
福岡県,北九州市,八幡西区,福岡県 北九州市 八幡西区,カバレッジ,全て,4,5,5,4,楽天モバイルは最高評価の星5つを獲得,楽天モバイルはソフトバンクよりも多くの星を獲得,楽天モバイルはauよりも多くの星を獲得,楽天モバイルはNTTドコモと同数の星を獲得
福岡県,北九州市,八幡西区,福岡県 北九州市 八幡西区,モバイルゲーム体感,全て,5,4,5,5,楽天モバイルは最高評価の星5つを獲得,楽天モバイルはソフトバンクと同数の星を獲得,楽天モバイルはauと同数の星を獲得,楽天モバイルはNTTドコモよりも多くの星を獲得
福岡県,北九州市,八幡西区,福岡県 北九州市 八幡西区,ダウンロード速度体感,全て,4,4,4,4,楽天モバイルは高評価の星4つを獲得,楽天モバイルはソフトバンクと同数の星を獲得,楽天モバイルはauと同数の星を獲得,楽天モバイルはNTTドコモと同数の星を獲得
