#,エリア,国・地域,国番号,,通話料／30秒,*
1,北米,アメリカ（本土）,1,,34,*
2,北米,アラスカ,1,,34,*
3,北米,カナダ,1,,34,*
4,北米,グアム,1,,34,*
5,北米,サイパン,1,,34,*
6,北米,ハワイ,1,,34,*
7,アジア,インド,91,,148,*
8,アジア,インドネシア,62,,68,*
9,アジア,韓国,82,,57,*
10,アジア,カンボジア,855,,68,*
11,アジア,北朝鮮,850,,57,*
12,アジア,シンガポール,65,,68,*
13,アジア,スリランカ,94,,148,*
14,アジア,タイ,66,,68,*
15,アジア,台湾,886,,57,*
16,アジア,中国,86,,57,*
17,アジア,日本,81,,0,*
18,アジア,ネパール,977,,148,*
19,アジア,パキスタン,92,,148,*
20,アジア,バングラデシュ,880,,148,*
21,アジア,東ティモール,670,,68,*
22,アジア,ブータン,975,,148,*
23,アジア,フィリピン,63,,68,*
24,アジア,ブルネイ,673,,68,*
25,アジア,ベトナム,84,,68,*
26,アジア,香港,852,,57,*
27,アジア,マカオ,853,,57,*
28,アジア,マレーシア,60,,68,*
29,アジア,ミャンマー,95,,138,*
30,アジア,モルディブ,960,,148,*
31,アジア,モンゴル,976,,148,*
32,アジア,ラオス,856,,68,*
33,ヨーロッパ,アイスランド,354,,108,*
34,ヨーロッパ,アイルランド,353,,150,*
35,ヨーロッパ,アゼルバイジャン,994,,108,*
36,ヨーロッパ,アゾレス諸島 ※1,351,,81,*
37,ヨーロッパ,アルバニア,355,,108,*
38,ヨーロッパ,アルメニア,374,,108,*
39,ヨーロッパ,アンドラ,376,,108,*
40,ヨーロッパ,イギリス,44,,108,*
41,ヨーロッパ,イタリア,39,,108,*
42,ヨーロッパ,ウクライナ,380,,108,*
43,ヨーロッパ,ウズベキスタン,998,,108,*
44,ヨーロッパ,エストニア,372,,108,*
45,ヨーロッパ,オーストリア,43,,108,*
46,ヨーロッパ,オランダ,31,,108,*
47,ヨーロッパ,ガーンジー ※2,44,,108,*
48,ヨーロッパ,カザフスタン,7,,108,*
49,ヨーロッパ,カナリア諸島 ※3,34,,108,*
50,ヨーロッパ,キプロス,357,,108,*
51,ヨーロッパ,ギリシャ,30,,75,*
52,ヨーロッパ,キルギス,996,,108,*
53,ヨーロッパ,グリーンランド,299,,108,*
54,ヨーロッパ,クロアチア,385,,108,*
55,ヨーロッパ,コソボ,383,,108,
56,ヨーロッパ,サンマリノ,378,,108,*
57,ヨーロッパ,ジブラルタル,350,,108,*
58,ヨーロッパ,ジャージー ※2,44,,108,*
59,ヨーロッパ,ジョージア,995,,108,*
60,ヨーロッパ,スイス,41,,108,*
61,ヨーロッパ,スウェーデン,46,,108,*
62,ヨーロッパ,スペイン,34,,108,*
63,ヨーロッパ,スペイン領北アフリカ,34,,ご利用できません,*
64,ヨーロッパ,スロバキア,421,,108,*
65,ヨーロッパ,スロベニア,386,,108,*
66,ヨーロッパ,セルビア,381,,108,*
67,ヨーロッパ,タジキスタン,992,,108,*
68,ヨーロッパ,チェコ,420,,108,*
69,ヨーロッパ,デンマーク,45,,65,*
70,ヨーロッパ,ドイツ,49,,132,*
71,ヨーロッパ,トルクメニスタン,993,,108,*
72,ヨーロッパ,トルコ,90,,108,*
73,ヨーロッパ,ノルウェー,47,,75,*
74,ヨーロッパ,バチカン ※4,39,,108,*
75,ヨーロッパ,ハンガリー,36,,108,*
76,ヨーロッパ,フィンランド,358,,82,*
77,ヨーロッパ,フェロー諸島,298,,108,*
78,ヨーロッパ,フランス,33,,108,*
79,ヨーロッパ,ブルガリア,359,,108,*
80,ヨーロッパ,ベラルーシ,375,,108,*
81,ヨーロッパ,ベルギー,32,,75,*
82,ヨーロッパ,ポーランド,48,,81,*
83,ヨーロッパ,ボスニア・ヘルツェゴビナ,387,,108,*
84,ヨーロッパ,ポルトガル,351,,81,*
85,ヨーロッパ,マケドニア,389,,108,*
86,ヨーロッパ,マディラ諸島 ※1,351,,81,*
