#,エリア,国名,国番号,Docomo,,Rakuten Link使用時料金,通常電話アプリ使用時料金（送信のみ）,,*
1,北米,アメリカ（本土）,1,〇,,0円/通,100円/通,0,*
2,北米,アラスカ,1,〇,,0円/通,100円/通,Provide impossibly,*
3,北米,カナダ,1,〇,,0円/通,100円/通,0,*
4,北米,グアム,1,〇,,0円/通,100円/通,0,*
5,北米,サイパン,1,〇,,0円/通,100円/通,0,*
6,北米,ハワイ,1,〇,,0円/通,100円/通,0,*
7,アジア,インド,91,〇,,0円/通,100円/通,0,*
8,アジア,インドネシア,62,〇,,0円/通,100円/通,0,*
9,アジア,韓国,82,〇,,0円/通,100円/通,0,*
10,アジア,カンボジア,855,〇,,0円/通,100円/通,0,*
11,アジア,北朝鮮,850,電話の頁にはあり,,ご利用できません,ご利用できません,Provide impossibly,*
12,アジア,シンガポール,65,〇,,0円/通,100円/通,0,*
13,アジア,スリランカ,94,〇,,100円/通,100円/通,100,*
14,アジア,タイ,66,〇,,0円/通,100円/通,0,*
15,アジア,台湾,886,〇,,0円/通,100円/通,0,*
16,アジア,中国,86,〇,,0円/通,100円/通,0,*
16,アジア,日本,81,〇,,0円/通,100円/通,0,*
17,アジア,ネパール,977,〇,,100円/通,100円/通,100,*
18,アジア,パキスタン,92,〇,,100円/通,100円/通,100,*
19,アジア,バングラデシュ,880,〇,,100円/通,100円/通,100,*
20,アジア,東ティモール,670,〇,,100円/通,100円/通,100,*
21,アジア,ブータン,975,〇,,100円/通,100円/通,100,*
22,アジア,フィリピン,63,〇,,0円/通,100円/通,0,*
23,アジア,ブルネイ,673,〇,,100円/通,100円/通,100,*
24,アジア,ベトナム,84,〇,,0円/通,100円/通,0,*
25,アジア,香港,852,〇,,0円/通,100円/通,0,*
26,アジア,マカオ,853,〇,,0円/通,100円/通,0,*
27,アジア,マレーシア,60,〇,,0円/通,100円/通,0,*
28,アジア,ミャンマー,95,〇,,0円/通,100円/通,0,*
29,アジア,モルディブ,960,〇,,100円/通,100円/通,100,*
30,アジア,モンゴル,976,〇,,100円/通,100円/通,100,*
31,アジア,ラオス,856,〇,,100円/通,100円/通,100,*
32,ヨーロッパ,アイスランド,354,〇,,0円/通,100円/通,0,*
