Zone,Region,Country,滞在国,事業者名,対応・非対応,(Native app) 送信料金（円 / 70文字),(Native app)受信料金（円 / 70文字）
A,北米,USA,アメリカ（本土） ※6,AT&T / AT&T Mobility / 310410,YES,100,0
A,北米,USA,アメリカ（本土） ※6,T-Mobile / 310260,YES,100,0
A,北米,USA,アメリカ（本土） ※6,Verizon,YES,100,0
A,北米,Alaska,アラスカ※6,AT&T / AT&T Mobility / 310410,YES,100,0
A,北米,Alaska,アラスカ※6,T-Mobile / 310260,YES,100,0
A,北米,Alaska,アラスカ※6,Verizon,YES,100,0
A,北米,Canada,カナダ ※6,Bell / 302610,YES,100,0
A,北米,Canada,カナダ ※6,ROGERS / 302720,YES,100,0
A,北米,Canada,カナダ ※6,TELUS / 302220,YES,100,0
A,北米,Guam,グアム,PTI Pacifica,NO,---,0
A,北米,Saipan,サイパン,PTI Pacifica,NO,---,0
A,北米,Hawaii,ハワイ ※6,AT&T / AT&T Mobility / 310410,YES,100,0
A,北米,Hawaii,ハワイ ※6,T-Mobile / 310260,YES,100,0
A,北米,Hawaii,ハワイ ※6,Verizon,YES,100,0
A,アジア,India,インド,"Bharti Tele-ventures Delhi, India",YES,100,0
A,アジア,India,インド,Reliance Jio,YES,100,0
A,アジア,India,インド,Vodafone Essar Limited,NO,---,0
A,アジア,Indonesia,インドネシア,IND XL / XL Axiata / XL / 51011,YES,100,0
A,アジア,Indonesia,インドネシア,Telkomsel,YES,100,0
A,アジア,South Korea,韓国,KT / 45008,YES,100,0
A,アジア,South Korea,韓国,KOR SK Telecom / SKT / 45005,NO,---,0
A,アジア,Cambodia,カンボジア,CAM GSM Cambodia,NO,---,0
A,アジア,Cambodia,カンボジア,Smart Axiata (Latelz),YES,100,0
A,アジア,Cambodia,カンボジア,Viettel (Metfone),YES,100,0
B,アジア,North Korea,北朝鮮,ご利用できません,NO,---,---
A,アジア,Singapore,シンガポール,SGP-M1 / M1 / 52503,YES,100,0
A,アジア,Singapore,シンガポール,Singtel / 52502,YES,100,0
A,アジア,Singapore,シンガポール,StarHub / 52505,YES,100,0
B,アジア,Sri Lanka,スリランカ,ご利用できません,NO,---,---
A,アジア,Thailand,タイ,Advanced Wireless Network (AIS),YES,100,0
A,アジア,Thailand,タイ,DTAC,NO,---,0
A,アジア,Thailand,タイ,﻿TRUE-H / ﻿TrueMove H,NO,---,0
A,アジア,Taiwan,台湾,Chunghwa Telecom / Chunghwa / 46692,YES,100,0
A,アジア,Taiwan,台湾,Far EasTone / FET / 46601,NO,---,0
A,アジア,China,中国,CHINA MOBILE / CMCC / 46000,YES,100,0
A,アジア,China,中国,UNICOM / CHN-UNICOM / 46001,YES,100,0
B,アジア,Nepal,ネパール,ご利用できません,NO,---,---
B,アジア,Pakistan,パキスタン,ご利用できません,NO,---,---
B,アジア,Bangladesh,バングラデシュ,ご利用できません,NO,---,---
B,アジア,East Timor,東ティモール,ご利用できません,NO,---,---
A,アジア,Philippines,フィリピン,Globe Telecom-PH / GLOBE / 51502,YES,100,0
