TMCode,店舗名,Status,開店日,都道府県,郵便番号,都道府県,市区町村,それ以下,Category,販路,パートナー先
7701,楽天モバイル ららぽーと愛知東郷店,OPEN,,愛知県,470-0186,愛知県,愛知郡,東郷町 東郷中央土地区画整理事業62街区1、3,,,
721,エディオン 安城店,OPEN,,愛知県,446-0057,愛知県,安城市,三河安城東町1丁目17番地1,,,
8304,ジョーシン 一宮尾西店,OPEN,,愛知県,494-0002,愛知県,一宮市,篭屋2-1-25,,,
7911,楽天モバイル テラスウォーク一宮店,OPEN,,愛知県,491-0022,愛知県,一宮市,両郷町1丁目2番地,,,
7181,楽天モバイル イオンモール木曽川店,OPEN,,愛知県,493-0001,愛知県,一宮市,木曽川町黒田字南ハツケ池25-1,,,
3811,ジョーシン 木曽川イオンモール店,OPEN,,愛知県,493-0001,愛知県,一宮市,木曽川町黒田字南八ツケ池25-1,,,
741,エディオン 一宮本店,OPEN,,愛知県,491-0862,愛知県,一宮市,緑5丁目6番10号,,,
7906,楽天モバイル リーフウォーク稲沢店,OPEN,,愛知県,492-8601,愛知県,稲沢市,長野7-1-2,,,
3911,ジョーシン 稲沢店,OPEN,,愛知県,492-8601,愛知県,稲沢市,長野7-1-2,,,
8305,ジョーシン 岡崎イオンモール店,OPEN,,愛知県,444-0840,愛知県,岡崎市,戸崎町字外山38-5,,,
7722,エディオン イオンタウン岡崎美合店,OPEN,,愛知県,444-0802,愛知県,岡崎市,美合町字つむぎ南1-1,,,
3681,楽天モバイル イオン岡崎南店,OPEN,,愛知県,444-0840,愛知県,岡崎市,戸崎町字ばら山1-1,,,
731,エディオン 岡崎本店,OPEN,,愛知県,444-0859,愛知県,岡崎市,上六名町宮前1,,,
4751,ジョーシン 一ツ木店,OPEN,,愛知県,448-0003,愛知県,刈谷市,一ツ木町3丁目10-4,,,
4061,エディオン イオンタウン刈谷店,OPEN,,愛知県,448-0007,愛知県,刈谷市,東境町京和1番地,,,
8313,ジョーシン 高蔵寺店,OPEN,,愛知県,487-0011,愛知県,春日井市,中央台1-2-2,,,
7848,コジマ×ビックカメラ　イーアス春日井店,OPEN,,愛知県,486-0842,愛知県,春日井市,六軒屋町東丘22,,,
8317,ジョーシン 小牧店,OPEN,,愛知県,485-0033,愛知県,小牧市,郷中1-50,,,
7840,エディオン 小牧店,OPEN,,愛知県,485-0046,愛知県,小牧市,堀の内4-140-1,,,
2731,楽天モバイル イオンモール常滑店,OPEN,,愛知県,479-0882,愛知県,常滑市,りんくう町2丁目20番3,,,
7917,楽天モバイル エアポートウォーク名古屋店,OPEN,,愛知県,480-0202,愛知県,西春日井郡,豊山町豊場林先1番8,,,
8289,楽天モバイル ヴェルサウォーク西尾店,OPEN,,愛知県,445-0064,愛知県,西尾市,高畠町3-23-9,,,
3361,エディオン 西尾店,OPEN,,愛知県,445-0872,愛知県,西尾市,矢曽根町長配8番地,,,
4401,エディオン イオンモール扶桑店,OPEN,,愛知県,480-0105,愛知県,丹羽郡,扶桑町大字南山名高塚5-1,,,
6221,楽天モバイル イオンモール東浦店,OPEN,,愛知県,470-2102,愛知県,知多郡,東浦町大字緒川字旭13-2,,,
5461,エディオン 知立店,OPEN,,愛知県,472-0053,愛知県,知立市,南新地1丁目13番地13,,,
4951,楽天モバイル イオンモール長久手店,OPEN,,愛知県,480-1128,愛知県,長久手市,勝入塚501番地,,,
4131,ジョーシン アピタ長久手店,OPEN,,愛知県,480-1124,愛知県,長久手市,戸田谷901-1,,,
8245,エディオン 東海店,OPEN,,愛知県,476-0003,愛知県,東海市,荒尾町見幕88,,,
8279,エディオン 日進竹の山店,OPEN,,愛知県,470-0136,愛知県,日進市,竹の山3丁目2003番地,,,
3981,エディオン 尾張旭店,OPEN,,愛知県,488-0044,愛知県,尾張旭市,南本地ケ原町三丁目143番地,,,
3341,エディオン 豊橋店,OPEN,,愛知県,440-0851,愛知県,豊橋市,前田南町1丁目6-1,,,
3821,ジョーシン クロスモール豊川店,OPEN,,愛知県,442-0823,愛知県,豊川市,正岡町池田694-1,,,
2611,エディオン 豊川店,OPEN,,愛知県,442-0823,愛知県,豊川市,正岡町西深田345-1,,,
8271,エディオン 豊田大林店,OPEN,,愛知県,473-0902,愛知県,豊田市,大林町8丁目54番2,,,
7905,楽天モバイル イオンスタイル豊田店,OPEN,,愛知県,471-0864,愛知県,豊田市,広路町1-1,,,
701,エディオン 豊田本店,OPEN,,愛知県,471-0037,愛知県,豊田市,三軒町8丁目55番地,,,
8402,楽天モバイル 名古屋栄大津通店,OPEN,,愛知県,460-0008,愛知県,名古屋市,中区栄3-4-5,,,
8290,エディオン 柴田店,OPEN,,愛知県,457-0806,愛知県,名古屋市,南区鳴浜町5丁目1-1,,,
8014,楽天モバイル イオンモール熱田店,OPEN,,愛知県,456-8763,愛知県,名古屋市,熱田区六野1-2-11,,,
7939,楽天モバイル イオンモール大高店,OPEN,,愛知県,459-8016,愛知県,名古屋市,緑区南大高2-450,,,
7928,楽天モバイル イオンモール名古屋茶屋店,OPEN,,愛知県,455-0858,愛知県,名古屋市,港区西茶屋2丁目11,,,
7847,エディオン 高針原店,OPEN,,愛知県,465-0073,愛知県,名古屋市,名東区高針原2-1604,,,
7837,楽天モバイル ららぽーと名古屋みなとアクルス店,OPEN,,愛知県,455-0018,愛知県,名古屋市,港区港明2-3-2,,,
7756,楽天モバイル 名古屋ユニモール店,OPEN,,愛知県,450-0002,愛知県,名古屋市,中村区名駅4-5-26,,,
