長期メンテナンス工事,作業終了時期,お客様への影響,対象地域,都道府県
更新日,2023年3月中旬,一部繋がりにくい場合があります。,北海道上川郡下川町の一部地域,北海道
2023/2/28,2023年3月中旬,一部繋がりにくい場合があります。,岩手県下閉伊郡岩泉町中島、中里の一部地域,岩手県
,2023年3月中旬,一部繋がりにくい場合があります。,岩手県下閉伊郡岩泉町門町の一部地域,岩手県
,2023年3月中旬,一部繋がりにくい場合があります。,岩手県宮古市川井の一部地域,岩手県
,2023年3月中旬,パートナー提供のネットワークを利用となります。,岩手県宮古市川内の一部地域,岩手県
,2023年3月中旬,一部繋がりにくい場合があります。,福島県双葉郡川内村上川内の一部地域,福島県
,2023年3月中旬,一部繋がりにくい場合があります。,福島県相馬郡飯舘村芦原の一部地域,福島県
,2023年3月中旬,一部繋がりにくい場合があります。,福島県相馬郡飯舘村八木沢の一部地域,福島県
,2023年3月中旬,一部繋がりにくい場合があります。,神奈川県横浜市港北区大倉山の一部地域,神奈川県
,2023年3月中旬,パートナー提供のネットワークを利用となります。,神奈川県相模原市中央区由野台の一部地域,神奈川県
,2023年3月中旬,パートナー提供のネットワークを利用となります。,新潟県村上市岩船港町の一部地域,新潟県
,2023年3月中旬,一部繋がりにくい場合があります。,徳島県海部郡海陽町小川の一部地域,徳島県
