短期メンテナンス工事,作業開始時間,作業終了時間,お客様への影響,対象地域,都道府県
更新日,2023年3月14日 9:00,2023年3月14日 18:00,作業時間内で2時間未満の通信断が発生し、音声通話およびデータ通信が、ご利用いただけない場合があります。,埼玉県所沢市北原町の一部地域,埼玉県
2023/3/24,2023年3月15日 9:00,2023年3月15日 18:00,作業時間内で2時間未満の通信断が発生し、音声通話およびデータ通信が、ご利用いただけない場合があります。,埼玉県所沢市北原町の一部地域,埼玉県
,2023年3月28日 9:00,2023年3月28日 18:00,作業時間内で6時間未満の通信断が発生し、音声通話およびデータ通信が、ご利用いただけない場合があります。,千葉県千葉市若葉区中野町の一部地域,千葉県
,2023年3月29日 9:00,2023年3月29日 18:00,作業時間内で6時間未満の通信断が発生し、音声通話およびデータ通信が、ご利用いただけない場合があります。,千葉県千葉市若葉区中野町の一部地域,千葉県
,2023年3月30日 9:00,2023年3月30日 18:00,作業時間内で6時間未満の通信断が発生し、音声通話およびデータ通信が、ご利用いただけない場合があります。,千葉県千葉市若葉区中野町の一部地域,千葉県
,2023年3月30日 9:00,2023年3月30日 18:00,作業時間内で6時間未満の通信断が発生し、音声通話およびデータ通信が、ご利用いただけない場合があります。,山梨県南都留郡鳴沢村の一部地域,山梨県
,2023年3月31日 9:00,2023年3月31日 18:00,作業時間内で6時間未満の通信断が発生し、音声通話およびデータ通信が、ご利用いただけない場合があります。,山梨県南都留郡鳴沢村の一部地域,山梨県
,2023年3月24日 9:00,2023年3月24日 18:00,作業時間内で6時間未満の通信断が発生し、音声通話およびデータ通信が、ご利用いただけない場合があります。,山梨県北杜市白州町の一部地域,山梨県
,2023年3月27日 9:00,2023年3月27日 18:00,作業時間内で6時間未満の通信断が発生し、音声通話およびデータ通信が、ご利用いただけない場合があります。,山梨県北杜市白州町の一部地域,山梨県
,2023年3月28日 9:00,2023年3月28日 18:00,作業時間内で6時間未満の通信断が発生し、音声通話およびデータ通信が、ご利用いただけない場合があります。,山梨県北杜市白州町の一部地域,山梨県
,2023年3月27日 9:00,2023年3月27日 18:00,作業時間内で6時間未満の通信断が発生し、音声通話およびデータ通信が、ご利用いただけない場合があります。,長野県上田市常磐城の一部地域,長野県
,2023年3月28日 9:00,2023年3月28日 18:00,作業時間内で6時間未満の通信断が発生し、音声通話およびデータ通信が、ご利用いただけない場合があります。,長野県上田市常磐城の一部地域,長野県
,2023年3月29日 9:00,2023年3月29日 18:00,作業時間内で6時間未満の通信断が発生し、音声通話およびデータ通信が、ご利用いただけない場合があります。,長野県上田市常磐城の一部地域,長野県
,2023年3月30日 9:00,2023年3月30日 18:00,作業時間内で6時間未満の通信断が発生し、音声通話およびデータ通信が、ご利用いただけない場合があります。,長野県上田市常磐城の一部地域,長野県
,2023年3月31日 9:00,2023年3月31日 18:00,作業時間内で6時間未満の通信断が発生し、音声通話およびデータ通信が、ご利用いただけない場合があります。,長野県上田市常磐城の一部地域,長野県
,2023年3月24日 9:00,2023年3月24日 18:00,作業時間内で6時間未満の通信断が発生し、音声通話およびデータ通信が、ご利用いただけない場合があります。,静岡県焼津市石津中町の一部地域,静岡県
,2023年3月27日 9:00,2023年3月27日 18:00,作業時間内で6時間未満の通信断が発生し、音声通話およびデータ通信が、ご利用いただけない場合があります。,静岡県焼津市石津中町の一部地域,静岡県
,2023年3月28日 9:00,2023年3月28日 18:00,作業時間内で6時間未満の通信断が発生し、音声通話およびデータ通信が、ご利用いただけない場合があります。,静岡県焼津市石津中町の一部地域,静岡県
,2023年3月29日 9:00,2023年3月29日 18:00,作業時間内で6時間未満の通信断が発生し、音声通話およびデータ通信が、ご利用いただけない場合があります。,静岡県焼津市石津中町の一部地域,静岡県
,2023年3月30日 9:00,2023年3月30日 18:00,作業時間内で6時間未満の通信断が発生し、音声通話およびデータ通信が、ご利用いただけない場合があります。,静岡県焼津市石津中町の一部地域,静岡県
,2023年3月24日 9:00,2023年3月24日 18:00,作業時間内で6時間未満の通信断が発生し、音声通話およびデータ通信が、ご利用いただけない場合があります。,奈良県奈良市大平尾町の一部地域,奈良県
,2023年3月27日 9:00,2023年3月27日 18:00,作業時間内で6時間未満の通信断が発生し、音声通話およびデータ通信が、ご利用いただけない場合があります。,奈良県奈良市大平尾町の一部地域,奈良県
