TMCode,店舗名,Status,開店日,都道府県,郵便番号,都道府県,市区町村,それ以下,Category,販路,パートナー先
0111,楽天モバイル 渋谷公園通り店,OPEN,2020/5/16,東京都,150-0041,東京都,渋谷区,神南1丁目20-6,DS,楽天モバイル株式会社,楽天モバイル株式会社
0131,楽天モバイル 二子玉川店,OPEN,2020/5/15,東京都,158-0094,東京都,世田谷区,玉川1-14-1,DS,楽天モバイル株式会社,楽天モバイル株式会社
0141,楽天モバイル 心斎橋店,OPEN,2015/7/31,大阪府,542-0081,大阪府,大阪市,中央区南船場4丁目4,DS,楽天モバイル株式会社,楽天モバイル株式会社
0161,楽天モバイル 神戸三宮センター街2丁目店,OPEN,2015/8/28,兵庫県,650-0021,兵庫県,神戸市,中央区三宮町2丁目10-7,DS,楽天モバイル株式会社,楽天モバイル株式会社
0171,楽天モバイル 名古屋栄店,OPEN,2015/10/22,愛知県,460-0008,愛知県,名古屋市,中区栄3-5-12号,DS,楽天モバイル株式会社,楽天モバイル株式会社
0181,楽天モバイル 銀座店,OPEN,2015/10/29,東京都,104-0061,東京都,中央区,銀座5丁目1番,DS,楽天モバイル株式会社,楽天モバイル株式会社
0501,ジョーシン 大日イオンモール店,OPEN,2015/10/16,大阪府,570-0016,大阪府,守口市,大日東町1-18,CES,ヒト・コミュニケーションズ,上新電機株式会社
0511,ジョーシン 四條畷イオンモール店,OPEN,2015/10/20,大阪府,575-0001,大阪府,四條畷市,砂四丁目3-2,CES,ヒト・コミュニケーションズ,上新電機株式会社
0521,ジョーシン 浦和美園イオンモール店,OPEN,2015/10/28,埼玉県,336-0967,埼玉県,さいたま市,緑区美園5-50-1,CES,ヒト・コミュニケーションズ,上新電機株式会社
0531,ジョーシン 羽生イオンモール店,OPEN,2015/11/25,埼玉県,348-0039,埼玉県,羽生市,川崎2-281-3,CES,ヒト・コミュニケーションズ,上新電機株式会社
0541,ジョーシン 桂川イオンモール店,OPEN,2015/11/26,京都府,601-8211,京都府,京都市,南区久世高田町376-1,CES,ヒト・コミュニケーションズ,上新電機株式会社
0571,ジョーシン 日本橋店,OPEN,2015/11/24,大阪府,556-0005,大阪府,大阪市,浪速区日本橋5-6-7,CES,リクルートスタッフィング,上新電機株式会社
0591,ジョーシン 郡山イオンモール店,OPEN,2015/11/24,奈良県,639-1101,奈良県,大和郡山市,下三橋町741-170,CES,ヒト・コミュニケーションズ,上新電機株式会社
0601,ジョーシン 登美ヶ丘イオンモール店,OPEN,2015/11/24,奈良県,630-0115,奈良県,生駒市,鹿畑町3027,CES,ヒト・コミュニケーションズ,上新電機株式会社
0611,ジョーシン 西宮ガーデンズ店,OPEN,2015/11/17,兵庫県,663-8204,兵庫県,西宮市,高松町14-2,CES,ウィルオブ・ワーク,上新電機株式会社
0621,ジョーシン 大高イオンモール店,OPEN,2015/11/26,愛知県,459-8016,愛知県,名古屋市,緑区南大高2-450,CES,リクルートスタッフィング,上新電機株式会社
0701,エディオン 豊田本店,OPEN,2015/10/30,愛知県,471-0037,愛知県,豊田市,三軒町8丁目55番地,CES,ヒト・コミュニケーションズ,株式会社エディオン
0711,エディオン 広島本店,OPEN,2015/11/19,広島県,730-8620,広島県,広島市,中区紙屋町2-1-18,CES,ヒト・コミュニケーションズ,株式会社エディオン
0721,エディオン 安城店,OPEN,2015/11/26,愛知県,446-0057,愛知県,安城市,三河安城東町1丁目17番地1,CES,リクルートスタッフィング,株式会社エディオン
0731,エディオン 岡崎本店,OPEN,2018/4/5,愛知県,444-0859,愛知県,岡崎市,上六名町宮前1,CES,ヒト・コミュニケーションズ,株式会社エディオン
0741,エディオン 一宮本店,OPEN,2018/4/20,愛知県,491-0862,愛知県,一宮市,緑5丁目6番10号,CES,リクルートスタッフィング,株式会社エディオン
0751,エディオン 伊丹店,OPEN,2015/11/17,兵庫県,664-0831,兵庫県,伊丹市,北伊丹5-70-1,CES,パーソルマーケティング,株式会社エディオン
0761,エディオン サントムーン柿田川店,OPEN,2015/11/26,静岡県,411-0907,静岡県,駿東郡,清水町伏見字泉頭58番地の1,CES,ウィルオブ・ワーク,株式会社エディオン
0771,エディオン 中環東大阪店,OPEN,2015/11/24,大阪府,577-0003,大阪府,東大阪市,稲田三島町3-88,CES,ヒト・コミュニケーションズ,株式会社エディオン
0781,エディオン 倉敷本店,OPEN,2015/11/19,岡山県,710-0834,岡山県,倉敷市,笹沖1209-1,CES,パーソルマーケティング,株式会社エディオン
1171,ジョーシン 伏見店,OPEN,2016/2/24,京都府,612-8393,京都府,京都市,伏見区下鳥羽渡瀬町101番地,CES,ヒト・コミュニケーションズ,上新電機株式会社
1181,ジョーシン 泉南イオンモール店,OPEN,2016/2/24,大阪府,590-0535,大阪府,泉南市,りんくう南浜3-12,CES,ヒト・コミュニケーションズ,上新電機株式会社
1191,ジョーシン 富山本店,OPEN,2016/3/9,富山県,930-0985,富山県,富山市,田中町4-14-83,CES,ヒト・コミュニケーションズ,上新電機株式会社
1201,エディオン イオンモール浜松志都呂店,OPEN,2016/2/18,静岡県,432-8069,静岡県,浜松市,西区志都呂二丁目37番1号,CES,ウィルオブ・ワーク,株式会社エディオン
1211,エディオン 松山本店,OPEN,2016/2/24,愛媛県,790-0065,愛媛県,松山市,宮西一丁目3-1,CES,リクルートスタッフィング,株式会社エディオン
1241,ケーズデンキ 水戸本店,OPEN,2016/3/10,茨城県,310-0836,茨城県,水戸市,元吉田町字上千束1944-12,CES,パーソルマーケティング,ケーズホールディングス
1251,ケーズデンキ つくば研究学園店,OPEN,2016/3/10,茨城県,305-0817,茨城県,つくば市,研究学園4丁目4番地1,CES,パーソルマーケティング,ケーズホールディングス
1261,ケーズデンキ 東京ベイサイド新浦安店,OPEN,2016/3/10,千葉県,279-0013,千葉県,浦安市,日の出4丁目1番8号,CES,ウィルオブ・ワーク,ケーズホールディングス
1331,ケーズデンキ 仙台北店,OPEN,2016/5/12,宮城県,981-3137,宮城県,仙台市,泉区大沢2-5-2,CES,パーソルマーケティング,ケーズホールディングス
1341,ケーズデンキ 八戸本店,OPEN,2016/5/19,青森県,031-0071,青森県,八戸市,沼舘4-4-8,CES,パーソルマーケティング,ケーズホールディングス
1351,ケーズデンキ 札幌麻生店,OPEN,2016/5/26,北海道,001-0036,北海道,札幌市,北区北36条西10-1-5,CES,ライクスタッフィング,ケーズホールディングス
1361,ケーズデンキ 月寒店,OPEN,2016/5/26,北海道,062-0055,北海道,札幌市,豊平区月寒東5条13-3-1,CES,ライクスタッフィング,ケーズホールディングス
1381,ケーズデンキ 長野本店,OPEN,2016/6/16,長野県,380-0928,長野県,長野市,若里3-22-1,CES,ヒト・コミュニケーションズ,ケーズホールディングス
1391,ケーズデンキ インターパーク宇都宮店,OPEN,2016/6/23,栃木県,321-0118,栃木県,宇都宮市,インターパーク5-1-6,CES,ヒト・コミュニケーションズ,ケーズホールディングス
1401,ケーズデンキ ピオニウォーク東松山店,OPEN,2016/6/23,埼玉県,355-0048,埼玉県,東松山市,あずま町4-5,CES,パーソルマーケティング,ケーズホールディングス
1441,楽天モバイル 立川フロム中武店,OPEN,2016/6/29,東京都,190-0012,東京都,立川市,曙町2-11-2,PS,ITX,ITX株式会社
1461,エディオン 那覇メインプレイス店,OPEN,2016/6/28,沖縄県,900-0006,沖縄県,那覇市,おもろまち4-4-9,CES,パーソルマーケティング,株式会社エディオン
1471,100満ボルト 金沢本店,OPEN,2016/6/23,石川県,921-8804,石川県,野々市,市野代2-11,CES,ヒト・コミュニケーションズ,株式会社エディオン
1531,ケーズデンキ 越谷レイクタウン店,OPEN,2016/7/7,埼玉県,343-0828,埼玉県,越谷市,レイクタウン9丁目2番2,CES,パーソルマーケティング,ケーズホールディングス
1541,ケーズデンキ 小田原店,OPEN,2016/7/14,神奈川県,250-0003,神奈川県,小田原市,東町5丁目13番22号,CES,ウィルオブ・ワーク,ケーズホールディングス
1561,ジョーシン 姫路大津イオンモール店,OPEN,2016/7/15,兵庫県,671-1146,兵庫県,姫路市,大津区大津町2-5,CES,ウィルオブ・ワーク,上新電機株式会社
