service_provider,service_name,transmission_data,usage_purpose,destination_purpose,privacy_policy_link,opt_out_link
株式会社オウケイウェイヴ,OKBIZ. for FAQ,利用者識別、利用サーバ、cookie利用同意情報,計測,利用者の識別、利用環境情報の保持,https://com.pkshatech.com/policy/,
グーグル合同会社,Google広告、Google Analytics,行動履歴情報,広告・計測,利用者の識別、利用環境情報の保持,https://policies.google.com/technologies/ads,https://adssettings.google.com/
株式会社ファンコミュニケーションズ,A8.net,行動履歴情報,広告・アフィリエイト,訪問者に関する情報を収集・分析, https://www.fancs.com/privacy, https://www.fancs.com/btapolicy
株式会社イルグルム,アドエビス（AD EBiS） 広告,行動履歴情報,広告・アフィリエイト,訪問者に関する情報を収集・分析,https://www.yrglm.co.jp/policy/, https://hotei.ebis.ne.jp/policy/optout.php
ヤフー株式会社,Yahoo!広告,行動履歴情報,広告・アフィリエイト,訪問者に関する情報を収集・分析,https://privacy.yahoo.co.jp/,https://btoptout.yahoo.co.jp/optout/index.html
メタ・プラットフォームズ,Facebook広告,行動履歴情報,広告・アフィリエイト,訪問者に関する情報を収集・分析,https://www.facebook.com/privacy/policy/,https://www.facebook.com/privacy/center/
株式会社マクロミル,マクロミルアズ（Macromill Ads）,行動履歴情報,広告・アフィリエイト,訪問者に関する情報を収集・分析,,
楽天グループ株式会社,,行動履歴情報,会員情報取得・計測,訪問者に関する情報を収集・分析,,
バリューコマース株式会社,,行動履歴情報,広告・アフィリエイト,訪問者に関する情報を収集・分析,https://www.valuecommerce.co.jp/privacy_policy/privacy_action/,https://www.valuecommerce.ne.jp/ecsite/ipush/optout.html
リンクシェア・ジャパン株式会社,リンクシェア アフィリエイト," cookie,顧客コード",広告・アフィリエイト,計測と広告のため,https://jp.linkshare.com/privacy/,https://jp.linkshare.com/optout/
日本電信電話株式会社, マイライン,電話番号,マイライン登録,マイライン登録のため, https://comm.rakuten.co.jp/mobile/terms/privacy.html,
