service_provider,service_name,transmission_data,usage_purpose,destination_purpose,privacy_policy_link,opt_out_link
ヤフー株式会社,Yahoo!広告,行動履歴情報,広告・アフィリエイト,訪問者に関する情報を収集・分析, https://privacy.yahoo.co.jp/, https://btoptout.yahoo.co.jp/optout/index.html
株式会社イルグルム,AD EBiS,行動履歴情報,広告・計測,訪問者に関する情報を収集・分析,https://www.yrglm.co.jp/policy/,https://hotei.ebis.ne.jp/policy/optout.php
株式会社Zeals,会話広告fanp(ファンプ),cookie,広告・アフィリエイト,訪問者に関する情報を収集・分析,,
株式会社グラッドキューブ,SiTest,行動履歴情報,広告・計測,訪問者に関する情報を収集・分析, https://sitest.jp/cookie_policy.html, https://sitest.jp/optout.html
TikTok,TikTok広告,行動履歴情報,広告・アフィリエイト,訪問者に関する情報を収集・分析, https://www.tiktok.com/legal/page/row/privacy-policy/ja-JP,https://www.tiktok.com/legal/report/privacy?lang=ja
株式会社Skyfall,SKYFLAG,cookie,広告・アフィリエイト,訪問者に関する情報を収集・分析,https://skyfall.co.jp/privacy-policy/,
株式会社 電通,dPublic,行動履歴情報,広告・アフィリエイト,訪問者に関する情報を収集・分析,https://www.dentsu.co.jp/terms/data_policy.html,https://www.dentsu.co.jp/terms/ddai_optout.html
バリューコマース株式会社,,,広告・アフィリエイト,訪問者に関する情報を収集・分析,https://www.valuecommerce.co.jp/privacy_policy/privacy_action/,https://www.valuecommerce.ne.jp/ecsite/ipush/optout.html
リンクシェア・ジャパン株式会社,リンクシェア アフィリエイト,,広告・アフィリエイト,訪問者に関する情報を収集・分析,https://jp.linkshare.com/privacy/,https://jp.linkshare.com/optout/
"スマートニュース株式
会社",SmartNews Ads,行動履歴情報,広告・アフィリエイト,訪問者に関する情報を収集・分析,https://www.smartnews.com/privacy/#jp,http://www.smartnews-ads.com/optout/
LINE株式会社,LINE広告,行動履歴情報,広告・アフィリエイト,訪問者に関する情報を収集・分析, https://line.me/ja/terms/policy/, https://optout.tr.line.me/
メタ・プラットフォームズ,Facebook広告,行動履歴情報,広告・アフィリエイト,訪問者に関する情報を収集・分析, https://www.facebook.com/privacy/policy/, https://www.facebook.com/privacy/center/
株式会社AJA,,  画像ファイルが読み込まれる際にブラウザから画像サーバーで取得可能な範囲の情報（URL、IPアドレス、ユーザーエージェント等）　※Cookieは含まない,広告・アフィリエイト,訪問者に関する情報を収集・分析,https://aja-kk.co.jp/privacy,https://aja-kk.co.jp/optout
株式会社ファンコミュニケーションズ,A8.net,,広告・アフィリエイト,訪問者に関する情報を収集・分析, https://www.fancs.com/privacy, https://www.fancs.com/btapolicy
株式会社ADKホールディングス,,行動履歴情報,広告・アフィリエイト,訪問者に関する情報を収集・分析,https://www.adkms.jp/privacy/,
X Corp.,X広告,行動履歴情報,広告・アフィリエイト,訪問者に関する情報を収集・分析, https://twitter.com/ja/privacy, https://help.twitter.com/ja/rules-and-policies/twitter-cookies#more-privacy
RTB House Japan株式会社,RTB House,行動履歴情報,広告・アフィリエイト,訪問者に関する情報を収集・分析, https://jp.rtbhouse.com/privacy/index.html, https://optout.rtbhouse.com/jp/
Outbrain Inc.,Outbrain,行動履歴情報,広告・アフィリエイト,訪問者に関する情報を収集・分析, https://www.outbrain.com/privacy/,
Criteo株式会社,Criteo,行動履歴情報,広告・アフィリエイト,訪問者に関する情報を収集・分析, https://www.criteo.com/jp/privacy/,
株式会社Spider Labs,Spider AF,行動履歴情報,広告詐欺対策,訪問者に関する情報を収集・分析, https://jp.spideraf.com/privacy,
株式会社プレイド,Karte,,計測,訪問者に関する情報を収集,,
楽天グループ株式会社,,サイトの閲覧履歴、住所、氏名、電話番号、など,会員情報取得・計測,訪問者に関する情報を収集・分析,,
株式会社セールスフォース・ジャパン,Salesforce,住所、氏名、電話番号、など,フォームの情報送信,問い合わせに対応するため, https://www.salesforce.com/jp/company/privacy/,
株式会社アピリッツ,Advantage Search,,サイト内検索,サイト内検索,,
