area1,area2,id,share
北海道,,hokkaido,99.82
青森県,,aomori,99.88
岩手県,,iwate,99.53
宮城県,,miyagi,99.84
秋田県,,akita,99.75
山形県,,yamagata,99.85
福島県,,fukushima,99.80
茨城県,,ibaraki,99.91
栃木県,,tochigi,99.58
群馬県,,gunma,99.88
埼玉県,,saitama,99.99
千葉県,,chiba,99.96
東京都,,tokyo,99.98
神奈川県,,kanagawa,99.99
新潟県,,niigata,99.81
富山県,,toyama,99.89
石川県,,ishikawa,99.62
福井県,,fukui,99.66
山梨県,,yamanashi,99.73
長野県,,nagano,99.80
岐阜県,,gifu,99.81
静岡県,,shizuoka,99.90
愛知県,,aichi,99.97
三重県,,mie,99.91
滋賀県,,shiga,99.98
京都府,,kyoto,99.86
大阪府,,osaka,100.00
兵庫県,,hyogo,99.95
奈良県,,nara,99.88
和歌山県,,wakayama,99.77
鳥取県,,tottori,99.68
島根県,,shimane,99.34
岡山県,,okayama,99.82
広島県,,hiroshima,99.93
山口県,,yamaguchi,99.68
徳島県,,tokushima,99.72
香川県,,kagawa,99.92
愛媛県,,ehime,99.59
高知県,,kochi,99.56
福岡県,,fukuoka,99.95
佐賀県,,saga,99.87
長崎県,,nagasaki,99.67
熊本県,,kumamoto,99.77
大分県,,oita,99.47
宮崎県,,miyazaki,99.69
鹿児島県,,kagoshima,99.65
沖縄県,,okinawa,99.92
北海道,札幌市,1101,100.00
北海道,函館市,1202,99.64
北海道,旭川市,1204,99.98
北海道,釧路市,1206,99.97
北海道,帯広市,1207,99.96
青森県,青森市,2201,99.67
青森県,八戸市,2203,99.57
岩手県,盛岡市,3201,99.95
宮城県,仙台市,4101,99.99
秋田県,秋田市,5201,99.97
山形県,山形市,6201,99.96
福島県,福島市,7201,99.93
福島県,郡山市,7203,99.94
福島県,いわき市,7204,99.81
茨城県,水戸市,8201,100.00
茨城県,つくば市,8220,100.00
栃木県,宇都宮市,9201,99.99
群馬県,前橋市,10201,99.99
群馬県,高崎市,10202,99.97
群馬県,伊勢崎市,10204,100.00
群馬県,太田市,10205,100.00
埼玉県,さいたま市,11101,100.00
埼玉県,川越市,11201,100.00
埼玉県,熊谷市,11202,100.00
埼玉県,川口市,11203,100.00
埼玉県,所沢市,11208,100.00
埼玉県,春日部市,11214,100.00
埼玉県,草加市,11221,100.00
埼玉県,越谷市,11222,100.00
千葉県,千葉市,12101,100.00
千葉県,船橋市,12204,100.00
千葉県,柏市,12217,100.00
東京都,八王子市,13201,99.99
神奈川県,横浜市,14101,100.00
神奈川県,川崎市,14131,100.00
神奈川県,相模原市,14151,99.91
神奈川県,横須賀市,14201,100.00
神奈川県,平塚市,14203,100.00
神奈川県,小田原市,14206,100.00
神奈川県,茅ヶ崎市,14207,100.00
神奈川県,厚木市,14212,100.00
神奈川県,大和市,14213,100.00
新潟県,新潟市,15101,99.98
新潟県,長岡市,15202,99.93
新潟県,上越市,15222,99.91
富山県,富山市,16201,99.94
石川県,金沢市,17201,99.99
福井県,福井市,18201,99.69
山梨県,甲府市,19201,99.99
長野県,長野市,20201,99.86
長野県,松本市,20202,99.75
岐阜県,岐阜市,21201,100.00
静岡県,静岡市,22101,99.86
静岡県,浜松市,22131,99.92
静岡県,沼津市,22203,99.99
静岡県,富士市,22210,99.94
愛知県,名古屋市,23101,100.00
愛知県,豊橋市,23201,100.00
愛知県,岡崎市,23202,99.92
愛知県,一宮市,23203,100.00
愛知県,春日井市,23206,100.00
愛知県,豊田市,23211,99.92
三重県,四日市市,24202,100.00
滋賀県,大津市,25201,100.00
京都府,京都市,26101,99.97
大阪府,大阪市,27102,100.00
大阪府,堺市,27141,100.00
大阪府,岸和田市,27202,99.99
大阪府,豊中市,27203,100.00
大阪府,吹田市,27205,100.00
大阪府,高槻市,27207,99.98
大阪府,枚方市,27210,100.00
大阪府,茨木市,27211,100.00
大阪府,八尾市,27212,100.00
大阪府,寝屋川市,27215,100.00
大阪府,東大阪市,27227,100.00
兵庫県,神戸市,28101,100.00
兵庫県,姫路市,28201,99.95
兵庫県,尼崎市,28202,100.00
兵庫県,明石市,28203,100.00
兵庫県,西宮市,28204,100.00
兵庫県,加古川市,28210,100.00
兵庫県,宝塚市,28214,100.00
奈良県,奈良市,29201,99.98
和歌山県,和歌山市,30201,100.00
鳥取県,鳥取市,31201,99.81
島根県,松江市,32201,99.94
岡山県,岡山市,33101,99.98
岡山県,倉敷市,33202,100.00
広島県,広島市,34101,99.99
広島県,呉市,34202,99.96
広島県,福山市,34207,99.97
山口県,下関市,35201,99.76
香川県,高松市,37201,99.98
愛媛県,松山市,38201,99.92
高知県,高知市,39201,99.94
福岡県,北九州市,40101,99.98
福岡県,福岡市,40131,99.99
福岡県,久留米市,40203,100.00
佐賀県,佐賀市,41201,99.95
長崎県,長崎市,42201,99.97
長崎県,佐世保市,42202,99.86
熊本県,熊本市,43101,100.00
大分県,大分市,44201,99.91
宮崎県,宮崎市,45201,99.98
鹿児島県,鹿児島市,46201,99.99
沖縄県,那覇市,47201,100.00
