種別,機種名,シリーズ名,キャリア,初期設定方法を見る,製品画像URL,"4Gデータ通信
（楽天回線／KDDI回線）",5Gデータ通信,"通話
（楽天回線／KDDI回線）","SMS
（楽天回線)","SMS
（KDDI回線)",SMS,確認SIMタイプ,"APN自動設定
海外／国内",接続先回線切替,ETWS,"緊急呼時の高精度な位置情報測位
",デュアルSIM,確認済OS/SWバージョン,特記コメント,Rakuten Link動作確認結果,非公式スマホ,動作確認済モデル番号,備考,記載日,対応製品,AIチャット非表示製品
Androidスマートフォン,HUAWEI P30 lite,HUAWEI,楽天モバイル（ドコモ回線／au回線）,https://network.mobile.rakuten.co.jp/guide/setting/p30lite/,,〇,-,〇,〇,〇,〇,nano,〇,〇,〇,〇,nanoSIM x 2,Android 9 / 9.1.0.300(C635xxxxxx),,,,,,2020/4/21,〇,
Androidスマートフォン,HUAWEI nova lite 3,HUAWEI,楽天モバイル（ドコモ回線／au回線）,https://network.mobile.rakuten.co.jp/guide/setting/novalite3/,,〇,-,〇,〇,〇,〇,nano,〇,〇,〇,〇,nanoSIM x 2,Android 9 / 9.1.0.305(C635xxxxxx),,,,,,2020/4/21,〇,
Androidスマートフォン,Reno 10x Zoom,OPPO,楽天モバイル（ドコモ回線／au回線）,https://network.mobile.rakuten.co.jp/guide/setting/reno-10x-zoom/,,〇,-,〇,〇,〇,〇,nano,〇,〇,〇,〇,nanoSIM x 2,Android 9 / CPH1919EX_11_A.16,,,,,,2020/4/21,〇,
Androidスマートフォン,AX7,OPPO,楽天モバイル（ドコモ回線／au回線）,https://network.mobile.rakuten.co.jp/guide/setting/ax7/,,〇,-,〇,〇,〇,〇,nano,〇,〇,〇,〇,nanoSIM x 2,Android 8.1 / CPH1903EX_11_A.17,,,,,,2020/4/21,〇,
Androidスマートフォン,R17 Pro,OPPO,楽天モバイル（ドコモ回線／au回線）,https://network.mobile.rakuten.co.jp/guide/setting/r17pro/,,〇,-,〇,〇,〇,〇,nano,〇,〇,〇,〇,nanoSIM x 2,Android 9 / CPH1877EX_11_C.24,,,,,,2020/4/21,〇,
Androidスマートフォン,Find X,OPPO,楽天モバイル（ドコモ回線／au回線）,https://network.mobile.rakuten.co.jp/guide/setting/findx/,,〇,-,〇,〇,〇,〇,nano,〇,〇,〇,〇,nanoSIM x 2,Android 9 / CPH1875EX_11_C.17,,,,,,2020/4/21,〇,
Androidスマートフォン,AQUOS zero SH-M10,SHARP,楽天モバイル（ドコモ回線／au回線）,https://network.mobile.rakuten.co.jp/guide/setting/aquos-shm10/,,〇,-,〇,〇,〇,〇,nano,〇,〇,〇,〇,,Android 9 / 01.00.03,,,,,,2020/4/21,〇,
Androidスマートフォン,AQUOS R2 compact SH-M09,SHARP,楽天モバイル（ドコモ回線／au回線）,https://network.mobile.rakuten.co.jp/guide/setting/aquos-r2-compact/,,〇,-,〇,〇,〇,〇,nano,〇,〇,〇,〇,,Android 9 / 01.00.08,,,,,,2020/4/21,〇,
Androidスマートフォン,AQUOS sense2 SH-M08,SHARP,楽天モバイル（ドコモ回線／au回線）,https://network.mobile.rakuten.co.jp/guide/setting/aquos-sense2/,,〇,-,〇,〇,〇,〇,nano,〇,〇,〇,〇,,Android 9 / 02.00.04,,,,,,2020/4/21,〇,
Androidスマートフォン,AQUOS sense plus SH-M07,SHARP,楽天モバイル（ドコモ回線／au回線）,https://network.mobile.rakuten.co.jp/guide/setting/aquos-shm07/,,〇,-,〇,〇,〇,〇,nano,〇,〇,〇,〇,,Android 9 / 02.00.02,,,,,,2020/4/21,〇,
Androidスマートフォン,AQUOS R compact SH-M06,SHARP,楽天モバイル（ドコモ回線／au回線）,https://network.mobile.rakuten.co.jp/guide/setting/aquos-shm06/,,〇,-,〇,〇,〇,〇,nano,〇,〇,〇,〇,,Android 9 / 02.00.02,,,,,,2020/4/21,〇,
Androidスマートフォン,AQUOS sense lite SH-M05,SHARP,楽天モバイル（ドコモ回線／au回線）,https://network.mobile.rakuten.co.jp/guide/setting/aquos-shm05/,,〇,-,〇,〇,〇,〇,nano,〇,〇,〇,〇,,Android 9 / 03.00.04,,,,,,2020/4/21,〇,
Androidスマートフォン,AQUOS zero6 SH-RM18,SHARP,楽天モバイル,https://network.mobile.rakuten.co.jp/guide/setting/aquos-zero6/,/assets/img/product/aquos-zero6/pht-device-01.png,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,nanoSIM/eSIM,Android 11 / 01.00.00,楽天回線対応デバイスです。,,,,,2021/10/14,〇,
Androidスマートフォン,AQUOS sense6 SH-RM19,SHARP,楽天モバイル,https://network.mobile.rakuten.co.jp/guide/setting/aquos-sense6/,/assets/img/product/aquos-sense6/pht-device-01.png,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,nanoSIM/eSIM,Android 11 / 01.00.00,楽天回線対応デバイスです。,,,,,2021/11/11,〇,
Androidスマートフォン,AQUOS sense6s SH-RM19s,SHARP,楽天モバイル,https://network.mobile.rakuten.co.jp/guide/setting/aquos-sense6s/,/assets/img/product/aquos-sense6s/pht-device-01.png,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,nanoSIM/eSIM,Android 11 / 01.00.00,楽天回線対応デバイスです。,,,,,2022/7/29,〇,
Androidスマートフォン,AQUOS sense7 SH-M24,SHARP,楽天モバイル,https://network.mobile.rakuten.co.jp/guide/setting/aquos-sense7/,/assets/img/product/aquos-sense7/pht-device-01.png,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,nanoSIM/eSIM,Android 12 / 01.00.01,楽天回線対応デバイスです。,,,,,2022/11/4,〇,
Androidスマートフォン,AQUOS sense8 SH-M26,SHARP,楽天モバイル,https://network.mobile.rakuten.co.jp/guide/setting/aquos-sense8/,/assets/img/product/aquos-sense8/pht-device-01.png,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,nanoSIM/eSIM,Android 13 / 01.00.02,楽天回線対応デバイスです。,,,,,2023/11/9,〇,
Androidスマートフォン,AQUOS wish SH-M20,SHARP,楽天モバイル,https://network.mobile.rakuten.co.jp/guide/setting/aquos-wish/,/assets/img/product/aquos-wish/pht-device-01.png,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,nanoSIM/eSIM,Android 11 / 01.00.00,楽天回線対応デバイスです。,,,,,2022/1/21,〇,
Androidスマートフォン,AQUOS wish3 SH-M25,SHARP,楽天モバイル,https://network.mobile.rakuten.co.jp/guide/setting/aquos-wish3/,/assets/img/product/aquos-wish3/pht-device-01.png,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,nanoSIM/eSIM,Android 13 / 67JP_1_20B,楽天回線対応デバイスです。,,,,,2023/10/13,〇,
Androidスマートフォン,Redmi Note 11 Pro 5G,Xiaomi,楽天モバイル,https://network.mobile.rakuten.co.jp/guide/setting/redmi-note-11-pro-5g/,/assets/img/product/redmi-note-11-pro-5g/pht-device-01.png,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,nanoSIM/eSIM,Android 11 / MIUI Global 13.0.2 安定版13.0.2.0(RKCJPRK),楽天回線対応デバイスです。,,,,,2022/5/30,〇,
Androidスマートフォン,Xperia 5 IV,Sony,楽天モバイル,https://network.mobile.rakuten.co.jp/guide/setting/xperia-5m4/,/assets/img/product/xperia-5m4/pht-device-01.png,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,nanoSIM/eSIM,Android 12 / 64.0.H.6.27,楽天回線対応デバイスです。,,,,,2022/10/21,〇,
Androidスマートフォン,Xperia 5 V,Sony,楽天モバイル,https://network.mobile.rakuten.co.jp/guide/setting/xperia-5m5/,/assets/img/product/xperia-5m5/pht-device-01.png,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,nanoSIM/eSIM,Android 13 / 67.0.A.8.37,楽天回線対応デバイスです。,,,,,2023/10/13,〇,
Androidスマートフォン,Xperia 10 III Lite,Sony,楽天モバイル,https://network.mobile.rakuten.co.jp/guide/setting/xperia-10m3-lite/,/assets/img/product/xperia-10m3-lite/pht-device-01.png,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,nanoSIM/eSIM,Android 11 / 62.0.A.5.61,,,,,,2021/8/27,〇,
Androidスマートフォン,Xperia 10 IV,Sony,楽天モバイル,https://network.mobile.rakuten.co.jp/guide/setting/xperia-10m4/,/assets/img/product/xperia-10m4/pht-device-01.png,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,nanoSIM/eSIM,Android 12 / 65.0.A.1.172,楽天回線対応デバイスです。,,,,,2022/6/30,〇,
Androidスマートフォン,Xperia 10 V,Sony,楽天モバイル,https://network.mobile.rakuten.co.jp/guide/setting/xperia-10m5/,/assets/img/product/xperia-10m5/pht-device-01.png,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,nanoSIM/eSIM,Android 13 / 68.0.A.1.136,楽天回線対応デバイスです。,,,,,2023/7/6,〇,
Androidスマートフォン,Xperia Ace,Sony,楽天モバイル,https://network.mobile.rakuten.co.jp/guide/setting/xperia-ace/,/assets/img/product/xperia-ace/pht-device-01.png,〇,-,〇,〇,〇,〇,nano,〇,〇,〇,〇,,Android 9 / 53.0.C.0.220,,,,,,2020/4/21,〇,
Androidスマートフォン,Galaxy A7,Samsung,楽天モバイル,https://network.mobile.rakuten.co.jp/guide/setting/galaxy-a7/,/assets/img/product/galaxy-a7/pht-device-01.png,〇,-,〇,〇,〇,〇,nano,〇,〇,〇,〇,,Android 9 / A750CONU0ASI1,,,,,,2020/4/21,〇,
Androidスマートフォン,Galaxy A23 5G,Samsung,楽天モバイル,https://network.mobile.rakuten.co.jp/guide/setting/galaxy-a23-5g/,/assets/img/product/galaxy-a23-5g/pht-device-01.png,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,nanoSIM/eSIM,Android 12 / A233CONU1AVI7,,,,,,2022/11/22,〇,
Androidスマートフォン,Galaxy S10,Samsung,楽天モバイル,https://network.mobile.rakuten.co.jp/guide/setting/galaxy-s10/,/assets/img/product/galaxy-s10/pht-device-01.png,〇,-,〇,〇,〇,〇,nano,〇,〇,〇,〇,,Android 9 / G973CONU1ASJE,,,,,,2020/4/21,〇,
Androidスマートフォン,Galaxy S23,Samsung,楽天モバイル,https://network.mobile.rakuten.co.jp/guide/setting/galaxy-s23/,/assets/img/product/galaxy-s23/pht-device-01.png,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,nanoSIM/eSIM,"Android 13 / S911CONU1AWC2										",,,,,,2023/4/20,〇,
Androidスマートフォン,Galaxy Note10+,Samsung,楽天モバイル,https://network.mobile.rakuten.co.jp/guide/setting/galaxy-note10-plus/,/assets/img/product/galaxy-note10-plus/pht-device-01.png,〇,-,〇,〇,〇,〇,nano,〇,〇,〇,〇,,Android 9 / N975CONU1ASJ9,,,,,,2020/4/21,〇,
