chargeDate,baseDate,wifiSpotDate,seviceType,latitude,longitude,locationName,address,phoneNumber,businessHours,businessStatus,remark,showType
2月1日 14:00時点,2月1日 14:00時点,2月1日 14:00時点,Wi-Fiスポット,36.57554215,136.6030292,産業展示館,石川県金沢市袋畠町南 193 番地,,,,,wifi
,,,Wi-Fiスポット,36.4038429,136.4371255,小松総合体育館,石川県小松市下牧町69,,,,,wifi
,,,Wi-Fiスポット,36.39518239,136.4657367,楽天モバイル・イオンモール新小松店,石川県小松市清六町315番地 イオンモール新小松 3F,,,,,wifi
,,,Wi-Fiスポット,36.54476023,136.5816792,楽天モバイル・イオンモール白山店,石川県白山市横江町5001番地 イオンモール1F,,,,,wifi
,,,Wi-Fiスポット,37.19494935,137.0231154,旧兜小学校,石川県鳳珠郡穴水町曽良４,,,,,wifi
,,,Wi-Fiスポット,37.43608743,137.2607394,すず市民交流センター,石川県珠洲市上戸町1,,,,,wifi
,,,Wi-Fiスポット,37.42749985,137.2500286,上戸小学校,石川県珠洲市上戸町寺社5-74-2,,,,,wifi
,,,Wi-Fiスポット,37.39932812,137.2355559,朝日避難所（宝立浄化センター）,石川県珠洲市宝立町鵜島,,,,,wifi
,,,Wi-Fiスポット,37.3821521,137.2354147,旧鵜島保育所,石川県珠洲市宝立町宗玄23-9,,,,,wifi
,,,Wi-Fiスポット,37.46535533,137.355958,高波集会所,石川県珠洲市三崎町高波カ47,,,,,wifi
,,,Wi-Fiスポット,37.45941602,137.3560692,転作促進研修センター（伏見集会所）,石川県珠洲市三崎町伏見カ37-1,,,,,wifi
,,,Wi-Fiスポット,37.4513412,137.3589972,金沢大学 里山マイスター能登学舎,石川県珠洲市三崎町小泊33-7,,,,,wifi
,,,Wi-Fiスポット,37.45445238,137.0731946,輪島市ふるさと体験実習館,石川県輪島市町野町曽々木サ45-1,,,,,wifi
,,,Wi-Fiスポット,37.42295242,137.0897366,輪島市立町野小学校,石川県輪島市町野町粟蔵川原田42,,,,,wifi
,,,Wi-Fiスポット,37.42307215,137.0878462,輪島市立東陽中学校,石川県輪島市町野町粟蔵川原田33,,,,,wifi
,,,充電サービス,36.57554215,136.6030292,産業展示館,石川県金沢市袋畠町南 193 番地,,,,,charge
,,,充電サービス,36.4038429,136.4371255,小松総合体育館,石川県小松市下牧町69,,,,,charge
,,,充電サービス,36.39518239,136.4657367,楽天モバイル・イオンモール新小松店,石川県小松市清六町315番地 イオンモール新小松 3F,,,,,charge
,,,充電サービス,36.54476023,136.5816792,楽天モバイル・イオンモール白山店,石川県白山市横江町5001番地 イオンモール1F,,,,,charge
,,,充電サービス,37.30439979,137.2233477,能登町立小木中学校,石川県鳳珠郡能登町小木1丁目1-1,,,,,charge
,,,充電サービス,37.29945804,137.2237627,能登町立小木小学校,石川県鳳珠郡能登町小木4-16,,,,,charge
,,,充電サービス,37.43608743,137.2607394,すず市民交流センター,石川県珠洲市上戸町1,,,,,charge
,,,充電サービス,37.46535533,137.355958,高波集会所,石川県珠洲市三崎町高波カ47,,,,,charge
,,,充電サービス,37.45941602,137.3560692,転作促進研修センター（伏見集会所）,石川県珠洲市三崎町伏見カ37-1,,,,,charge
,,,充電サービス,37.42295242,137.0897366,輪島市立町野小学校,石川県輪島市町野町粟蔵川原田42,,,,,charge
,,,充電サービス,37.42307215,137.0878462,輪島市立東陽中学校,石川県輪島市町野町粟蔵川原田33,,,,,charge
,,,充電サービス,37.36675452,137.0962745,能登町立柳田小学校,石川県鳳珠郡能登町柳田2-1,,,,,charge
,,,移動基地局,37.02826,136.94614,,,,,,,base
,,,移動基地局,37.401125,137.233296,,,,,,,base
,,,移動基地局,37.441005,137.324364,,,,,,,base
,,,移動基地局,37.4439553,137.3196498,,,,,,,base
,,,移動基地局,37.41083333,137.2286111,,,,,,,base
,,,移動基地局,37.4596164,137.2867341,,,,,,,base
,,,移動基地局,37.5046916,137.3483008,,,,,,,base
,,,移動基地局,37.397422,137.2124761,,,,,,,base
,,,移動基地局,37.003028,136.915278,,,,,,,base
,,,移動基地局,37.337523,137.257414,,,,,,,base
,,,移動基地局,36.849947,136.7689423,,,,,,,base
,,,移動基地局,36.867887,136.797554,,,,,,,base
,,,移動基地局,37.430293,137.03497,,,,,,,base
,,,移動基地局,37.306972,136.901,,,,,,,base
,,,移動基地局,37.40743,137.072246,,,,,,,base
,,,移動基地局,37.381921,136.912379,,,,,,,base
,,,移動基地局,37.41474,137.096664,,,,,,,base
,,,移動基地局,37.390287,136.8997584,,,,,,,base
,,,移動基地局,37.42338081,137.0881574,,,,,,,base
,,,移動基地局,37.392687,136.903594,,,,,,,base
