device,oem,monthly_fee,payment
AQUOS R compact SH-M06,SHARP,715円,"12,100円"
AQUOS R2 compact SH-M09,SHARP,715円,"12,100円"
AQUOS R5G,SHARP,715円,"12,100円"
AQUOS sense lite SH-M05,SHARP,715円,"6,600円"
AQUOS sense plus SH-M07,SHARP,715円,"6,600円"
AQUOS sense2 SH-M08,SHARP,715円,"6,600円"
AQUOS sense3 lite（SH-RM12）,SHARP,715円,"6,600円"
AQUOS sense3 plus SH-M11,SHARP,715円,"6,600円"
AQUOS sense3 plus（SH-RM11）,SHARP,715円,"6,600円"
AQUOS sense3 SH-M12,SHARP,715円,"6,600円"
AQUOS sense4 lite（SH-RM15）,SHARP,715円,"6,600円"
AQUOS sense4 plus（SH-M16）,SHARP,715円,"6,600円"
AQUOS sense4（SH-M15）,SHARP,715円,"6,600円"
AQUOS sense5G（SH-M17）,SHARP,715円,"6,600円"
AQUOS sense6（SH-M19）,SHARP,715円,"6,600円"
AQUOS sense6（SH-RM19）,SHARP,715円,"6,600円"
AQUOS sense6s,SHARP,715円,"6,600円"
AQUOS sense7,SHARP,715円,"6,600円"
AQUOS sense8,SHARP,715円,"6,600円"
AQUOS wish SH-M20,SHARP,715円,"6,600円"
AQUOS wish3,SHARP,715円,"6,600円"
AQUOS zero SH-M10,SHARP,715円,"12,100円"
AQUOS zero2 SH-M13,SHARP,715円,"12,100円"
AQUOS zero6（SH-RM18）,SHARP,715円,"6,600円"
arrows RX,Fujitsu,715円,"6,600円"
Aterm MP02LN,NEC,715円,"6,600円"
Aterm MR05LN,NEC,715円,"6,600円"
Aterm MR05LN RW,NEC,715円,"6,600円"
Galaxy A7,SAMSUNG,715円,"6,600円"
Galaxy Z Flip4,SAMSUNG,715円,"12,100円"
Galaxy Note10+,SAMSUNG,715円,"12,100円"
Galaxy S10,SAMSUNG,715円,"6,600円"
Galaxy A23 5G,SAMSUNG,715円,"6,600円"
Galaxy S23,SAMSUNG,715円,"12,100円"
HUAWEI nova 5T,HUAWEI,715円,"6,600円"
HUAWEI nova lite 3,HUAWEI,715円,"6,600円"
HUAWEI P30 lite（auモデル以外）,HUAWEI,715円,"6,600円"
iPhone 11,Apple,979円,"12,100円"
iPhone 11 Pro,Apple,"1,309円","12,100円"
iPhone 11 Pro Max,Apple,"1,309円","12,100円"
iPhone 12,Apple,979円,"12,100円"
iPhone 12 mini,Apple,979円,"12,100円"
iPhone 12 Pro,Apple,"1,309円","12,100円"
iPhone 12 Pro Max,Apple,"1,309円","12,100円"
iPhone 13,Apple,979円,"12,100円"
iPhone 13 mini,Apple,979円,"12,100円"
iPhone 13 Pro,Apple,"1,309円","12,100円"
iPhone 13 Pro Max,Apple,"1,309円","12,100円"
iPhone 14,Apple,979円,"12,100円"
iPhone 14 Plus,Apple,"1,309円","12,100円"
iPhone 14 Pro,Apple,"1,309円","12,100円"
iPhone 14 Pro Max,Apple,"1,309円","12,100円"
iPhone 15,Apple,979円,"12,100円"
iPhone 15 Plus,Apple,"1,309円","12,100円"
iPhone 15 Pro,Apple,"1,309円","12,100円"
iPhone 15 Pro Max,Apple,"1,309円","12,100円"
iPhone 6s,Apple,979円,"12,100円"
iPhone 6s plus,Apple,979円,"12,100円"
iPhone 7,Apple,979円,"12,100円"
iPhone 7 plus,Apple,979円,"12,100円"
iPhone 8,Apple,979円,"12,100円"
iPhone 8 plus,Apple,979円,"12,100円"
iPhone SE,Apple,715円,"12,100円"
iPhone SE（第2世代）,Apple,715円,"12,100円"
iPhone SE（第3世代）,Apple,715円,"12,100円"
iPhone X,Apple,"1,309円","12,100円"
iPhone XR,Apple,979円,"12,100円"
iPhone XS,Apple,"1,309円","12,100円"
iPhone XS Max,Apple,"1,309円","12,100円"
OPPO A5 2020,OPPO,715円,"6,600円"
OPPO A55s 5G,OPPO,715円,"6,600円"
OPPO A73,OPPO,715円,"6,600円"
OPPO AX7,OPPO,715円,"6,600円"
OPPO Find X,OPPO,715円,"12,100円"
OPPO R17 Pro,OPPO,715円,"6,600円"
OPPO Reno 10x Zoom,OPPO,715円,"12,100円"
OPPO Reno A 128GB,OPPO,715円,"6,600円"
OPPO A79 5G,OPPO,715円,"6,600円"
OPPO Reno3 A,OPPO,715円,"6,600円"
OPPO Reno5 A,OPPO,715円,"6,600円"
OPPO Reno7 A,OPPO,715円,"6,600円"
OPPO Reno9 A,OPPO,715円,"6,600円"
Rakuten BIG,楽天モバイル,715円,"6,600円"
Rakuten BIG s,楽天モバイル,715円,"6,600円"
Rakuten Hand,楽天モバイル,715円,"6,600円"
Rakuten Hand 5G,楽天モバイル,715円,"6,600円"
Rakuten Mini,楽天モバイル,715円,"6,600円"
Rakuten WiFi Pocket,楽天モバイル,715円,"6,600円"
Redmi Note 11 Pro 5G,Xiaomi,715円,"6,600円"
Xperia 5 IV,Sony,715円,"12,100円"
Xperia 5 V,Sony,715円,"12,100円"
Xperia 10 III Lite,Sony,715円,"6,600円"
Xperia 10 IV,Sony,715円,"6,600円"
Xperia 10 V,Sony,715円,"6,600円"
Xperia Ace（docomoモデル以外）,Sony,715円,"6,600円"
