Shop ID,カテゴリ,取り扱い開始日,店舗名,一次代理店名,来店予約の公開有無,来店予約トップURL,店舗一覧ページ_掲出タイミング,店舗一覧ページ_来店予約リンクボタン中の文言,取り扱い状況,店舗一覧ページ_注釈の文言
0111,DS,2021/4/30,楽天モバイル 渋谷公園通り店,楽天モバイル株式会社,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=244&event_id=381,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
0131,DS,2021/4/30,楽天モバイル 二子玉川店,楽天モバイル株式会社,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=243&event_id=379,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
0141,DS,2021/4/30,楽天モバイル 心斎橋店,楽天モバイル株式会社,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=242&event_id=377,2021/6/18,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
0161,DS,2021/4/30,楽天モバイル 神戸三宮店,楽天モバイル株式会社,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=241&event_id=375,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
0171,DS,2021/4/30,楽天モバイル 名古屋栄店,楽天モバイル株式会社,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=240&event_id=373,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
0181,DS,2021/4/30,楽天モバイル 銀座店,楽天モバイル株式会社,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=239&event_id=371,2021/6/18,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
0501,CES,2021/4/30,ジョーシン 大日イオンモール店,上新電機株式会社,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=318&event_id=455,2021/6/18,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
0511,CES,2021/4/30,ジョーシン 四條畷イオンモール店,上新電機株式会社,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=317&event_id=454,2021/6/18,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
0521,CES,2021/4/30,ジョーシン 浦和美園イオンモール店,上新電機株式会社,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=316&event_id=453,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
0531,CES,2021/6/4,ジョーシン 羽生イオンモール店,上新電機株式会社,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=311&event_id=448,2021/6/18,予約注文をしてショップ（店舗）で 購入する,2021年6月4日,
0541,CES,2021/4/30,ジョーシン 桂川イオンモール店,上新電機株式会社,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=309&event_id=446,2021/6/18,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
0571,CES,2021/4/30,ジョーシン 日本橋店,上新電機株式会社,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=312&event_id=449,2021/6/18,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
0591,CES,2021/4/30,ジョーシン 郡山イオンモール店,上新電機株式会社,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=314&event_id=451,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
0601,CES,2021/4/30,ジョーシン 登美ヶ丘イオンモール店,上新電機株式会社,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=313&event_id=450,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
0611,CES,2021/6/4,ジョーシン 西宮ガーデンズ店,上新電機株式会社,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=315&event_id=452,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年6月4日,
