shopid,shopname,zip,prefectures,city,dec28,dec29,dec30,dec31,jan1,jan2,jan3,jan4,jan5
0111,楽天モバイル 渋谷公園通り店,150-0041,東京都,渋谷区,通常営業,通常営業,通常営業,10:00-18:00,休業,通常営業,通常営業,通常営業,通常営業
0131,楽天モバイル 二子玉川店,158-0094,東京都,世田谷区,通常営業,通常営業,通常営業,10:00-18:00,休業,通常営業,通常営業,通常営業,通常営業
0141,楽天モバイル 心斎橋店,542-0081,大阪府,大阪市,通常営業,通常営業,通常営業,休業,休業,通常営業,通常営業,通常営業,通常営業
0161,楽天モバイル 神戸三宮センター街2丁目店,650-0021,兵庫県,神戸市,通常営業,通常営業,通常営業,10:00-18:00,休業,通常営業,通常営業,通常営業,通常営業
0171,楽天モバイル 名古屋栄森の地下街店,460-0008,愛知県,名古屋市,通常営業,通常営業,通常営業,10:00-18:00,休業,10:00-18:00,10:00-18:00,通常営業,通常営業
0181,楽天モバイル 銀座店,104-0061,東京都,中央区,通常営業,通常営業,通常営業,休業,休業,11:00-19:00,11:00-19:00,通常営業,通常営業
0501,ジョーシン 大日イオンモール店,570-0016,大阪府,守口市,通常営業,通常営業,通常営業,通常営業,通常営業,08:00-21:00,通常営業,通常営業,通常営業
0511,ジョーシン 四條畷イオンモール店,575-0001,大阪府,四條畷市,通常営業,通常営業,通常営業,通常営業,通常営業,通常営業,通常営業,通常営業,通常営業
0521,ジョーシン 浦和美園イオンモール店,336-0967,埼玉県,さいたま市,通常営業,通常営業,通常営業,通常営業,09:00-19:00,通常営業,通常営業,通常営業,通常営業
0531,ジョーシン 羽生イオンモール店,348-0039,埼玉県,羽生市,通常営業,通常営業,通常営業,通常営業,通常営業,通常営業,通常営業,通常営業,通常営業
0541,ジョーシン 桂川イオンモール店,601-8601,京都府,京都市,通常営業,通常営業,通常営業,10:00-20:00,09:00-21:00,通常営業,通常営業,通常営業,通常営業
0571,ジョーシン 日本橋店,556-0005,大阪府,大阪市,通常営業,通常営業,通常営業,10:00-18:30,休業,10:00-19:00,10:00-19:00,通常営業,通常営業
0591,ジョーシン 郡山イオンモール店,639-1101,奈良県,大和郡山市,通常営業,通常営業,通常営業,10:00-20:00,通常営業,通常営業,通常営業,通常営業,通常営業
0601,ジョーシン 登美ヶ丘イオンモール店,630-0115,奈良県,生駒市,通常営業,通常営業,通常営業,通常営業,通常営業,通常営業,通常営業,通常営業,通常営業
0611,ジョーシン 西宮ガーデンズ店,663-8204,兵庫県,西宮市,通常営業,通常営業,通常営業,10:00-18:00,通常営業,通常営業,通常営業,通常営業,通常営業
0621,ジョーシン 大高イオンモール店,459-8001,愛知県,名古屋市,通常営業,通常営業,通常営業,通常営業,通常営業,通常営業,通常営業,通常営業,通常営業
0701,エディオン 豊田本店,471-0037,愛知県,豊田市,通常営業,通常営業,通常営業,10:00-18:00,10:00-18:00,通常営業,通常営業,通常営業,通常営業
0711,エディオン 広島本店,730-8620,広島県,広島市,通常営業,通常営業,通常営業,10:00-18:00,10:00-18:00,10:00-19:00,10:00-19:30,通常営業,通常営業
0721,エディオン 安城店,446-0057,愛知県,安城市,通常営業,通常営業,通常営業,10:00-18:00,休業,10:00-19:00,10:00-19:00,通常営業,通常営業
0731,エディオン 岡崎本店,444-0859,愛知県,岡崎市,通常営業,通常営業,通常営業,10:00-18:00,休業,10:00-19:00,10:00-19:00,通常営業,通常営業
0741,エディオン 一宮本店,491-0862,愛知県,一宮市,通常営業,通常営業,通常営業,10:00-18:00,休業,通常営業,通常営業,通常営業,通常営業
0751,エディオン 伊丹店,664-0831,兵庫県,伊丹市,通常営業,通常営業,通常営業,10:00-18:00,10:00-19:00,10:00-19:00,10:00-19:00,通常営業,通常営業
0761,エディオン サントムーン柿田川店,411-0907,静岡県,駿東郡,通常営業,通常営業,通常営業,通常営業,通常営業,通常営業,通常営業,通常営業,通常営業
0771,エディオン 中環東大阪店,577-0003,大阪府,東大阪市,通常営業,通常営業,通常営業,通常営業,休業,通常営業,通常営業,通常営業,通常営業
0781,エディオン 倉敷本店,710-0834,岡山県,倉敷市,通常営業,通常営業,通常営業,10:00-18:00,休業,通常営業,通常営業,通常営業,通常営業
1171,ジョーシン 伏見店,612-8393,京都府,京都市,通常営業,通常営業,通常営業,10:00-18:30,休業,10:00-19:00,10:00-19:00,通常営業,通常営業
1181,ジョーシン 泉南イオンモール店,590-0535,大阪府,泉南市,通常営業,通常営業,通常営業,10:00-20:00,09:00-21:00,通常営業,通常営業,通常営業,通常営業
1211,エディオン 松山本店,790-0065,愛媛県,松山市,通常営業,通常営業,通常営業,10:00-18:00,休業,通常営業,通常営業,通常営業,通常営業
1241,ケーズデンキ 水戸本店,310-0836,茨城県,水戸市,通常営業,通常営業,通常営業,10:00-19:00,休業,10:00-19:00,10:00-19:00,通常営業,通常営業
1251,ケーズデンキ つくば研究学園店,305-0817,茨城県,つくば市,通常営業,通常営業,通常営業,10:00-19:00,休業,10:00-19:00,10:00-19:00,通常営業,通常営業
1261,ケーズデンキ 東京ベイサイド新浦安店,279-0013,千葉県,浦安市,通常営業,通常営業,通常営業,10:00-19:00,休業,10:00-19:00,10:00-19:00,通常営業,通常営業
1331,ケーズデンキ 仙台北店,981-3137,宮城県,仙台市,通常営業,通常営業,通常営業,10:00-19:00,休業,08:00-19:00,通常営業,通常営業,通常営業
1341,ケーズデンキ 八戸本店,031-0071,青森県,八戸市,通常営業,通常営業,通常営業,10:00-19:00,休業,通常営業,通常営業,通常営業,通常営業
1351,ケーズデンキ 札幌麻生店,001-0036,北海道,札幌市,通常営業,通常営業,通常営業,10:00-16:00,通常営業,通常営業,通常営業,通常営業,通常営業
1361,ケーズデンキ 月寒店,062-0055,北海道,札幌市,通常営業,通常営業,通常営業,10:00-19:00,休業,通常営業,通常営業,通常営業,通常営業
1381,ケーズデンキ 長野本店,380-0928,長野県,長野市,通常営業,通常営業,通常営業,通常営業,休業,通常営業,通常営業,通常営業,通常営業
1391,ケーズデンキ インターパーク宇都宮店,321-0118,栃木県,宇都宮市,通常営業,通常営業,通常営業,10:00-19:00,休業,10:00-19:00,10:30-19:00,通常営業,通常営業
1401,ケーズデンキ ピオニウォーク東松山店,355-0048,埼玉県,東松山市,通常営業,通常営業,通常営業,10:00-19:00,休業,10:00-19:00,10:00-19:00,通常営業,通常営業
1461,エディオン 那覇メインプレイス店,900-0006,沖縄県,那覇市,通常営業,通常営業,通常営業,通常営業,通常営業,通常営業,通常営業,通常営業,通常営業
1471,100満ボルト 金沢本店,921-8804,石川県,野々市市,通常営業,通常営業,通常営業,10:00-18:00,休業,通常営業,通常営業,通常営業,通常営業
1561,ジョーシン 姫路大津イオンモール店,671-1146,兵庫県,姫路市,通常営業,通常営業,通常営業,通常営業,09:00-21:00,通常営業,通常営業,通常営業,通常営業
1571,ジョーシン 明和イオンモール店,515-0348,三重県,多気郡,通常営業,通常営業,通常営業,通常営業,通常営業,通常営業,通常営業,通常営業,通常営業
1581,ジョーシン 福井本店,910-0837,福井県,福井市,通常営業,通常営業,通常営業,10:00-18:30,休業,10:00-19:00,10:00-19:00,通常営業,通常営業
1601,楽天モバイル ゆめタウン広島店,734-0007,広島県,広島市,通常営業,通常営業,通常営業,通常営業,09:00-20:00,通常営業,通常営業,通常営業,通常営業
1611,ジョーシン 亀貝店,950-2033,新潟県,新潟市,通常営業,通常営業,通常営業,10:00-19:00,休業,10:00-19:00,通常営業,通常営業,通常営業
1651,ジョーシン アリオ川口店,332-0033,埼玉県,川口市,通常営業,通常営業,通常営業,通常営業,09:00-21:00,通常営業,通常営業,通常営業,通常営業
1671,楽天モバイル 新静岡駅前店,420-0858,静岡県,静岡市,通常営業,通常営業,通常営業,10:00-16:00,休業,通常営業,通常営業,通常営業,通常営業
1681,ジョーシン 津城山イオンタウン店,514-1112,三重県,津市,通常営業,通常営業,通常営業,通常営業,通常営業,通常営業,通常営業,通常営業,通常営業
1761,ケーズデンキ ガーデンシティ垂水店,655-0052,兵庫県,神戸市,通常営業,通常営業,通常営業,10:00-19:00,休業,10:00-19:00,10:00-19:00,通常営業,通常営業
1771,ケーズデンキ 浜松市野店,435-0052,静岡県,浜松市,通常営業,通常営業,通常営業,10:00-18:00,休業,10:00-18:00,10:00-18:00,通常営業,通常営業
1781,ケーズデンキ 甲府店,400-0043,山梨県,甲府市,通常営業,休業,通常営業,10:00-19:00,休業,10:00-19:00,10:00-19:00,10:00-19:00,休業
1811,ケーズデンキ 鹿児島本店,891-0115,鹿児島県,鹿児島市,通常営業,通常営業,通常営業,10:00-19:00,休業,10:00-19:00,10:00-19:00,通常営業,通常営業
1851,楽天モバイル 姫路グランフェスタ店,670-0927,兵庫県,姫路市,通常営業,通常営業,通常営業,休業,休業,10:00-18:00,10:00-18:00,通常営業,通常営業
1861,ケーズデンキ 高松本店,761-8076,香川県,高松市,通常営業,通常営業,通常営業,10:00-18:00,休業,10:00-18:00,10:00-18:00,通常営業,通常営業
1871,楽天モバイル 鶴舞イオンタウン千種店,464-0858,愛知県,名古屋市,通常営業,通常営業,通常営業,10:00-20:00,通常営業,通常営業,通常営業,通常営業,通常営業
1921,ビックカメラ 札幌店,060-0005,北海道,札幌市,通常営業,通常営業,通常営業,10:00-17:30,休業,09:00-19:00,通常営業,通常営業,通常営業
1931,楽天モバイル 秋田イオンモール秋田店,010-1413,秋田県,秋田市,通常営業,通常営業,通常営業,10:00-19:00,08:00-21:00,09:00-21:00,09:00-21:00,通常営業,通常営業
1951,楽天モバイル 調布駅前店,182-0024,東京都,調布市,通常営業,通常営業,通常営業,休業,休業,通常営業,通常営業,通常営業,通常営業
1961,楽天モバイル センター南サウスウッド,224-0032,神奈川県,横浜市,通常営業,通常営業,通常営業,10:00-18:00,休業,10:00-18:00,10:00-18:00,通常営業,通常営業
