code,name
001900010,札幌中央郵便局
001900020,小樽郵便局
001900030,室蘭郵便局
001900040,余市郵便局
001900050,岩内郵便局
001900060,石狩北郵便局
001900070,伊達郵便局
001900080,えりも郵便局
001900090,苫小牧郵便局
001900100,江別郵便局
001900110,古平郵便局
001900120,浜益郵便局
001900130,厚田郵便局
001900140,札幌南三条郵便局
001900150,磯谷郵便局
001900160,神恵内郵便局
001900170,静内郵便局
001900180,島牧郵便局
001900190,歌棄郵便局
001900200,豊平橋郵便局
001900220,野塚郵便局
001900230,後志泊郵便局
001900240,本目郵便局
001900250,浦河郵便局
001900260,寿都郵便局
001900270,夕張郵便局
001900280,由仁郵便局
001900290,門別郵便局
001900300,虻田郵便局
001900310,長沼郵便局
001900320,銭函郵便局
001900330,仁木郵便局
001900340,当別郵便局
001900350,北広島郵便局
001900360,篠路郵便局
001900370,登別郵便局
001900380,白老郵便局
001900390,千歳郵便局
001900400,鵡川郵便局
001900410,美国郵便局
001900420,忍路郵便局
001900430,三石郵便局
001900440,様似郵便局
001900450,庶野郵便局
001900460,小樽堺町郵便局
001900470,塩谷郵便局
001900480,厚別郵便局
001900490,早来雪だるま郵便局
001900500,追分郵便局
001900510,壮瞥郵便局
001900520,豊平郵便局
001900530,栗山郵便局
001900540,倶知安郵便局
001900550,留寿都郵便局
001900560,恵庭郵便局
001900570,黒松内郵便局
001900580,名駒郵便局
001900590,熱郛郵便局
001900600,昆布郵便局
001900610,新篠津郵便局
001900620,余市沢町郵便局
001900630,黄金郵便局
001900650,日高目黒郵便局
001900660,えりも岬郵便局
001900670,手稲郵便局
001900680,登別駅前郵便局
001900690,赤井川郵便局
001900700,平取郵便局
001900710,小樽住吉郵便局
001900730,小樽祝津郵便局
001900740,盃郵便局
001900750,札幌北五条中郵便局
001900760,野幌郵便局
001900770,小樽高島郵便局
001900780,竹浦郵便局
001900790,余別郵便局
001900800,小沢郵便局
001900810,厚真郵便局
001900820,札幌南一条郵便局
001900830,ニセコ郵便局
001900840,東静内郵便局
001900850,厚賀郵便局
001900860,白石中央通郵便局
001900870,札幌南郵便局
001900880,札幌新琴似郵便局
001900890,札幌南八条西郵便局
001900900,札幌西郵便局
001900910,角田郵便局
001900920,洞爺郵便局
001900940,似湾郵便局
001900960,札幌南五条郵便局
001900970,札幌北三条郵便局
001900980,札幌北二条郵便局
001900990,札幌北一条郵便局
001901010,幌郵便局
001901020,輪西郵便局
001901030,鷲別郵便局
001901040,沼ノ端郵便局
001901050,藤野郵便局
001901060,荻伏郵便局
001901070,小樽花園郵便局
001901080,島野郵便局
001901090,入舸郵便局
001901100,札幌南四条郵便局
001901110,紅葉山郵便局
001901120,御園郵便局
001901130,富川郵便局
001901140,札幌北七条郵便局
001901150,石狩郵便局
001901160,銀山郵便局
001901170,京極郵便局
001901180,茨戸郵便局
001901190,安平郵便局
001901200,川端郵便局
001901210,永山記念公園前郵便局
001901220,三川郵便局
001901230,豊浦郵便局
001901240,真狩郵便局
001901250,遠浅郵便局
001901290,小樽緑町郵便局
001901300,小樽駅前郵便局
001901310,登別温泉郵便局
001901320,蘭越郵便局
001901330,節婦郵便局
001901350,目名郵便局
001901360,歌笛郵便局
001901370,母恋駅前郵便局
001901380,前田郵便局
001901390,発足郵便局
001901400,室蘭幸町郵便局
001901410,小樽若竹郵便局
001901420,本桐郵便局
001901430,西舎郵便局
001901450,室蘭海岸郵便局
001901470,岩内高台郵便局
001901480,望来郵便局
001901490,喜茂別郵便局
001901520,大滝郵便局
001901530,占冠郵便局
001901550,室蘭御前水郵便局
001901560,北広島西郵便局
001901570,鹿ノ谷郵便局
001901590,小樽奥沢郵便局
001901600,札幌南一条中郵便局
001901610,倶知安南郵便局
001901620,登川郵便局
001901630,定山渓郵便局
001901650,日高郵便局
001901660,清水沢郵便局
001901670,札幌南八条郵便局
001901680,太美郵便局
001901690,久保内郵便局
001901700,大岸郵便局
001901710,石狩親船郵便局
001901720,札幌北五条郵便局
001901730,南大夕張郵便局
001901740,苫小牧旭町郵便局
001901750,穂別郵便局
001901760,継立郵便局
001901770,室蘭祝津郵便局
001901790,古平浜町郵便局
001901800,札幌南一条西郵便局
001901810,札幌北大病院前郵便局
001901820,札幌南十四条郵便局
001901830,旭岡郵便局
001901850,上厚真郵便局
001901860,支笏湖郵便局
001901870,島松郵便局
001901880,春立郵便局
001901890,荷負郵便局
001901910,小樽錦町郵便局
001901920,富内郵便局
001901940,有珠郵便局
001901950,錦岡郵便局
001901960,鈴川郵便局
001901970,南長沼郵便局
001901980,札幌北十三条東郵便局
001901990,小樽長橋郵便局
001902000,札幌南六条郵便局
001902010,小樽緑二郵便局
001902020,札幌円山郵便局
001902040,礼文郵便局
001902050,本輪西郵便局
001902070,洞爺温泉郵便局
001902080,苗穂駅前郵便局
001902090,伊達長和郵便局
001902100,虎杖浜郵便局
001902110,豊平六郵便局
001902120,北長沼郵便局
001902130,恵庭恵み野中郵便局
001902140,軽舞郵便局
001902150,札幌菊水北郵便局
001902160,弁華別郵便局
001902170,札幌南十一条郵便局
001902180,小樽入船郵便局
001902190,札幌北十二条郵便局
