release_date,data_size,data_min,data_max,rakuten_mobile_plan,rakuten_mobile_price,rakuten_mobile_price_with_tax,rakuten_mobile_price_family,rakuten_mobile_price_with_tax_family,docomo_plan,docomo_price,docomo_price_with_tax,docomo_plan_family_2,docomo_price_family_2,docomo_price_with_tax_family_2,docomo_plan_family_3_over,docomo_price_family_3_over,docomo_price_with_tax_family_3_over,docomo_eximo_plan,docomo_eximo_price,docomo_eximo_price_with_tax,docomo_eximo_plan_family_2,docomo_eximo_price_family_2,docomo_eximo_price_with_tax_family_2,docomo_eximo_plan_family_3_over,docomo_eximo_price_family_3_over,docomo_eximo_price_with_tax_family_3_over,docomo_irumo_plan,docomo_irumo_price,docomo_irumo_price_with_tax,au_plan,au_price,au_price_with_tax,au_plan_family_2,au_price_family_2,au_price_with_tax_family_2,au_plan_family_3_over,au_price_family_3_over,au_price_with_tax_family_3_over,softbank_plan,softbank_price,softbank_price_with_tax,softbank_plan_family_2,softbank_price_family_2,softbank_price_with_tax_family_2,softbank_plan_family_3_over,softbank_price_family_3_over,softbank_price_with_tax_family_3_over,softbank_paytoku_plan,softbank_paytoku_price,softbank_paytoku_price_with_tax,softbank_paytoku_plan_family_2,softbank_paytoku_price_family_2,softbank_paytoku_price_with_tax_family_2,softbank_paytoku_plan_family_3_over,softbank_paytoku_price_family_3_over,softbank_paytoku_price_with_tax_family_3_over,ahamo_plan,ahamo_price,ahamo_price_with_tax,ahamo_plan_family_2,ahamo_price_family_2,ahamo_price_with_tax_family_2,ahamo_plan_family_3_over,ahamo_price_family_3_over,ahamo_price_with_tax_family_3_over,ahamo_poikatsu_plan,ahamo_poikatsu_price,ahamo_poikatsu_price_with_tax,ahamo_poikatsu_plan_family_2,ahamo_poikatsu_price_family_2,ahamo_poikatsu_price_with_tax_family_2,ahamo_poikatsu_plan_family_3_over,ahamo_poikatsu_price_family_3_over,ahamo_poikatsu_price_with_tax_family_3_over,povo_plan,povo_price,povo_price_with_tax,povo_price_per,povo_plan_family_2,povo_price_family_2,povo_price_with_tax_family_2,povo_plan_family_3_over,povo_price_family_3_over,povo_price_with_tax_family_3_over,linemo_plan,linemo_price,linemo_price_with_tax,linemo_plan_family_2,linemo_price_family_2,linemo_price_with_tax_family_2,linemo_plan_family_3_over,linemo_price_family_3_over,linemo_price_with_tax_family_3_over,ymobile_plan,ymobile_price,ymobile_price_with_tax,ymobile_plan_family_2,ymobile_price_family_2,ymobile_price_with_tax_family_2,ymobile_plan_family_3_over,ymobile_price_family_3_over,ymobile_price_with_tax_family_3_over,uqmobile_plan,uqmobile_price,uqmobile_price_with_tax,uqmobile_plan_family_2,uqmobile_price_family_2,uqmobile_price_with_tax_family_2,uqmobile_plan_family_3_over,uqmobile_price_family_3_over,uqmobile_price_with_tax_family_3_over
2024/4/19,150GB超,150,9999,Rakuten最強プラン,2980,3278,2880,3168,5Gギガホ プレミア,6650,7315,5Gギガホ プレミア,6150,6765,5Gギガホ プレミア,5650,6215,eximo,6650,7315,eximo,6150,6765,eximo,5650,6215,,,,使い放題MAX 5G／4G,6580,7238,使い放題MAX 5G／4G,6080,6688,使い放題MAX 5G／4G,5580,6138,メリハリ無制限+,6750,7425,メリハリ無制限+,6150,6765,メリハリ無制限+,5650,6215,ペイトク無制限,8750,9625,ペイトク無制限,8150,8965,ペイトク無制限,7650,8415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/4/19,150GB以下,100,150,Rakuten最強プラン,2980,3278,2880,3168,5Gギガホ プレミア,6650,7315,5Gギガホ プレミア,6150,6765,5Gギガホ プレミア,5650,6215,eximo,6650,7315,eximo,6150,6765,eximo,5650,6215,,,,使い放題MAX 5G／4G,6580,7238,使い放題MAX 5G／4G,6080,6688,使い放題MAX 5G／4G,5580,6138,メリハリ無制限+,6750,7425,メリハリ無制限+,6150,6765,メリハリ無制限+,5650,6215,ペイトク無制限,8750,9625,ペイトク無制限,8150,8965,ペイトク無制限,7650,8415,,,,,,,,,,,,,,,,,,,データトッピング(データ追加)150GB,11800,12980,180日間,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/4/19,100GB以下,90,100,Rakuten最強プラン,2980,3278,2880,3168,5Gギガホ プレミア,6650,7315,5Gギガホ プレミア,6150,6765,5Gギガホ プレミア,5650,6215,eximo,6650,7315,eximo,6150,6765,eximo,5650,6215,,,,使い放題MAX 5G／4G,6580,7238,使い放題MAX 5G／4G,6080,6688,使い放題MAX 5G／4G,5580,6138,メリハリ無制限+,6750,7425,メリハリ無制限+,6150,6765,メリハリ無制限+,5650,6215,ペイトク無制限,8750,9625,ペイトク無制限,8150,8965,ペイトク無制限,7650,8415,ahamo大盛り,4500,4950,,,,,,,ahamoポイ活,6500,7150,,,,,,,データトッピング(データ追加)150GB,11800,12980,180日間,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/4/19,90GB以下,80,90,Rakuten最強プラン,2980,3278,2880,3168,5Gギガホ プレミア,6650,7315,5Gギガホ プレミア,6150,6765,5Gギガホ プレミア,5650,6215,eximo,6650,7315,eximo,6150,6765,eximo,5650,6215,,,,使い放題MAX 5G／4G,6580,7238,使い放題MAX 5G／4G,6080,6688,使い放題MAX 5G／4G,5580,6138,メリハリ無制限+,6750,7425,メリハリ無制限+,6150,6765,メリハリ無制限+,5650,6215,ペイトク無制限,8750,9625,ペイトク無制限,8150,8965,ペイトク無制限,7650,8415,ahamo大盛り,4500,4950,,,,,,,ahamoポイ活,6500,7150,,,,,,,データトッピング(データ追加)150GB,11800,12980,180日間,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/4/19,80GB以下,70,80,Rakuten最強プラン,2980,3278,2880,3168,5Gギガホ プレミア,6650,7315,5Gギガホ プレミア,6150,6765,5Gギガホ プレミア,5650,6215,eximo,6650,7315,eximo,6150,6765,eximo,5650,6215,,,,使い放題MAX 5G／4G,6580,7238,使い放題MAX 5G／4G,6080,6688,使い放題MAX 5G／4G,5580,6138,メリハリ無制限+,6750,7425,メリハリ無制限+,6150,6765,メリハリ無制限+,5650,6215,ペイトク無制限,8750,9625,ペイトク無制限,8150,8965,ペイトク無制限,7650,8415,ahamo大盛り,4500,4950,,,,,,,ahamoポイ活,6500,7150,,,,,,,データトッピング(データ追加)150GB,11800,12980,180日間,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/4/19,70GB以下,60,70,Rakuten最強プラン,2980,3278,2880,3168,5Gギガホ プレミア,6650,7315,5Gギガホ プレミア,6150,6765,5Gギガホ プレミア,5650,6215,eximo,6650,7315,eximo,6150,6765,eximo,5650,6215,,,,使い放題MAX 5G／4G,6580,7238,使い放題MAX 5G／4G,6080,6688,使い放題MAX 5G／4G,5580,6138,メリハリ無制限+,6750,7425,メリハリ無制限+,6150,6765,メリハリ無制限+,5650,6215,ペイトク無制限,8750,9625,ペイトク無制限,8150,8965,ペイトク無制限,7650,8415,ahamo大盛り,4500,4950,,,,,,,ahamoポイ活,6500,7150,,,,,,,データトッピング(データ追加)150GB,11800,12980,180日間,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/4/19,60GB以下,50,60,Rakuten最強プラン,2980,3278,2880,3168,5Gギガホ プレミア,6650,7315,5Gギガホ プレミア,6150,6765,5Gギガホ プレミア,5650,6215,eximo,6650,7315,eximo,6150,6765,eximo,5650,6215,,,,使い放題MAX 5G／4G,6580,7238,使い放題MAX 5G／4G,6080,6688,使い放題MAX 5G／4G,5580,6138,メリハリ無制限+,6750,7425,メリハリ無制限+,6150,6765,メリハリ無制限+,5650,6215,ペイトク無制限,8750,9625,ペイトク無制限,8150,8965,ペイトク無制限,7650,8415,ahamo大盛り,4500,4950,,,,,,,ahamoポイ活,6500,7150,,,,,,,データトッピング(データ追加)60GB,5900,6490,90日間,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/4/19,50GB以下,40,50,Rakuten最強プラン,2980,3278,2880,3168,5Gギガホ プレミア,6650,7315,5Gギガホ プレミア,6150,6765,5Gギガホ プレミア,5650,6215,eximo,6650,7315,eximo,6150,6765,eximo,5650,6215,,,,使い放題MAX 5G／4G,6580,7238,使い放題MAX 5G／4G,6080,6688,使い放題MAX 5G／4G,5580,6138,メリハリ無制限+,6750,7425,メリハリ無制限+,6150,6765,メリハリ無制限+,5650,6215,ペイトク50,7750,8525,ペイトク50,7150,7865,ペイトク50,6650,7315,ahamo大盛り,4500,4950,,,,,,,ahamoポイ活,6500,7150,,,,,,,データトッピング(データ追加)60GB,5900,6490,90日間,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/4/19,40GB以下,30,40,Rakuten最強プラン,2980,3278,2880,3168,5Gギガホ プレミア,6650,7315,5Gギガホ プレミア,6150,6765,5Gギガホ プレミア,5650,6215,eximo,6650,7315,eximo,6150,6765,eximo,5650,6215,,,,使い放題MAX 5G／4G,6580,7238,使い放題MAX 5G／4G,6080,6688,使い放題MAX 5G／4G,5580,6138,メリハリ無制限+,6750,7425,メリハリ無制限+,6150,6765,メリハリ無制限+,5650,6215,ペイトク50,7750,8525,ペイトク50,7150,7865,ペイトク50,6650,7315,ahamo大盛り,4500,4950,,,,,,,ahamoポイ活,6500,7150,,,,,,,データトッピング(データ追加)60GB,5900,6490,90日間,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/4/19,30GB以下,25,30,Rakuten最強プラン,2980,3278,2880,3168,5Gギガホ プレミア,6650,7315,5Gギガホ プレミア,6150,6765,5Gギガホ プレミア,5650,6215,eximo,6650,7315,eximo,6150,6765,eximo,5650,6215,,,,使い放題MAX 5G／4G,6580,7238,使い放題MAX 5G／4G,6080,6688,使い放題MAX 5G／4G,5580,6138,メリハリ無制限+,6750,7425,メリハリ無制限+,6150,6765,メリハリ無制限+,5650,6215,ペイトク30,6750,7425,ペイトク30,6150,6765,ペイトク30,5650,6215,ahamo大盛り,4500,4950,,,,,,,ahamoポイ活,6500,7150,,,,,,,データトッピング(データ追加)60GB,5900,6490,90日間,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/4/19,25GB以下,20,25,Rakuten最強プラン,2980,3278,2880,3168,5Gギガホ プレミア,6650,7315,5Gギガホ プレミア,6150,6765,5Gギガホ プレミア,5650,6215,eximo,6650,7315,eximo,6150,6765,eximo,5650,6215,,,,使い放題MAX 5G／4G,6580,7238,使い放題MAX 5G／4G,6080,6688,使い放題MAX 5G／4G,5580,6138,メリハリ無制限+,6750,7425,メリハリ無制限+,6150,6765,メリハリ無制限+,5650,6215,ペイトク30,6750,7425,ペイトク30,6150,6765,ペイトク30,5650,6215,ahamo大盛り,4500,4950,,,,,,,ahamoポイ活,6500,7150,,,,,,,データトッピング(データ追加)60GB,5900,6490,90日間,,,,,,,,,,,,,,,,シンプルL,3780,4158,シンプルL,2700,2970,シンプルL,2700,2970,,,,,,,,,
2024/4/19,20GB以下,15,20,Rakuten最強プラン,1980,2178,1880,2068,5Gギガホ プレミア,6650,7315,5Gギガホ プレミア,6150,6765,5Gギガホ プレミア,5650,6215,eximo,6650,7315,eximo,6150,6765,eximo,5650,6215,,,,使い放題MAX 5G／4G,6580,7238,使い放題MAX 5G／4G,6080,6688,使い放題MAX 5G／4G,5580,6138,メリハリ無制限+,6750,7425,メリハリ無制限+,6150,6765,メリハリ無制限+,5650,6215,ペイトク30,6750,7425,ペイトク30,6150,6765,ペイトク30,5650,6215,ahamo,2700,2970,,,,,,,ahamoポイ活,6500,7150,,,,,,,データトッピング(データ追加)20GB,2455,2700,30日間,,,,,,,スマホプラン,2480,2728,,,,,,,シンプルL,3780,4158,シンプルL,2700,2970,シンプルL,2700,2970,コミコミプラン,2980,3278,,,,,,
