,ショップID,ショップ名,郵便番号,都道府県,市区町村,営業変更期間,営業
,0141,楽天モバイル 心斎橋店,542-0081,大阪府,大阪市,7/12～,11:00～20:00
,0181,楽天モバイル 銀座店,104-0061,東京都,中央区,5/12～,通常営業
,0501,ジョーシン 大日イオンモール店,570-0016,大阪府,守口市,8/2～8/31,10:00～20:00
,0511,ジョーシン 四條畷イオンモール店,575-0001,大阪府,四條畷市,6/26～,10:00～20:00
,0541,ジョーシン 桂川イオンモール店,601-8211,京都府,京都市,6/1～,10:00～20:00
,0571,ジョーシン 日本橋店,556-0005,大阪府,大阪市,5/12～,通常営業
,0611,ジョーシン 西宮ガーデンズ店,663-8204,兵庫県,西宮市,6/21～,10:00～20:00
,0621,ジョーシン 大高イオンモール店,459-8016,愛知県,名古屋市,5/12～,10:00～20:00　※土日祝：臨時休業
,0711,エディオン 広島本店,730-8620,広島県,広島市,9/11～9/12,10:00～19:00
,0751,楽天モバイル エディオン伊丹店,664-0831,兵庫県,伊丹市,5/12～5/31,10:00～19:00
,0771,エディオン 中環東大阪店,577-0003,大阪府,東大阪市,5/12～6/20,10:00～19:00
,1171,ジョーシン 伏見店,612-8393,京都府,京都市,5/12～,10:00～19:00
,1181,ジョーシン 泉南イオンモール店,590-0535,大阪府,泉南市,6/26～,通常営業
,1201,エディオン イオンモール浜松志都呂店,432-8069,静岡県,浜松市,10/1～,通常営業
,1441,楽天モバイル 立川フロム中武店,190-0012,東京都,立川市,8/14～,通常営業
,1561,ジョーシン 姫路大津イオンモール店,671-1146,兵庫県,姫路市,5/12～,10:00～19:00　※土日祝：臨時休業
,1601,楽天モバイル ゆめタウン広島店,734-0007,広島県,広島市,9/13～,通常営業
,1641,ケーズデンキ 名古屋みなと店,455-0005,愛知県,名古屋市,6/21～,10:00～20:00
,1761,ケーズデンキ ガーデンシティ垂水店,655-0052,兵庫県,神戸市,5/12～5/31,10:00～19:00　※土日：臨時休業
,1851,楽天モバイル 姫路グランフェスタ店,670-0927,兵庫県,姫路市,6/1～6/20,10:00～20:00　※土日祝：臨時休業
,1871,楽天モバイル 鶴舞イオンタウン千種店,464-0858,愛知県,名古屋市,5/23～5/31,10:00～20:00
,1921,ビックカメラ 札幌店,060-0005,北海道,札幌市,5/12～5/31,10:00～20:00
,1961,楽天モバイル センター南サウスウッド,224-0032,神奈川県,横浜市,8/19～,通常営業
,1971,楽天モバイル モレラ岐阜店,501-0406,岐阜県,本巣市,9/13～9/30,10:00～20:00
,2091,楽天モバイル ジョーシンギア 各務原イオンモール店,504-0943,岐阜県,各務原市,8/20～,10:00～20:00
,2131,楽天モバイル 錦糸町テルミナ店,130-0022,東京都,墨田区,5/12～,10:00～20:00
,2171,楽天モバイル 梅田 阪急三番街店,530-0012,大阪府,大阪市,10/1～,通常営業
,2211,楽天モバイル グランツリー武蔵小杉店,211-0004,神奈川県,川崎市,5/12～,10:00～20:00
,2251,エディオン イオンモール長久手店,480-1100,愛知県,長久手市,6/21～,通常営業
,2271,エディオン 東広島本店,739-0024,広島県,東広島市,6/18～,通常営業
,2341,ジョーシン 外環八尾,581-0853,大阪府,八尾市,5/12～,通常営業
,2411,ビックカメラ AKIBA,101-0021,東京都,千代田区,4/24～,10:00～20:00
,2431,ジョーシン 東員イオンモール店,511-0255,三重県,員弁郡東員町,5/12～,10:00～20:00
,2461,ジョーシン 中山寺店,665-0874,兵庫県,宝塚市,6/23～,10:00～20:00
,2481,ケーズデンキ アリオ鳳店,593-8325,大阪府,堺市,6/1～,10:00～20:00
,2491,ケーズデンキ 昭島店,196-0012,東京都,昭島市,4/25～5/11,10:00～19:00
,2511,ケーズデンキ HAT神戸店,651-0073,兵庫県,神戸市,6/1～,10:00～20:00
,2531,楽天モバイル くずはモール店,573-1121,大阪府,枚方市,6/19～,10:00～20:00
,2551,楽天モバイル イオンモール岡山店,700-0907,岡山県,岡山市,10/1～,通常営業
,2621,エディオン JR尼崎店,660-0808,兵庫県,尼崎市,6/18～,通常営業
,2661,ジョーシン 神戸南イオンモール店,652-0844,兵庫県,神戸市,6/21～,10:00～20:00
,2681,楽天モバイル 新宿サブナード店,160-0021,東京都,新宿区,6/1～6/20,10:00～20:00
,2731,楽天モバイル イオンモール常滑店,479-0882,愛知県,常滑市,10/1～,通常営業
,2781,楽天モバイル モラージュ菖蒲店,346-0106,埼玉県,久喜市,8/4～9/12,10:00～20:00
,2791,楽天モバイル ニットーモール熊谷店,360-0032,埼玉県,熊谷市,10/1～,通常営業
,2921,ケーズデンキ 府中本店,183-0044,東京都,府中市,6/21～,10:00～20:00
,2931,ケーズデンキ 稲城若葉台店,206-0824,東京都,稲城市,4/25～5/11,10:00～19:00
,3021,楽天モバイル イオンモール座間店,252-0012,神奈川県,座間市,10/1～,通常営業
,3051,ケーズデンキ 青梅店,198-0021,東京都,青梅市,5/10～5/31,10:00～19:00
,3091,ジョーシン 富田林店,584-0025,大阪府,富田林市,5/12～,通常営業
,3101,ジョーシン 西宮今津店,663-8226,兵庫県,西宮市,5/12～,通常営業
,3121,エディオン 神戸北町店,651-1233,兵庫県,神戸市,8/16～,10:00～19:00
,3151,エディオン 呉本店,737-0811,広島県,呉市,6/20～,通常営業
,3181,楽天モバイル 天王寺あべのキューズモール店,545-0052,大阪府,大阪市,8/2～8/31,10:00～20:00
,3211,ジョーシン 宇治店,611-0021,京都府,宇治市,5/12～,10:00～19:00
,3271,ケーズデンキ 高槻店,569-0065,大阪府,高槻市,5/14～,10:00～19:00
,3381,ジョーシン 加古川店,675-0131,兵庫県,加古川市,5/12～,10:00～19:00
,3391,ジョーシン 平野うりわり店,547-0024,大阪府,大阪市,5/12～,10:00～19:00
